#key	name	year	genre	developer	players
3D Atlas (USA)	3d Atlas	1994	Educational	The MultiMedia	1-3
Agi Gongnyong Goldie (Korea)	Agi Gongnyong Goldie				
AI Shougi (Japan)	Ai Shougi	1995	Shougi/Asiatic board game	Something Good	1-2
Alone in the Dark (USA)	Alone In The Dark	1994	Adventure / Survival Horror/Adventure	I*Motion	1
Alone in the Dark 2 (USA)	Alone In The Dark 2	1995	Adventure / Survival Horror/Adventure	Krisalis Software	1
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	Peperon Mura no Shiki	1995	Educational	Media.Vision Entertainment	1
Another World (Europe)	Out of this World	1994	Adventure	Interplay	1
Aqua World - Umi Monogatari (Japan)	Aqua World - Umibi Monogatari	1995	Puzzle	Mizuki	1
Armageddon (Korea)	Armageddon	1996	Shooter	LG Software	1
AutoBahn Tokio (Japan)	Autobahn Tokio	1995	Racing, Driving	Sanai	1
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	Bakushou!! All Yoshimoto Quiz Ou Ketteisen	1995	Quiz / Japanese/Quiz	TOSE	1-4
Ballz - The Director's Cut (World) (En,Ja)	Ballz : The Director's Cut	1995	Fighting	PF Magic	1-2
Battle Blues (Korea)	Battle Blues	1996	Role Playing Game	Shin's Entertainment	1
Battle Chess (USA)	Battle Chess	1993	Board game	Krisalis Software	1
Battle Pinball (Japan)	Battle Pinball	1994	Pinball	Japan DataWorks	2
BattleSport (USA)	Battlesport	1996	Sports	Cyclone	1
BC Racers (USA, Europe)	BC Racers	1995	Racing, Driving	Core Design	1-2
Belzerion (Japan)	Belzerion	1994	Adventure	Human Entertainment	1
BFS - Blue Forest Story (Japan)	Blue Forest Story : Kaze no Fūin	1996	Role Playing Game	Right Stuff	1
Blade Force (USA)	Blade Force	1995	Shooter	Studio 3DO	1
Blonde Justice (USA)	Blonde Justice	1994	Adults	Vivid Interactive	1
Blood Angels (Japan)	Space Hulk : Vengeance of the Blood Angels	1995	Strategy	Key Game	1
Bonogurashi (Japan)	Bonogurashi	1995	Simulation	Bandai	1
BrainDead 13 (USA) (Disc 1)	Brain Dead 13	1996	Adventure / Interactive Movie/Adventure	ReadySoft	1
Burning Soldier (USA, Korea)	Burning Soldier	1994	Shooter / Vehicle, FPV/Shooter	Genki	1
Bust-A-Move (USA)	Bust-A-Move	1995	Puzzle / Throw/Puzzle	Micro Cabin	1
Cannon Fodder (USA)	Cannon Fodder	1994	Strategy	Krisalis Software	1
Captain Quazar & BattleSport (Europe) (Demo)	Captain Quazar	1995	Shooter / Run and Gun/Shooter	Cyclone	1
Captain Quazar (USA)	Captain Quazar	1995	Shooter / Run and Gun/Shooter	Cyclone	1
Carrier - Fortress at Sea (USA)	Carrier : Fortress at Sea	1995	Shooter / Plane, TPV/Shooter	RMG Dentsu USA	1
Casper (USA)	Casper	1996	Adventure	Logicware	1
Chiki Chiki Machine Mou Race - Kenken to Black Maou no Ijiwaru Daisakusen (Japan)	Chiki Chiki Machine Mo Race	1994	Adventure	Future Pirates	1
Chiki Chiki Machine Mou Race 2 - In Space (Japan)	Chiki Chiki Machine Mo Race 2 :In Space	1995	Adventure	Future Pirates	1
Club 3DO - Station Invasion (USA)	Club 3DO : Station Invasion	1994	Compilation	The 3DO Company	1-5
Corpse Killer (USA)	Corpse Killer	1994	Shooter / FPV/Lightgun Shooter/Shooter	Digital Pictures	1
Coven, The (USA)	The Coven	1994	Adventure / Interactive Movie/Adults/Adventure	Vivid Interactive	1
Cowboy Casino (USA)	Cowboy Casino	1994	Playing cards	IntelliPlay	1
Crash 'n Burn (USA, Korea)	Crash 'n Burn	1993	Racing, Driving	Crystal Dynamics	1
Crayon Shin-chan - Puzzle Daimaou no Nazo (Japan)	Crayon Shin-chan : Puzzle Daimaou no Nazo	1995	Puzzle	TOSE	1
Creature Shock (USA) (Disc 1)	Creature Shock	1996	Lightgun Shooter	Argonaut Software	1
Crime Patrol (USA)	Crime Patrol	1994	Shooter	American Laser Games	1-2
CyberDillo (USA)	Cyberdillo	1996	Shooter / FPV/Shooter	Pixel Technologies	1
Cyberia (USA)	Cyberia	1996	Adventure	Xatrix Entertainment	1
D (USA, Europe) (Disc 1)	D	1995	Adventure / Point and Click/Adventure	WARP	1
D no Shokutaku (Japan) (Disc 1)	D	1995	Adventure / Point and Click/Adventure	WARP	1
D's Diner - The Director's Cut (Japan) (Disc A)	D	1995	Adventure / Point and Click/Adventure	WARP	1
Daedalus Encounter, The (USA, Europe) (Disc 1)	The Daedalus Encounter	1995	Adventure	Lifelike Productions	1
