#key	style	ss_system_id
3D Atlas (USA)	box-2D	29
AI Shougi (Japan)	box-2D	29
Agi Gongnyong Goldie (Korea)	mixrbv2	29
Alone in the Dark (USA)	box-2D	29
Alone in the Dark 2 (USA)	box-2D	29
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	box-2D	29
Another World (Europe)	box-2D	29
Aqua World - Umi Monogatari (Japan)	box-2D	29
Armageddon (Korea)	box-2D	29
AutoBahn Tokio (Japan)	box-2D	29
BC Racers (USA, Europe)	box-2D	29
BFS - Blue Forest Story (Japan)	box-2D	29
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	box-2D	29
Ballz - The Director's Cut (World) (En,Ja)	box-2D	29
Battle Blues (Korea)	box-2D	29
Battle Chess (USA)	box-2D	29
Battle Pinball (Japan)	box-2D	29
BattleSport (USA)	box-2D	29
Belzerion (Japan)	box-2D	29
Blade Force (USA)	box-2D	29
Blonde Justice (USA)	box-2D	29
Blood Angels (Japan)	box-2D	29
Bonogurashi (Japan)	box-2D	29
BrainDead 13 (USA) (Disc 1)	box-2D	29
Burning Soldier (USA, Korea)	box-2D	29
Bust-A-Move (USA)	box-2D	29
Cannon Fodder (USA)	box-2D	29
Captain Quazar & BattleSport (Europe) (Demo)	box-2D	29
Captain Quazar (USA)	box-2D	29
Carrier - Fortress at Sea (USA)	box-2D	29
Casper (USA)	box-2D	29
Chiki Chiki Machine Mou Race - Kenken to Black Maou no Ijiwaru Daisakusen (Japan)	box-2D	29
Chiki Chiki Machine Mou Race 2 - In Space (Japan)	box-2D	29
Club 3DO - Station Invasion (USA)	box-2D	29
Corpse Killer (USA)	box-2D	29
Coven, The (USA)	box-2D	29
Cowboy Casino (USA)	box-2D	29
Crash 'n Burn (USA, Korea)	box-2D	29
Crayon Shin-chan - Puzzle Daimaou no Nazo (Japan)	box-2D	29
Creature Shock (USA) (Disc 1)	box-2D	29
Crime Patrol (USA)	box-2D	29
CyberDillo (USA)	box-2D	29
Cyberia (USA)	box-2D	29
D (USA, Europe) (Disc 1)	box-2D	29
D no Shokutaku (Japan) (Disc 1)	box-2D	29
D's Diner - The Director's Cut (Japan) (Disc A)	box-2D	29
Daedalus Encounter, The (USA, Europe) (Disc 1)	box-2D	29
Daedalus Encounter, The - Episode 1 - Nanpasen no Alien (Japan) (Disc 1)	box-2D	29
DeathKeep (USA)	box-2D	29
Defcon 5 (Europe)	box-2D	29
Demolition Man (USA, Europe)	box-2D	29
Dennis Miller - That's News to Me (USA)	box-2D	29
Dennou Hyouryuu - Multimedia Cruising (Japan)	box-2D	29
Digital Dreamware (USA, Europe)	box-2D	29
DinoPark Tycoon (USA)	box-2D	29
Diving Spot Guide - Marine Tour (Japan)	box-2D	29
Doctor Hauzer (Japan)	box-2D	29
Doom (USA, Japan)	box-2D	29
Dragon Lore - The Legend Begins (USA, Germany) (Disc 1)	box-2D	29
Dragon Tycoon Edge (Japan)	box-2D	29
Dragon's Lair (USA) (RE1)	box-2D	29
Drug Wars (USA)	box-2D	29
ESPN Baseball - Hitting (USA)	box-2D	29
ESPN Golf - Lower Your Score with Tom Kite - Shot Making (USA) (Disc 1)	box-2D	29
ESPN Golf - Tom Kite no Kore ga Golf da! (Japan) (Disc 1) (Shot Yousei Kouza Vol. 1)	box-2D	29
ESPN Let's Go Skiing with Picabo Street, A. J. Kitt & Holly Flanders (USA)	box-2D	29
ESPN Let's Play Beach Volleyball with Karch Kiraly and Karolyn Kirby (USA)	box-2D	29
ESPN Let's Play Soccer with John Harkes and Mia Hamm (USA)	box-2D	29
ESPN Let's Play Tennis with Tracy Austin (USA)	box-2D	29
Emit Vol. 1 - Toki no Maigo (Japan)	box-2D	29
Emit Vol. 2 - Inochigake no Tabi (Japan)	box-2D	29
Emit Vol. 3 - Watashi ni Sayonara o (Japan)	box-2D	29
Endlessly (USA)	box-2D	29
Escape from Monster Manor (USA)	box-2D	29
Eye of Typhoon, The (Korea) (Ko) (Disc 1)	box-2D	29
F1GP (Japan)	box-2D	29
FIFA International Soccer (USA, Korea)	box-2D	29
Family Feud (USA)	box-2D	29
Fatty Bear's Birthday Surprise (USA)	box-2D	29
Fatty Bear's Fun Pack (Korea)	box-2D	29
Fatty Bear's Funpack (USA)	box-2D	29
Fire Ball!! (Japan)	box-2D	29
Firewall (Korea)	box-2D	29
Flashback (Europe) (En,Fr)	box-2D	29
Flashback - The Quest for Identity (USA) (En,Fr)	box-2D	29
Flopon World (Japan)	box-2D	29
Flying Nightmares (USA)	box-2D	29
Foes of Ali (USA)	box-2D	29
Fun 'n Games (USA)	box-2D	29
Fun 'n Games - Soft no Omochabako (Japan) (En,Ja)	box-2D	29
Gakkou no Kowai Uwasa - Hanako-san ga Kita!! (Japan)	box-2D	29
Game no Tatsujin (Japan)	box-2D	29
Gex (USA, Europe)	box-2D	29
Ghost Hunter Series - Kuroki Shi no Kamen (Japan)	box-2D	29
Goal FH (Field Hunter) (Japan)	box-2D	29
Great! Soccer Kid (Japan)	box-2D	29
Gridders (USA, Korea)	box-2D	29
Grimm Meisaku Gekijou Vol. 1 - Bremen no Ongakutai (Japan)	box-2D	29
Grimm Meisaku Gekijou Vol. 2 - Hansel to Gretel (Japan)	box-2D	29
Grimm Meisaku Gekijou Vol. 3 - Akazukin (Japan)	box-2D	29
Guardian War (USA, Korea)	box-2D	29
Hell - A Cyberpunk Thriller (USA)	box-2D	29
Hello Kitty - Asobi no Omochabako (Japan)	box-2D	29
Hirata Shougo Interactive Ehon - Aesop Monogatari Vol. 1 (Japan) (En,Ja,Fr)	box-2D	29
Hirata Shougo Interactive Ehon - Cinderella (Japan) (En,Ja,Fr)	box-2D	29
Hirata Shougo Interactive Ehon - Ningyo-hime (Japan) (En,Ja,Fr)	box-2D	29
Hirata Shougo Interactive Ehon - Ookami to Shichihiki no Koyagi (Japan) (En,Ja,Fr)	box-2D	29
Hirata Shougo Interactive Ehon - Sanbiki no Kobuta (Japan) (En,Ja,Fr)	box-2D	29
Hirata Shougo Interactive Ehon - Shirayuki-hime (Japan) (En,Ja,Fr)	box-2D	29
Hitchcock ni Chousen (Japan)	box-2D	29
Horde, The (World)	box-2D	29
Icebreaker (USA)	box-2D	29
Ide Yousuke Meijin no Shin Jissen Mahjong (Japan)	box-2D	29
Idol Janshi Suchie-Pai Special (Japan)	box-2D	29
Idol Mahjong - Final Romance 2 - Hyper Edition (Japan)	box-2D	29
Igo Time Trial - Shikatsu Daihyakka (Japan)	box-2D	29
Igo Time Trial - Tsumego I (Japan)	box-2D	29
Immercenary (Europe)	box-2D	29
Immercenary - Combat in a Digital World (USA)	box-2D	29
Immortal Desire (USA)	box-2D	29
Incredible Machine, The (USA)	box-2D	29
Incredible Machine, The - Pararancho (Japan)	box-2D	29
Insector War (Japan)	box-2D	29
Iron Angel of the Apocalypse - Tetsujin (USA)	box-2D	29
Iron Angel of the Apocalypse - The Return (USA)	box-2D	29
Ishida Yoshio Kudan no Igo Seiha (Japan)	mixrbv2	29
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1)	box-2D	29
J.League Virtual Stadium '95 (Japan)	box-2D	29
J.League Virtual Stadium (Japan)	box-2D	29
Jammit (USA)	box-2D	29
Jikki Pachi-Slot Simulator Vol. 1 (Japan)	box-2D	29
John Madden Football (USA)	box-2D	29
John Madden NFL Football (Europe)	box-2D	29
Johnny Bazookatone (USA)	box-2D	29
Jurassic Park Interactive (USA)	box-2D	29
Kakinoki Shougi (Japan)	box-2D	29
Keiba Saishou no Housoku (Japan)	box-2D	29
Kero Kero Keroppi to Origami no Tabibito (Japan)	box-2D	29
Killing Time (USA) (RE1)	box-2D	29
Kingdom - The Far Reaches (USA, Europe)	box-2D	29
Konpeki no Kantai (Japan)	box-2D	29
Kyuusei Senjutsu ni Yoru - Heisei Kaiun Koyomi (Japan)	box-2D	29
Last Bounty Hunter, The (USA)	box-2D	29
Lemmings (USA)	box-2D	29
Life Stage, The - Virtual House (USA, Korea)	box-2D	29
Little House, The (Japan)	box-2D	29
Lost Dungeon (Japan)	box-2D	29
Lost Eden (USA, Korea)	box-2D	29
Lost Files of Sherlock Holmes, The (USA)	box-2D	29
Love Bites (USA)	box-2D	29
Lucienne's Quest (USA)	box-2D	29
Mad Dog II - The Lost Gold (USA)	box-2D	29
Mad Dog McCree (USA)	box-2D	29
Mahjong Gokuu Tenjiku (Japan)	box-2D	29
Mahjong-kyou Jidai - AV Gal Seifuku-hen (Japan)	box-2D	29
Mahjong-kyou Jidai Cogal Houkago-hen (Japan)	box-2D	29
Makaroni Hourensou Interactive (Japan)	box-2D	29
Mazer (USA)	box-2D	29
MegaRace (USA, Korea) (En,Fr,De,Es,It)	box-2D	29
Microcosm (USA)	box-2D	29
Mind Teazzer (USA)	box-2D	29
Mirai Shounen Conan - Digital Library (Japan)	box-2D	29
Montana Jones (Japan)	box-2D	29
Moon Cradle - Igyou no Hanayome (Japan)	box-2D	29
Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)	box-2D	29
Myst (USA)	box-2D	29
N.O.B. (Neo Organic Bioform) (Japan)	box-2D	29
NFL Madden Football (Japan)	box-2D	29
Naoko to Hide-bou - Kanji no Tensai 1 - Bushu-hen, Bushu no Namae ga Tanoshii Chou Kioku-hou (Japan)	box-2D	29
Naoko to Hide-bou - Sansuu no Tensai 2 - Hayasa no Bunshoudai Tsuukasan Part I (Japan)	box-2D	29
Nemurenu Yoru no Chiisana Ohanashi (Japan)	box-2D	29
NeuroDancer - Journey into the Neuronet! (USA)	box-2D	29
Nice Body - For Professional Use (Japan)	box-2D	29
Night Trap (USA, Europe) (Disc 1)	box-2D	29
Nishimura Kyoutarou Travel Mystery - Akugyaku no Kisetsu - Tokyo ~ Nanki-Shirahama Renzoku Satsujin Jiken (Japan) (Disc 1)	box-2D	29
Nobunaga no Yabou - Haouden (Japan)	box-2D	29
Nontan to Issho - Hoshi no Okurimono (Japan)	box-2D	29
Nontan to Issho - Nohara de Asobo (Japan)	box-2D	29
Nova-Storm (Japan)	box-2D	29
Novastorm (USA)	box-2D	29
Oceans Below (USA)	box-2D	29
Off-World Interceptor (USA, Europe)	box-2D	29
Olympic Games (Europe) (Demo)	box-2D	29
Olympic Soccer (USA) (En,Fr,De,Es,It)	box-2D	29
Olympic Summer Games (USA)	box-2D	29
Oneesan to Issho! Janken Paradise (Japan)	box-2D	29
Oneesan to Issho! Kisekae Paradise (Japan)	box-2D	29
Orbatak (USA) (Arcade CD-ROM)	mixrbv2	29
Oukoku no Grand Chef (Japan)	box-2D	29
Out of This World (USA)	box-2D	29
Outer World (Japan)	box-2D	29
Oyaji Hunter Mahjong (Japan)	box-2D	29
PGA Tour 96 (USA) (RE-1)	box-2D	29
PO'ed (USA, Europe)	box-2D	29
PaTaank (USA, Europe)	box-2D	29
Paddock Note '95 (Japan)	box-2D	29
Panzer General (USA, Germany)	box-2D	29
Pebble Beach Golf Links (USA, Korea)	box-2D	29
Penthouse Interactive - Virtual Photo Shoot Vol. 1 (Japan)	box-2D	29
Perfect General, The (USA)	box-2D	29
Perfect World - Combat in a Digital World (Japan)	box-2D	29
Peter Frankl - Puzzle no Tou (Japan)	box-2D	29
Phoenix 3 (USA)	box-2D	29
Plumbers Don't Wear Ties (USA)	box-2D	29
Policenauts (Japan) (Disc 1)	box-2D	29
Policenauts - Pilot Disk (Japan)	box-2D	29
Powers Kingdom (Europe)	box-2D	29
Pretty Soldier SailorMoon S (Japan)	box-2D	29
Primal Rage (USA, Europe)	box-2D	29
Princess Maker 2 (Japan)	box-2D	29
Pro Stadium (Japan)	box-2D	29
Pro Yakyuu Virtual Stadium - Professional Baseball (Japan)	box-2D	29
Psychic Detective (USA) (Disc 1)	box-2D	29
Puppet Tale (Japan)	box-2D	29
Putt-Putt Goes to the Moon (USA)	box-2D	29
Putt-Putt Joins the Parade (USA)	box-2D	29
Putt-Putt's Fun Pack (USA, Korea)	box-2D	29
Puzzle Bobble (Japan)	box-2D	29
Pyramid Intruder (Japan)	box-2D	29
Quarantine (USA) (En,Fr,De,Es) (RE)	box-2D	29
Quarterback Attack (USA)	box-2D	29
Real Pinball (USA)	box-2D	29
Return Fire (USA)	box-2D	29
Return Fire - Maps O' Death (USA)	box-2D	29
Rise of the Robots (USA)	box-2D	29
Road & Track Presents - OverDrivin' (Japan)	box-2D	29
Road & Track Presents - The Need for Speed (USA, Europe)	box-2D	29
Road Rash (USA)	box-2D	29
Robinson's Requiem (USA)	box-2D	29
Royal Pro Wrestling - Jikkyou Live!! (Japan)	box-2D	29
SHADOW - War of Succession (USA)	box-2D	29
SHADOW Warriors (Japan)	box-2D	29
Samurai Shodown (USA, Europe)	box-2D	29
San Diego Zoo Presents... The Animals!, The (USA)	box-2D	29
Sangokushi IV (Japan)	box-2D	29
Scramble Cobra (USA)	box-2D	29
Scramble Cobra - Premium Version (Japan)	box-2D	29
Seal of the Pharaoh (USA)	box-2D	29
Secre Fuumin no Omochabako (Japan)	box-2D	29
Seimei Handan (Japan)	box-2D	29
Sento Monogatari - Sono I (Japan)	box-2D	29
Sesame Street - Numbers (USA)	box-2D	29
Sewer Shark (USA, Europe)	box-2D	29
Sex (USA)	box-2D	29
Shanghai - Banri no Choujou - The Great Wall (Japan) (Rev 1)	box-2D	29
Shanghai - Triple-Threat (USA)	box-2D	29
Shelley Duvall's It's a Bird's Life (USA)	box-2D	29
Shock Wave (USA) (RE1)	box-2D	29
Shock Wave - Operation JumpGate (USA, Europe)	box-2D	29
Shockwave 2 - Beyond the Gate (USA) (Disc 1)	box-2D	29
Shootout at Old Tucson (USA) (RE3) (Arcade CD-ROM)	box-2D	29
Short Warp - Warp's Short Game Collection (Japan)	box-2D	29
Slam 'n Jam '95 (USA, Europe)	box-2D	29
Slayer (USA)	box-2D	29
SnowJob Starring Tracy Scoggins (USA) (Disc 1)	box-2D	29
Soccer Kid (USA)	box-2D	29
Sotsugyou - Graduation - Final (Japan)	box-2D	29
Sotsugyou II Special - Neo Generation (Japan)	box-2D	29
Space Ace (USA)	box-2D	29
Space Hulk - Vengeance of the Blood Angels (USA)	box-2D	29
Space Pirates (USA)	box-2D	29
Space Shuttle (USA)	box-2D	29
Star Control II (USA, Europe)	box-2D	29
Star Control II - The Ur-Quan Masters (Japan)	box-2D	29
Star Fighter (USA, Europe)	box-2D	29
Star Wars - Rebel Assault (USA, Europe)	box-2D	29
Starblade (USA, Korea)	box-2D	29
Stellar 7 - Draxon's Revenge (USA)	box-2D	29
Strahl (USA)	box-2D	29
Striker - World Cup Special (Europe)	box-2D	29
Super Real Mahjong P.V (Japan)	box-2D	29
Super Real Mahjong PIV + Aishou Shindan (Japan)	box-2D	29
Super Street Fighter II Turbo (USA)	box-2D	29
Super Street Fighter II X - Grand Master Challenge (Japan)	box-2D	29
Super Wing Commander (USA)	box-2D	29
SuperModels Go Wild (USA)	box-2D	29
Supreme Warrior (USA) (Disc 1) (Fire & Earth)	box-2D	29
Sword & Sorcery (Japan)	box-2D	29
Syndicate (USA)	box-2D	29
T&E VR Golf - Devil's Course (Japan)	box-2D	29
T&E VR Golf - Masters - Harukanaru Augusta 3 (Japan)	box-2D	29
T&E VR Golf - Pebble Beach no Hatou (Japan)	box-2D	29
T&E VR Golf - Waialae no Kiseki (Japan)	box-2D	29
Taiketsu Rumiizu! (Japan)	box-2D	29
Takeru (Japan) (Rev 1)	box-2D	29
Tanjou - Debut - Pure (Japan) (Rev A)	box-2D	29
Tarot Uranai (Japan)	box-2D	29
Tetsujin (Japan)	box-2D	29
Tetsujin Returns (Japan)	box-2D	29
Theatre Wars - Goraku no Dendou (Japan)	box-2D	29
Theme Park (USA)	box-2D	29
Toki o Koeta Tegami (Japan)	box-2D	29
Tokimeki Mahjong Paradise Special - Koi no Tenpai Beat (Japan)	box-2D	29
Total Eclipse (USA)	box-2D	29
Totsugeki Karakuri! Megadas!! (Japan)	box-2D	29
Touhaiden Akagi (Japan)	box-2D	29
Tower, The (Japan)	box-2D	29
Tozasareta Yakata (Japan)	box-2D	29
Trip'd (USA, Europe)	box-2D	29
True Golf Classics - Pebble Beach Golf Links (Europe)	box-2D	29
True Golf Classics - Waialae Country Club (Germany)	box-2D	29
Twinkle Knights (Japan)	box-2D	29
Twisted (Japan)	box-2D	29
Twisted - The Game Show (USA)	box-2D	29
Uchuu Seibutsu Flopon-kun (Japan)	box-2D	29
Ultraman Powered (Japan)	box-2D	29
V Goal Soccer '96 (Japan)	box-2D	29
VR Stalker (USA, Korea)	box-2D	29
Virtual Cameraman Part 1 - Naomi Sawada & Anna Juri (Japan)	box-2D	29
Virtual Cameraman Part 2 - Natsumi Kawai & Kimi Tachihara (Japan)	box-2D	29
Virtual Cameraman Part 3 - Yumika Sugimoto (Japan)	box-2D	29
