#key	synopsis
3D Atlas (USA)	3D Atlas is an educational title which boasts 3D graphics on twelve different types of spinning globes, time lapse video sequences animations showing changes to the planet such as the destruction of the ozone layer and more.It includes what is described as 'a challenging quiz' called 'Around The World' which can be played by one to three players. In their turn each player faces a round of five questions. Each question is timed and is worth a certain amount of points or air-miles, but that value decreases over time. When a round has been completed the game shows a humorous video of some form of transport, usually early aircraft. When all players have completed their round the game shoes a representation of the earth and how far the players have travelled with their accumulated air miles.Questions are obviously based on geography and countries of the world. Identifying a natoins flag is a common kind of question as is recognising a country from a picture of its scenery or a local market, knowledge of capital cities and major exports helps too.The quiz ends when a player has made a complete circuit of the earth. The scoreboard does not show high scores because a trip around the earth is always the same distance, instead it shows the percentage of questions answered correctly.
Agi Gongnyong Goldie (Korea)	Agi Gongnyong Goldie is a South Korean edutainment game that combines adventure, learning content, and child-friendly animation. The main character is Goldie, a curious little dinosaur who travels through a colorful world filled with puzzles, music activities, and reaction-based mini-games. The goal is to teach concepts such as colors, numbers, and logical thinking in a playful way, presented through short stories and interactive scenes. The controls are simple, allowing younger players to easily navigate the hand-drawn environments. Like many 3DO productions, the game features extensive voice acting, charming music, and colorful FMV cutscenes. Today, it is considered a rare example of Korean 3DO software and a lovingly crafted educational adventure that blends a pedagogical focus with a distinct 1990s aesthetic.
AI Shougi (Japan)	AI Shougi is a Board game, developed and published by Taito and released in Japan in 1995.
Alone in the Dark (USA)	Jeremy Hartwood has committed suicide in his Louisiana mansion, Derceto. You take the role of either Edward Carnby, a private investigator, or Emily Hartwood, Jeremy's niece, and investigate the suspicious death. The three-floor mansion is reputed to be haunted by its eccentric past owner. Very quickly, you realise that it is. Warped rats, zombies and giant worms are among the foes who are after you, and you must somehow escape.
Alone in the Dark 2 (USA)	In Alone in the Dark 2, you take the role of detective Edward Carnby, one of the two main characters in the original Alone in the Dark. Carnby is now called upon to investigate a bootlegger named One Eyed Jack after an old detective college name Stryker attributes Jack to the kidnapping of young Grace Saunders. Stryker attempts to infiltrate Jack's dilapidated mansion of Hell's Kitchen and rescue the girl, only to disappear himself. That's where Carnby comes in. Carnby soon learns that Jack and his gangsters are really 15th century pirates who gained immortality after Jack joined forces with Elizabeth Jarret, a Voodoo witch. However the dark magic which keeps them immortal also requires Jack and his crew to regularly make human sacrifices (which explains Grace's kidnapping). Now Carnby must battle his way through Hell's Kitchen and Jack's army of tommy-gun wielding gangsters, searching for a way to break the spell and make them stay dead.
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	Peperon Mura no Shiki aka Valmaison au fil des saisons is a miscellaneous game, published by NHK, released in Japan in 1995. The game is made of animated images with naive and precise graphics designed by the Japanese cartoonist Mitsumasa Anno, a former school teacher. Valmaison is a small ideal village, somewhere in Europe, which can be explored in various ways: the labyrinth that appears on the initial screen offers four paths. The child can observe the village at a specific season, go inside the buildings, shape his own village from a base of drawings or put into action the rhythm of the seasons and the events that mark the calendar of Valmaison: festivals, games, sowing, storms, etc.
Another World (Europe)	One stormy night, Lester Chaykin, a young particle physics researcher, heads for his underground laboratory. As he launches an experiment on a particle gas pedal, lightning strikes the laboratory and disrupts the equipment. The researcher is thrown into another world. Reappearing in an alien land with hostile fauna from which he manages to extricate himself, he ends up in the jails of an intelligent humanoid species. In this sort of labor camp, he meets a companion, with whose help he will try to escape.
Aqua World - Umi Monogatari (Japan)	Aqua World - Umibi Monogatari is a game that invites the player to discover and learn more about the seabed.
Armageddon (Korea)	Armageddon is an action game created to tie into the 1996 animated movie of the same name. You can switch between first and third-person viewpoints while piloting a space craft with the goal to drive back the invaders. The ship goes forward automatically and needs to avoid obstacles and destroy enemies in space. In first-person mode, you move the ship to line-up the reticule and shoot incoming objects such as asteroids or enemies. In third-person view, you have a bit more control as you can move the reticule. Occasionally power-ups will appear giving numerous abilities like electro bombs.. Like all of the LG 3DO games, Armageddon is extremely rare. LG originally announced a PC port of the game as well, but never followed up on the promise.
AutoBahn Tokio (Japan)	Autobahn Tokio is a racing game released only in Japan for the 3DO. Players can select from four unnamed cars with different characteristics, loosely based on real car models. Three tracks are available - a city at night, a coastal highway, and a forest track. Players race against one CPU opponent, while trying to hit checkpoints in the quickest time possible. Both automatic and manual transmissions are available for each car. Cars cannot be tuned, and there is no two-player option. Despite being released only in Japan, all menus and game text is in English.
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	Bakushou!! All Yoshimoto Quiz-Ou Ketteisen is a Miscellaneous game, developed by TOSE and published by Yoshimoto Kogyo, which was released in Japan in 1995.
Ballz - The Director's Cut (World) (En,Ja)	Ballz: The Director's Cut is an improved version of the Genesis and SNES game Ballz 3D: Fighting at its Ballziest. Like the original, it's a 3D fighting game where all the characters are made out of balls. Each character has its own moves animations and combos. In the single player mode you first have to fight against all the playable characters after which there are a variety of final bosses such as a tyrannosaurus, kangaroo, scorpion, ostrich and bull. Each boss has a unique fighting style and weak spot. In multiplayer you can fight against friends.
Battle Blues (Korea)	The turn-based Strategy/RPG developed by a team called Shin's Deko was another of the Korean 3DO exclusives LG pushed forward, and because of that also one of the rarest games of its time.
Battle Chess (USA)	Battle Chess is a quite typical chess game, but it comes with a twist: all pieces are represented by small, realistic figures that walk around on the chessboard, and when one piece takes another, they both take part in an animated battle. There is a different animation for each permutation, depending on which pieces are capturing or being captured. You can also play in 2D without animation. The game's opening library includes 30,000 different moves, ensuring a variety of games will unfold across the 10 skill levels. Multi-player support can be extended to modem and/or serial port play.
Battle Pinball (Japan)	Battle Pinball is a Japanese-only release where players play competitive pinball against the computer or another player. Players pick between one of four characters, each with their own dedicated pinball table. The game then moves to a split-screen view, where both players play their respective table and try to get a higher score than their opponent. Other options include a 1-player &quot;story&quot; mode where the player selects a character and battles the other three. Winning here gives a character-specific CG victory movie. Players can also play against multiple opponents in a tournament mode (complete with brackets), though a maximum of two players will be playing at once. As with Real Pinball, the view angle is fixed and cannot be changed.
