#key	synopsis
3D Atlas (USA)	3D Atlas es un título educativo que incluye gráficos en 3D en doce tipos diferentes de globos terráqueos giratorios, animaciones de secuencias de vídeo que muestran los cambios en el planeta, como la destrucción de la capa de ozono, etc. Incluye lo que se describe como &quot;un desafiante concurso&quot; llamado &quot;La vuelta al mundo&quot;, al que pueden jugar de uno a tres jugadores. En su turno, cada jugador se enfrenta a una ronda de cinco preguntas. Cada pregunta está cronometrada y vale una cierta cantidad de puntos o millas aéreas, pero ese valor disminuye con el tiempo. Cuando se ha completado una ronda, el juego muestra un vídeo humorístico de algún medio de transporte, normalmente aviones antiguos. Cuando todos los jugadores han completado su ronda, el juego muestra una representación de la Tierra y la distancia que los jugadores han recorrido con sus millas aéreas acumuladas.
Agi Gongnyong Goldie (Korea)	Agi Gongnyong Goldie es un juego educativo surcoreano que combina aventura, aprendizaje y animaciones orientadas al público infantil. El protagonista es Goldie, un pequeño dinosaurio curioso que recorre un mundo colorido lleno de rompecabezas, juegos musicales y desafíos de reflejos. El objetivo es enseñar de forma lúdica conceptos como colores, números y pensamiento lógico, integrados en breves historias y escenas interactivas. Los controles son sencillos, permitiendo que los jugadores más jóvenes naveguen fácilmente por entornos dibujados a mano. Como muchas producciones de 3DO, incluye abundantes diálogos con voz, música encantadora y secuencias FMV coloridas. Hoy se considera un ejemplo poco común de software coreano para 3DO y una aventura educativa cuidada que combina intención pedagógica con la estética de los años 90.
AI Shougi (Japan)	Al Shougi es un juego Diverso, desarrollado y publicado por Taito Corporation, que fue lanzado en Japón en 1995.
Alone in the Dark (USA)	Jeremy Hartwood se ha suicidado en Derceto, su mansión de Louisiana. Encarnarás a Edward Carnby, un investigador privado, o a Emily Hartwood, su nieta, para investigar la sospechosa muerte. La mansión de tres plantas tiene fama de estar encantada por su excéntrico dueño. Ratas deformes, zombies y gusanos gigantes son algunos de los enemigos que te perseguirán. Alone in the Dark es un juego de terror y supervivencia de acción/aventura. La acción se muestra desde puntos de vista fijos, con fondos 2D pintados y personajes, monstruos y objetos en 3D. Para escapar de la mansión deberás resolver puzles, encontrar y usar objetos en el lugar adecuado, leer documentos, consumir objetos curativos y usar armas. Algunas criaturas pueden matarse, otras requieren pensar detenidamente, y la munición es limitada, por lo que hay que usarla con cabeza.
Alone in the Dark 2 (USA)	En Alone in the Dark 2, encarnas al detective Edward Carnby, llamado a investigar a One Eyed Jack tras la desaparición de Grace Sanders, secuestrada por Jack. El detective Stryker, que intentó rescatarla antes, también ha desaparecido, dando paso a Carnby. Pronto descubre que Jack y sus secuaces son piratas del siglo XV inmortales gracias a la magia de la bruja Voodoo Elisabeth Jarret, pero deben realizar sacrificios humanos periódicos. Carnby debe abrirse paso por Hell's Kitchen y su ejército de gangsters para romper el hechizo y acabar con ellos. El juego combina acción y aventura con gráficos 2D y 3D. Deberás resolver puzles mientras luchas contra zombies piratas; algunas criaturas pueden eliminarse con armas, otras requieren ingenio y trampas. Además, en ciertas secciones juegas como Grace Saunders, donde la habilidad y rapidez son clave, ya que no puede luchar.
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	El juego está compuesto por imágenes animadas con gráficos ingenuos y precisos diseñados por el dibujante japonés Mitsumasa Anno, un ex maestro de escuela. Valmaison es un pequeño pueblo ideal, situado en algún lugar de Europa, que se puede explorar de diversas maneras: el laberinto que aparece en la pantalla inicial ofrece cuatro caminos. El niño puede observar el pueblo en una estación específica, entrar en los edificios, crear su propio pueblo a partir de una base de dibujos o activar el ritmo de las estaciones y los eventos que marcan el calendario de Valmaison: festivales, juegos, siembras, tormentas, etc.
Another World (Europe)	Another World (&quot;Otro Mundo&quot;) lleva la magia del cine a los juegos de acción/aventura. Con gráficos poligonales animados por rotoscopia, fondos pintados a mano, efectos de sonido y banda sonora para 3DO, ofrece una experiencia interactiva única. Encarnas a un profesor lanzado a través del espacio y tiempo por un experimento fallido, y debes evitar monstruos, terremotos y otros obstáculos usando habilidad e ingenio para sobrevivir en este paisaje alienígena.
Aqua World - Umi Monogatari (Japan)	Aqua world umibi monogatari es un juego que permite al jugador descubrir y aprender sobre el mundo marino
Armageddon (Korea)	Armageddon es un juego de acción creado en la película animada de 1996 del mismo nombre. Puedes cambiar entre los puntos de vista de primera y tercera persona mientras pilotas una nave espacial con el objetivo de hacer retroceder a los invasores. La nave avanza automáticamente y necesita evitar obstáculos y destruir enemigos en el espacio. En el modo de primera persona, te mueves a la línea del frente y disparas a los objetos entrantes como asteroides o enemigos. En la vista en tercera persona, tiene un poco más de control, ya que puede mover la retícula. Ocasionalmente, los power-ups aparecerán como electrobombas. Como todos los juegos de LG 3DO, Armageddon es extremadamente raro. Originalmente, LG también anunció un puerto para PC del juego, pero nunca cumplió la promesa.
AutoBahn Tokio (Japan)	Autobahn Tokio es un juego de carreras lanzado sólo en Japón en exclusiva para la 3DO. Los jugadores pueden elegir libremente entre cuatro coches &quot;sin nombre&quot; con características diferentes basados en modelos de coches reales. Hay tres circuitos disponibles: una ciudad de noche, una autopista costera y una pista forestal. Los jugadores compiten contra un adversario de la CPU, intentando alcanzar los puntos de control en el menor tiempo posible. Cada coche dispone de transmisión automática y manual. Los coches no se pueden tunear y no hay opción para dos jugadores. Pese a no haber salido de Japón todos los menús y textos del juego están en inglés.
