#key	synopsis
3D Atlas (USA)	3D Atlas per 3DO è un atlante interattivo pubblicato nel 1994 che permette di esplorare il mondo in 3D con mappe dettagliate basate su immagini satellitari. Offre contenuti multimediali come foto, video documentari e statistiche su vari temi geografici. Include anche un quiz educativo, &quot;Around The World&quot;, per testare le conoscenze geografiche dei giocatori.
AI Shougi (Japan)	AI Shogi è un videogioco del 1995 per la console 3DO che simula il tradizionale gioco giapponese dello shogi, spesso definito come &quot;scacchi giapponesi&quot;. Sviluppato da Something Good e pubblicato da Taito, il gioco offre un'esperienza di shogi per giocatore singolo, seguendo le regole classiche del gioco.
Alone in the Dark (USA)	Jeremy Hartwood si è suicidato a Derceto, la sua villa in Louisiana. Vestirai i panni di Edward Carnby, un investigatore privato, o di Emily Hartwood, la nipote di Jeremy, e dovrai indagare sulla morte sospetta. Si ritiene che la villa a tre piani sia infestata dal suo eccentrico ex proprietario. Vedrai presto che è così. Ratti deformi, zombi e vermi giganti sono tra i nemici che ti inseguiranno e dai quali dovrai in qualche modo scappare. Alone in the Dark è un gioco di azione / avventura survival horror. L'azione è rappresentata da una serie di punti di vista fissi. Gli sfondi sono immagini dipinte in 2D, mentre il personaggio giocabile, i mostri e gli oggetti sono modelli renderizzati in 3D. NnnnPer fuggire dalla villa dovrai risolvere una serie di enigmi. Di solito implicano la ricerca di un oggetto e il suo utilizzo nel luogo appropriato. Oltre agli oggetti richiesti dai puzzle, troverai anche libri e documenti che possono essere letti, oggetti curativi che possono essere consumati e armi. Le armi sono utili, poiché Derceto è pieno di vari mostri. Alcuni possono essere uccisi con le armi, ma altri sono impossibili da uccidere o richiedono un'attenta riflessione su come ucciderli. Le munizioni sono limitate, quindi è necessario utilizzare armi da testa.
Alone in the Dark 2 (USA)	In Alone in the Dark 2 (&quot;Only in the Dark 2&quot;), interpreti il ​​ruolo del detective Edward Carnby, uno dei due personaggi principali del gioco originale Alone in the Dark. Carnby è tenuto a indagare su un contrabbandiere di nome One Eyed Jack dopo che un ex collega di detective di nome Stryker ha accusato Jack di rapire la giovane Grace Sanders. Stryker ha tentato di infiltrarsi nella fatiscente villa di Jack a Hell's Kitchen e salvare la ragazza, prima di scomparire lui stesso. È qui che entra in gioco Carnby. Carnby scopre presto che Jack ei suoi gangster sono in realtà pirati del XV secolo che hanno ottenuto l'immortalità quando Jack ha collaborato con Elisabeth Jarret, una strega Voodoo. Tuttavia, la stessa magia che li mantiene immortali richiede che Jack e il suo equipaggio eseguano regolarmente sacrifici umani (il che spiega il rapimento di Grace) .Ora Carnby deve farsi strada attraverso Hell's Kitchen e l'esercito di gangster con mitra, alla ricerca di un modo per rompere l'incantesimo e farli rimanere morti.Alone in the Dark 2 è un'avventura d'azione, simile all'originale Alone in the Dark.
Anno Mitsumasa Pepperon-mura no Shiki (Japan)	Peperon Mura no Shiki è titolo educativo e interattivo, ambientato in un villaggio fiabesco che cambia con le stagioni. I giocatori esplorano ambienti animati, interagiscono con personaggi e partecipano a minigiochi leggeri. Con una presentazione colorata e uno stile rilassante, è pensato per un pubblico giovane.
Another World (Europe)	Another World è un'avventura cinematografica del 1994 in cui il giovane scienziato Lester Knight Chaykin viene trasportato in un mondo alieno dopo un esperimento fallito. Tra pericoli, creature ostili e un misterioso alleato, il giocatore deve sopravvivere risolvendo enigmi e affrontando sequenze d'azione, il tutto con una grafica stilizzata e un'atmosfera unica.
Aqua World - Umi Monogatari (Japan)	Aqua World: Umi Monogatari è un titolo educativo e simulativo per 3DO, pubblicato nel 1995 esclusivamente in Giappone. Il gioco offre tre principali modalità: Data Fish: presenta fotografie, informazioni dettagliate e modelli 3D di pesci e mammiferi marini. Mermaid: consente al giocatore di simulare la vita di un animale marino in un ambiente oceanico o in un acquario virtuale. Electric Blue: offre sequenze cinematografiche interattive di creature marine che nuotano nell'oceano. Il titolo combina elementi educativi con esperienze interattive, permettendo agli appassionati del mondo marino di esplorare e apprendere in modo coinvolgente.
Armageddon (Korea)	Armageddon è un videogioco d'azione spaziale pubblicato nel 1996 esclusivamente per la console 3DO in Corea del Sud. Basato sull'omonimo film d'animazione del 1996 diretto da Lee Hyun-se, il gioco combina elementi di simulazione spaziale con combattimenti in stile arcade. I giocatori pilotano una navicella spaziale attraverso ambienti pseudo-3D, affrontando nemici e ostacoli in missioni che richiedono abilità sia nel combattimento che nella navigazione. Sebbene presenti somiglianze con titoli come &quot;Wing Commander&quot;, &quot;Armageddon&quot; si distingue per la sua ambientazione unica e per essere uno dei pochi giochi sviluppati esclusivamente per il mercato coreano su 3DO.
AutoBahn Tokio (Japan)	Autobahn Tokio è un videogioco di corse automobilistiche pubblicato nel 1995 esclusivamente per la console 3DO in Giappone. I giocatori possono scegliere tra quattro auto senza nome, ognuna con caratteristiche diverse, ispirate a modelli reali. Il gioco offre tre tracciati distinti: una città notturna, un'autostrada costiera e una pista forestale. Le gare si svolgono contro un avversario controllato dal computer, con l'obiettivo di raggiungere i checkpoint nel minor tempo possibile. Sono disponibili sia trasmissioni automatiche che manuali per ogni veicolo. Nonostante sia stato rilasciato solo in Giappone, tutti i menu e i testi del gioco sono in inglese.
Bakushou!! All Yoshimoto Quiz-ou Ketteisen (Japan)	Bakushou!! All Yoshimoto Quiz-Ou Ketteisen: Un gioco a quiz giapponese che combina il format di un gioco di domande e risposte con un tocco di umorismo. I giocatori rispondono a domande su vari argomenti, cercando di guadagnare punti. Basato sull'azienda Yoshimoto Kogyo, il gioco è pieno di riferimenti culturali giapponesi e battute comiche, rendendolo particolarmente popolare tra i fan dell'umorismo nipponico.
Ballz - The Director's Cut (World) (En,Ja)	Ballz: The Director's Cut: Una versione migliorata di &quot;Ballz 3D&quot;, un picchiaduro che si distingue per il design dei personaggi: invece di umani, i combattenti sono sfere con caratteristiche e abilità uniche. Il gioco si concentra su battaglie 3D dinamiche e spettacolari, con ogni personaggio dotato di mosse speciali. La Director's Cut aggiunge miglioramenti grafici e nuove modalità di gioco rispetto alla versione originale.
Battle Blues (Korea)	Battle Blues è Un gioco strategico a turni, esclusivo per il mercato coreano, che offre una combinazione di esplorazione e combattimento. I giocatori assumono il controllo di vari personaggi e devono completare missioni in un mondo virtuale, affrontando avversari attraverso un sistema di battaglie tattiche. La sua atmosfera è più rilassata rispetto ad altri giochi strategici, con uno stile grafico che richiama i giochi di ruolo giapponesi.
Battle Chess (USA)	Battle Chess è una versione animata del classico gioco degli scacchi. Ogni volta che un pezzo viene catturato, si scatena una battaglia animata, con i pezzi che si scontrano in modo spettacolare. Questo gioco aggiunge un elemento visivo e dinamico al tradizionale gioco degli scacchi, rendendolo più coinvolgente sia per i neofiti che per i veterani degli scacchi.
Battle Pinball (Japan)	Battle Pinball è un flipper futuristico che offre una versione innovativa del classico gioco da sala giochi. In questo titolo, i giocatori devono navigare tra vari livelli di pinball, affrontando sfide e bonus che aggiungono un tocco di complessità. Le regole del pinball sono mescolate con sfide arcade, creando un'esperienza divertente per gli appassionati del genere.
BattleSport (USA)	BattleSport è un gioco sportivo futuristico che mescola elementi di combattimento e corse. I giocatori pilotano veicoli armati in arene competitive, cercando di segnare punti mentre combattono contro avversari. La sua azione frenetica e l'ambiente ad alta energia lo rendono un titolo adatto a chi cerca un'esperienza di gioco veloce e intensa.
BC Racers (USA, Europe)	BC Racers è un gioco di corse preistoriche che presenta veicoli a forma di dinosauri e altri elementi dell'era giurassica. Il gioco offre tracciati fantasiosi e power-up divertenti, con personaggi della serie &quot;Chuck Rock&quot;. Le corse sono veloci e coinvolgenti, mescolando l'umorismo con una sfida arcade classica.
Belzerion (Japan)	Belzerion è un gioco di avventura e strategia che si svolge in un mondo fantasy. Il protagonista deve affrontare varie sfide e risolvere enigmi per avanzare nella trama. Belzerion è caratterizzato da una narrazione coinvolgente e da meccaniche di gioco che combinano esplorazione e combattimenti.
BFS - Blue Forest Story (Japan)	Blue Forest Story: Kaze no Fuuin è un gioco di ruolo giapponese con una trama affascinante e un gameplay a turni. I giocatori esplorano un mondo fantasy, affrontando nemici e risolvendo enigmi. La storia coinvolge una serie di misteri legati a un'antica foresta, con personaggi riccamente sviluppati e una colonna sonora che accompagna l'avventura.
Blade Force (USA)	Blade Force è un gioco d'azione in terza persona in cui il giocatore controlla un agente che si muove attraverso una città futuristica, affrontando criminali e risolvendo enigmi. Il gioco si distingue per l'uso di un jetpack, che consente al protagonista di muoversi liberamente nell'ambiente di gioco. L'azione è rapida e intensa, con un mix di combattimento e esplorazione.
Blonde Justice (USA)	Blonde Justice è un gioco per adulti esclusivo per il mercato giapponese, che segue le avventure di una giovane detective in un mondo di crimine e corruzione. Il titolo include elementi di avventura e narrativa, con uno stile grafico che richiama le atmosfere noir. La trama e i temi sono orientati a un pubblico maturo, con contenuti espliciti e adulti.
Blood Angels (Japan)	Space Hulk: Vengeance of the Blood Angels per 3DO è un gioco strategico e tattico ambientato nell'universo di Warhammer 40,000. Il giocatore comanda una squadra dei Blood Angels, Space Marines d'élite, in una missione su un &quot;Space Hulk&quot; infestato da Genestealers (alieno simile a xenomorfo). L'obiettivo è recuperare artefatti mentre si affrontano agguati nemici in ambienti angusti. Il gioco combina combattimento tattico in tempo reale con una gestione strategica delle risorse. Con una grafica 3D e una visuale isometrica, Space Hulk è un'esperienza intensa di sopravvivenza e azione, caratterizzata da alta difficoltà e missioni complesse.
Bonogurashi (Japan)	Bonogurashi è un gioco di simulazione e avventura che segue la vita di un personaggio in un mondo giapponese ideale. Pochi dettagli sono noti su questo titolo, ma sembra essere un'esperienza di gioco tranquilla e riflessiva, probabilmente focalizzata su temi di vita quotidiana e interazioni sociali.
BrainDead 13 (USA) (Disc 1)	Brain Dead 13 è un'avventura interattiva in stile cartone animato, dove il giocatore deve aiutare un eroe di nome Curtis a fuggire da un castello infestato. Il gioco è caratterizzato da sequenze di azione frenetiche, enigmi e numerosi finali alternativi. La grafica in stile cartone animato e l'umorismo nero lo rendono un titolo unico.
Burning Soldier (USA, Korea)	Burning Soldier è un gioco di tiro in terza persona sviluppato da Taito per la console 3DO. Il gioco si svolge in un mondo futuristico dove i giocatori controllano un soldato armato di una tuta speciale e una varietà di armi. L'obiettivo principale è sconfiggere eserciti di nemici robotici e affrontare una serie di boss per salvare l'umanità dalla minaccia tecnologica. La caratteristica principale del gioco è l'azione adrenalinica, in cui il giocatore deve navigare in scenari tridimensionali e affrontare i nemici con un mix di esplosioni e combattimenti ravvicinati. La visuale in terza persona, il ritmo veloce e la grafica 3D avanzata per l'epoca, erano gli elementi distintivi di questo titolo.
Bust-A-Move (USA)	Bust-A-Move (conosciuto anche come Puzzle Bobble) è un gioco puzzle sviluppato da Taito per la 3DO e molte altre piattaforme. È un gioco di abbinamento di bolle colorate, dove il giocatore deve sparare bolle dal basso dello schermo verso quelle sospese in alto. Se tre o più bolle dello stesso colore si toccano, esplodono, e il giocatore deve cercare di eliminare tutte le bolle per passare al livello successivo. La sfida aumenta man mano che il livello avanza, con le bolle che si abbassano progressivamente, aumentando la pressione. Il gioco è noto per la sua meccanica semplice ma coinvolgente, e per l'approccio divertente e casual, che lo ha reso un classico dei giochi di puzzle.
Cannon Fodder (USA)	Guidate una squadra di un massimo di sei soldati attraverso diverse zone di battaglia in questo gioco d'azione/strategia dall'alto verso il basso. Si seleziona un soldato o un gruppo e si clicca su un pulsante per spostarlo in una determinata posizione e su un altro per sparare a un nemico. È anche possibile raccogliere granate o razzi che possono essere utilizzati per distruggere gruppi di nemici, edifici o determinati veicoli. Ogni missione ha un obiettivo specifico e alcune coinvolgono veicoli come i carri armati. Le truppe possono attraversare l'acqua ma non possono spararvi dentro, quindi trovare e controllare i ponti è spesso fondamentale. Potete sfruttare la disposizione degli alberi per trovare nascondigli da cui sparare, ma fate attenzione ai soldati nemici che fanno lo stesso.
