#key	name	year	genre	developer	players
Akira (Europe)	Akira	1994	Platform / Shooter Scrolling/Platform	International Computer Entertainment	1
Alfred Chicken (Europe)	Alfred Chicken	1993	Platform	Twilight	1
Alien Breed - Tower Assault (Europe)	Alien Breed : Tower Assault	1994	Shooter / Run and Gun/Shooter	Team 17	1-2
Alien Breed 3D (Europe)	Alien Breed 3D	1995	Shooter / FPV/Shooter	Team 17	1-2
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	Alien Breed Special Edition And Qwak	1994	Compilation	Team 17	1-2
Arabian Nights (Europe) (En,Fr,De,It)	Arabian Nights	1993	Platform	Krisalis Software	1
Arcade Pool (Europe) (En,Fr,De,It)	Arcade Pool	1994	Sports / Pool/Sports	Team 17	1-8
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	Assassins - Ultimate Games Compact Disc	1994	Compilation		1
ATR - All Terrain Racing (Europe)	Atr - All Terrain Racing	1995	Racing, Driving	Team 17	1-2
Banshee (Europe) (En,Fr,De,Da)	Banshee	1994	Shoot'em Up / Vertical/Shoot'em Up	Core Design	1-2
Base Jumpers (Europe)	Base Jumpers	1995		Shadow Software	1-4
Battle Chess (Europe)	Battle Chess	1994	Board game	Interplay	1-2
Battletoads (Europe)	Battle Toads	1994	Beat'em Up	Rareware	1
Beavers (Europe)	Beavers	1994	Platform/Platform / Run & Jump Scrolling	Arc Developments Limited	1
Beneath a Steel Sky (Europe) (En,Fr,De,It)	Beneath A Steel Sky	1994	Adventure / Point and Click/Adventure	Revolution Software	1
Benefactor (Europe)	Benefactor	1994	Strategy	Digital Illusions	1
Big 6, The (Europe)	The Big 6	1995	Compilation	Codemasters	1
Black Viper (Europe) (En,De,It)	Black Viper	1996	Racing, Driving	Light Shock Software	1
Brian the Lion (Europe) (En,Fr,De,It) (Gameplay CD-ROM)	Brian The Lion Starring In Rumble In The Jungle	1994	Platform	Reflections Interactive	1
Brutal Football (Europe)	Brutal Football	1994	Sports	Teque	1-4
Bubba 'n' Stix (Europe)	Bubba 'n' Stix	1994	Platform	Core Design	1
Bubble and Squeak (Europe)	Bubble And Squeak	1994	Platform	Audiogenic Software	1
Bump 'n' Burn (Europe)	Bump 'n' Burn	1994	Racing, Driving	Softeyes	1-2
Cannon Fodder (Europe)	Cannon Fodder	1994	Strategy	Arch Rivals	1
Castles II - Siege & Conquest (Europe)	Castles 2 - Siege And Conquest	1993	Strategy	Quicksilva	1
Chambers of Shaolin (Europe)	Chambers Of Shaolin	1993	Fighting	Thalion Software	1-2
Chaos Engine, The (Europe) (En,Fr,De,It)	The Chaos Engine	1994	Shooter / Run and Gun/Shooter	The Bitmap Brothers	1-2
Chuck Rock (Europe)	Chuck Rock	1994	Platform	Core Design	1
Chuck Rock II - Son of Chuck (Europe)	Chuck Rock 2 - Son Of Chuck	1994	Platform	Core Design	1
Classic Lotus Trilogy, The (Europe)	The Classic Lotus Trilogy	1994	Compilation/Racing, Driving	Software Design	1
Clockwiser (Europe)	Clockwiser : Time is Running Out...	1994	Puzzle	Team Hoi	1
Clou!, Der (Germany)	The Clue!	1994	Adventure / Point and Click/Adventure	... and avoid panic by	1
D-Generation (Europe)	D/generation	1994		Mindscape	1
Dangerous Streets & Wing Commander (Europe) (En,Fr,De,It)	Dangerous Streets And Wing Commander	1994	Compilation	Micromania	1-2
Dangerous Streets (Europe) (En,Fr,De,It)	Dangerous Streets	1994	Fighting	Micromania	1-2
Darkseed (Europe)	Dark Seed	1994	Adventure / Point and Click/Adventure	Cyberdreams	1
Death Mask (Europe) (En,Fr,De,It)	Death Mask	1995	Shooter / FPV/Shooter	Apache	1-2
Deep Core (Europe) (v1.00)	Deep Core	1993	Platform	Dynafield Systems	1
Dennis (Europe)	Dennis	1993		Citizen Software	1
Diggers & Oscar (Europe)	Diggers And Oscar	1993	Compilation	Flair Software	1-2
Disposable Hero (Europe)	Disposable Hero	1994	Shooter	Euphoria	1
Donk! The Samurai Duck! (Europe)	Donk! - The Samurai Duck!	1994	Platform	Supervision Entertainment	1-2
Dragonstone (Europe) (En,Fr,De)	Dragonstone	1995	Adventure	Core Design	1
Emerald Mines (Europe)	Emerald Mines	1994	Action / Labyrinth/Action	Almathera Systems	1-2
Exile (Europe)	Exile	1995	Platform/Action / Adventure/Action	Audiogenic Software	1
Fears (Europe)	Fears	1995	Shooter / FPV/Shooter	Bomb Software	1
Fields of Glory (Europe) (En,Fr,De)	Fields Of Glory	1994	Strategy	Smithson Computing	1
