#name	crc	size	key
ATR - All Terrain Racing (Europe)	2eb6a775	122	ATR - All Terrain Racing (Europe)
Akira (Europe)	e17c09cb	80	Akira (Europe)
Alfred Chicken (Europe)	5b486f60	1001	Alfred Chicken (Europe)
Alien Breed - Tower Assault (Europe)	440d3459	102	Alien Breed - Tower Assault (Europe)
Alien Breed 3D (Europe)	b2fe7e26	684	Alien Breed 3D (Europe)
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	8acc4661	126	Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)
Arabian Nights (Europe) (En,Fr,De,It)	0368de17	126	Arabian Nights (Europe) (En,Fr,De,It)
Arcade Pool (Europe) (En,Fr,De,It)	39f617e7	786	Arcade Pool (Europe) (En,Fr,De,It)
Arcade Pool (Europe) (En,Fr,De,It) (Alt)	8b30093e	920	Arcade Pool (Europe) (En,Fr,De,It)
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	86ecd280	303	Assassins - Ultimate Games Compact Disc (Europe) (v2.0)
Banshee (Europe) (En,Fr,De,Da)	28292fde	354	Banshee (Europe) (En,Fr,De,Da)
Base Jumpers (Europe)	011bc7e9	958	Base Jumpers (Europe)
Battle Chess (Europe)	e4f29067	2325	Battle Chess (Europe)
Battletoads (Europe)	d1b666ce	86	Battletoads (Europe)
Beavers (Europe)	e3ccbbb4	82	Beavers (Europe)
Beneath a Steel Sky (Europe) (En,Fr,De,It)	810f321e	108	Beneath a Steel Sky (Europe) (En,Fr,De,It)
Benefactor (Europe)	1597f813	2034	Benefactor (Europe)
Big 6, The (Europe)	276d35b2	344	Big 6, The (Europe)
Black Viper (Europe) (En,De,It)	0b926891	97	Black Viper (Europe) (En,De,It)
Brian the Lion (Europe) (En,Fr,De,It) (Gameplay CD-ROM)	50c875e3	4355	Brian the Lion (Europe) (En,Fr,De,It) (Gameplay CD-ROM)
Brutal Football (Europe)	8560aca9	241	Brutal Football (Europe)
Bubba 'n' Stix (Europe)	1de17e5c	1191	Bubba 'n' Stix (Europe)
Bubble and Squeak (Europe)	9b41da49	827	Bubble and Squeak (Europe)
Bump 'n' Burn (Europe)	479153dd	2213	Bump 'n' Burn (Europe)
Cannon Fodder (Europe)	6275ae79	219	Cannon Fodder (Europe)
Castles II - Siege & Conquest (Europe)	d29d41ee	269	Castles II - Siege & Conquest (Europe)
Chambers of Shaolin (Europe)	971e7e21	94	Chambers of Shaolin (Europe)
Chaos Engine, The (Europe) (En,Fr,De,It)	d25363c8	1619	Chaos Engine, The (Europe) (En,Fr,De,It)
Chaos Engine, The (Europe) (Spectacular Voyage)	a745ffaf	1717	Chaos Engine, The (Europe) (En,Fr,De,It)
Chuck Rock (Europe)	c4613e0d	85	Chuck Rock (Europe)
Chuck Rock II - Son of Chuck (Europe)	e7ce052b	1468	Chuck Rock II - Son of Chuck (Europe)
Classic Lotus Trilogy, The (Europe)	12206a40	982	Classic Lotus Trilogy, The (Europe)
Clockwiser (Europe)	077fcc4d	1578	Clockwiser (Europe)
Clou!, Der (Germany)	2640fcbe	2742	Clou!, Der (Germany)
D-Generation (Europe)	f7762a53	87	D-Generation (Europe)
