#key	style	ss_system_id
ATR - All Terrain Racing (Europe)	box-3D	130
Akira (Europe)	box-3D	130
Alfred Chicken (Europe)	box-3D	130
Alien Breed - Tower Assault (Europe)	box-3D	130
Alien Breed 3D (Europe)	box-3D	130
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	box-3D	130
Arabian Nights (Europe) (En,Fr,De,It)	box-3D	130
Arcade Pool (Europe) (En,Fr,De,It)	box-3D	130
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	box-3D	130
Banshee (Europe) (En,Fr,De,Da)	box-3D	130
Base Jumpers (Europe)	box-3D	130
Battle Chess (Europe)	box-3D	130
Battletoads (Europe)	box-3D	130
Beavers (Europe)	box-3D	130
Beneath a Steel Sky (Europe) (En,Fr,De,It)	box-3D	130
Benefactor (Europe)	box-3D	130
Big 6, The (Europe)	box-3D	130
Black Viper (Europe) (En,De,It)	box-3D	130
Brian the Lion (Europe) (En,Fr,De,It) (Gameplay CD-ROM)	box-3D	130
Brutal Football (Europe)	box-3D	130
Bubba 'n' Stix (Europe)	box-3D	130
Bubble and Squeak (Europe)	box-3D	130
Bump 'n' Burn (Europe)	box-3D	130
Cannon Fodder (Europe)	box-3D	130
Castles II - Siege & Conquest (Europe)	box-3D	130
Chambers of Shaolin (Europe)	box-3D	130
Chaos Engine, The (Europe) (En,Fr,De,It)	box-3D	130
Chuck Rock (Europe)	box-3D	130
Chuck Rock II - Son of Chuck (Europe)	box-3D	130
Classic Lotus Trilogy, The (Europe)	box-3D	130
Clockwiser (Europe)	box-3D	130
Clou!, Der (Germany)	box-3D	130
D-Generation (Europe)	box-3D	130
Dangerous Streets & Wing Commander (Europe) (En,Fr,De,It)	box-3D	130
Dangerous Streets (Europe) (En,Fr,De,It)	box-3D	130
Darkseed (Europe)	box-3D	130
Death Mask (Europe) (En,Fr,De,It)	box-3D	130
Deep Core (Europe) (v1.00)	box-3D	130
Dennis (Europe)	box-3D	130
Diggers & Oscar (Europe)	box-3D	130
Disposable Hero (Europe)	box-3D	130
Donk! The Samurai Duck! (Europe)	box-3D	130
Dragonstone (Europe) (En,Fr,De)	box-3D	130
Emerald Mines (Europe)	box-3D	130
Exile (Europe)	box-3D	130
Fears (Europe)	box-3D	130
Fields of Glory (Europe) (En,Fr,De)	box-3D	130
Fightin' Spirit (Europe) (En,De,It)	box-3D	130
Fire & Ice - The Daring Adventures of Cool Coyote (Europe) (En,Fr,De,It)	box-3D	130
Fire Force (Europe)	box-3D	130
Flink (Europe)	box-3D	130
Fly Harder (Europe)	box-3D	130
Frontier - Elite II (Europe)	box-3D	130
Fury of the Furries (Europe)	box-3D	130
Gamers' Delight (Europe) (En,De)	box-3D	130
Global Effect (Europe)	box-3D	130
Gloom (Europe)	box-3D	130
Grandslam Gamer Gold Collection (Europe)	box-3D	130
Guardian (Europe)	box-3D	130
Gulp! (Europe) (En,Fr,De,Es,It)	box-3D	130
Gunship 2000 (Europe)	box-3D	130
Heimdall 2 - Into the Hall of Worlds (Europe)	box-3D	130
HeroQuest II - Legacy of Sorasil (Europe) (En,Fr,De)	box-3D	130
Humans (Europe) (En,Fr,De,Es,It)	box-3D	130
Humans 3 - Evolution - Lost in Time... (Europe)	box-3D	130
Impossible Mission 2025 - The Special Edition (Europe)	box-3D	130
International Karate + (Europe)	box-3D	130
International Sensible Soccer - World Champions (Europe) (En,Fr,De,It)	box-3D	130
James Pond 2 - Robocod (Europe)	box-3D	130
James Pond 3 - Operation Starfi5h (Europe)	box-3D	130
Jetstrike CD32 (Europe)	box-3D	130
Jim Power in Mutant Planet (USA)	box-3D	130
John Barnes European Football (Europe) (En,Fr,De,Es,It)	box-3D	130
Jungle Strike - The Sequel to Desert Strike (Europe)	box-3D	130
Kid Chaos (Europe)	box-3D	130
Kingpin - Arcade Sports Bowling (Europe) (En,Fr,De,It)	box-3D	130
Labyrinth of Time, The (Europe)	box-3D	130
Lamborghini - American Challenge (Europe)	box-3D	130
Last Ninja 3 (Europe)	box-3D	130
Legends (Europe) (En,Fr,De)	box-3D	130
Liberation - Captive II (Europe)	box-3D	130
