#key	synopsis
Akira (Europe)	Ein Spiel nach dem gleichnamigen Film. In den ersten Levels musst du Kaneda mit seinem Motorrad über eine Straße voller Hindernisse führen. Die Straßensperren können mit Granaten geräumt werden. Außerdem müssen Sie den Level durchqueren, ohne dass Ihnen der Treibstoff ausgeht. Nach den Motorrad-Levels gibt es fünf Plattform-Levels. Das Ziel dieser Level ist es, alle zu töten, denen Sie begegnen.
Alfred Chicken (Europe)	Alfred, the Chicken (dt. = Alfred, das Huhn), muss seine Freunde und seinen Vogel (entschuldigen Sie das Wortspiel) Floella vor den Meka-Hühnern retten. Das Ergebnis ist ein Jump'n'Run-Spiel, das sich über verschiedene Themen-Level erstreckt, die entweder durch das Erklimmen des oberen Levels oder das Töten eines Endgegners abgeschlossen werden. Es wurden Bonusspiele und geheime Räume eingebaut, und das Vorankommen erfordert manchmal das Lösen von Positionsrätseln.
Alien Breed - Tower Assault (Europe)	Ein wissenschaftlicher Außenposten auf einem weit entfernten Planeten wurde angegriffen. Über die Angreifer ist nichts bekannt, da alle Kommunikationen zerstört wurden. Ein Team von Marinesoldaten wird entsandt, um die unbekannten Invasoren zu untersuchen und zu vernichten. Wenn ihre Landungsschiffe in die Atmosphäre eintreten und sich der Basis nähern, werden die durch den Angriff beschädigten Verteidigungslaser aktiv. Sie starten wilde Laserfeuerstöße auf die sich nähernden Marines, die nicht vorbereitet sind und schwere Verluste erleiden. Die Rookies Nash und Jordan landen und müssen die außerirdische Streitmacht abwehren. Wie bei der vorherigen Alien Breed wird das Gameplay von oben betrachtet. Ihr Soldat schießt sich durch die Level und sammelt dabei Schlüssel, Munition und Credits. An Computerterminals können neue Waffen erworben werden. In einem neuen Rückzugsmodus können Sie feuern, während Sie sich rückwärts bewegen. Das Spiel ist weitgehend nicht linear, da die meisten Level mehrere Ausgänge haben und das Spiel auf verschiedene Arten durchlaufen werden kann. Es gibt eine Vielzahl von Innen- und Außenebenen, obwohl Sie die meiste Zeit in einigen der mehrstufigen Türme verbringen. Nachdem Sie einen Selbstzerstörungsmechanismus aktiviert haben, müssen Sie das Gebäude schnell verlassen.
Alien Breed 3D (Europe)	Alien Breed 3D ist ein Nachfolger von Alien Breed, einem Shooter im Gauntlet-Stil, und seinen Fortsetzungen. Im Gegensatz zu seinen Vorgängern ist dieses Spiel in einem 3D-Kontext angesiedelt, was es zum ersten großen Spiel im Stil von Doom für den Amiga macht. Die 3D-Engine verwendet eine ziemlich kleine Bildschirmgrafik, aber diese beinhaltet vollständige Böden und Decken mit detaillierten Schattierungen, Türen, vertikale Positionsänderungen, Aufzüge und Transporter. Die CD-Version enthält zusätzlichen atmosphärischen Sound, während schnelle Prozessoren und zusätzlicher FastRAM ebenfalls unterstützt werden.
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	ALIEN BREED: Das Spiel basiert stark und inoffiziell auf den Alien-Filmen, insbesondere Aliens, und auch auf den 8-Bit-Spielen Laser Squad und Paradroid (obwohl das Spiel einige Gameplay-Ähnlichkeiten mit Gauntlet aufweist, mit dem es verglichen wurde, sowie einen offensichtlichen Vergleich mit Alien Syndrome von Sega). In Alien Breed müssen der oder die Spieler den Aufzug zum nächsten Level finden und gelegentlich die Selbstzerstörungssequenz auslösen, um das Level über ihnen zu sprengen. QWAK: Ziel des Spiels ist es, eine grüne Ente durch achtzig Level zu steuern. Früchte und Edelsteine können für Punkte gesammelt werden, und Feinde werden mit Projektil-Eiwaffen ausgeschaltet. Das Weiterkommen im Spiel wird durch das Sammeln von Gold- und Silberschlüsseln erreicht.
Arabian Nights (Europe) (En,Fr,De,It)	In Arabian Nights spielst du Sindbad jr., einen Gärtner im königlichen Palast, der es liebt, ab und zu einen Blick auf die Prinzessin zu werfen. Eines Tages blickt Sindbad auf und sieht, wie ein riesiger Dämon die Prinzessin kidnappt. Er rennt los, um die Prinzessin zu retten, wird aber von den Palastwachen erwischt und in den Kerker geworfen. Das Spiel besteht aus neun Levels. In mehreren Levels gibt es verschiedene Gameplay-Elemente, wie z. B. das Fliegen auf dem fliegenden Teppich und das Rennen gegen deinen Gegner in einem Minenkarren. Du triffst auch einige Charaktere, die dir im Gegenzug etwas geben, wenn du ihnen einen Gegenstand gibst, den sie haben wollen. In anderen Levels musst du selbst etwas tun. So müssen Sie zum Beispiel eine Schlange besorgen, die einen Gefangenen befreit, oder einen Schneidbrenner benutzen, um eingefrorene Türen zu öffnen.
Arcade Pool (Europe) (En,Fr,De,It)	Arcade Pool ist ein Overhead-Pool-Spiel, das einfach zu steuern ist. Das Spiel enthält die Standard-Billardspiele (UK- und US- 8-Ball und das rasante 9-Ball Spiel) mit jeweils anpassbaren Regeln, Computerspielern mit variablen Schwierigkeitsgraden und Optionen für zwei Spieler. Es gibt auch einen Survivor-Modus, der dem frühen Pool Arcade Spiel ähnelt, indem Sie alleine spielen und den Tisch abräumen müssen, ohne mehr als dreimal zu verpassen. Bei Speed ​​Pool wird der Tisch so schnell wie möglich abgeräumt - zwei Minuten können als gute Zeit angesehen werden.
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	Die Assassins-CD enthält Hunderte von Spielen für die Computer CD32, CDTV und Amiga. Der Zugriff auf die Spiele erfolgt über ein benutzerfreundliches Menüsystem, wobei alle Spiele im Menü mit dem CD32 kompatibel sind. Workbench, Parnet und Sernet stehen ebenfalls zur Verfügung, um den Zugriff auf den gesamten Inhalt dieser wahrhaft erstaunlichen Compact Disc zu ermöglichen. Um sicherzustellen, dass nichts vergessen wurde, haben wir auch die Assassins-Spiele-Disketten 1 bis 200 auf der CD archiviert und die Assassins-Utility-Disketten ebenfalls. Diese lassen sich leicht aus einer mitgelieferten Amiga Guide-Datei dearchivieren. Der Amiga-Guide bietet auch Zugang zu den Anleitungen für jedes Spiel und es ist auch möglich, die Spiele direkt aus dem Amiga-Guide-Menü sowie aus dem Hauptmenü zu spielen.
ATR - All Terrain Racing (Europe)	ATR: All Terrain Racing ist ein Überkopf-Rennspiel von Team 17 mit einer Vielzahl von Rennstrecken, darunter Schnee-, Wald- und Meeresstrecken. Die Grafik ist aus der Vogelperspektive und scrollend, mit einer erzwungenen Perspektive Natur. Die meisten Levels haben lange und kurze Wege, was dem Spiel einen Hauch von Navigation und Strategie verleiht. Im Gegensatz zum früheren Overdrive gibt es eine Vielzahl von Kurven und nicht nur 90-Grad-Kurven. Eine Vielzahl von Power-Ups und Fortschritten sind im Angebot.
Banshee (Europe) (En,Fr,De,Da)	Banshee ist ein klassischer vertikaler Shooter, der unweigerlich an Titel wie die 194x-Serie oder Tiger Heli erinnert. An Bord Ihres Flugzeugs müssen Sie auf die vielen feindlichen Trupps schießen, die Ihnen entgegenkommen. Zu diesem Zweck steht Ihnen eine Doppelschusskanone zur Verfügung, die anfangs nicht sehr effektiv ist. Glücklicherweise tauchen von Zeit zu Zeit Boni auf, die Ihnen Zugang zu neuen Waffen verschaffen: Seiten- und Diagonalschüsse, zielsuchende Raketen und vieles mehr. Diese zusätzlichen Waffen können Sie gut gebrauchen, denn die Gegner sind verdammt zahlreich und Ihre Standardwaffe ist hoffnungslos ineffektiv. Andere Boni verbessern Ihre Panzerung oder geben Ihnen Lebenskraft, die durch eine Anzeige auf dem Bildschirm dargestellt wird.
