#key	synopsis
Akira (Europe)	2019 Neo-Tokyo is about to explode! 30 years after World War 3, Kyoko a mutant child tells of the approaching cataclysm. The colonel stored capsule 7, which contains mutation 28, better known as Akira, deep below the Olympic Stadium at a temperature close to absolute zero. When Tetsuo makes his way to the stadium and the Akira pattern becomes stronger, it is confirmed that Akira's brain is giving off psionic waves! Keneda and Resistance member Kei make their way through the sewers where they are attacked by the military and flying bikes. Keneda manages to grab a bike and flies away, taking Kei on the back. They make their way through the tunnels guided by Kyoko, who has possessed Kei in order to use her to fight against Tetsuo. Tetsuo is taken by the authorities and experimented upon by the team that lead the Akira project. A matching pattern is found between Tetsuo and Akira and as the experiment continues, Tetsuo mutates and is now out of anyone's control. Tetsuo escapes from the hospital blasting everything in his path with psionic energy. Take the role of Keneda- leader of the capsule gang and Tetsuo- childhood friend of Keneda and member of the gang in this incredible game based on Akira. Keneda is the leader of the capsules. His bike is the envy of all. Keneda leads the gang against their rivals, the clowns. During a battle between the gangs, Tetsuo, Keneda's childhood friend, loses control of his bike and just misses hitting one of the escaping mutant children. Tetsuo thinks he can control his new powers but he is wrong. Tetsuo mutates into a hideous blubbery mass. Tetsuo is totally out of control. The mutant children beg Akira to return and save them and the world from what Tetsuo has become. Keneda must battle Tetsuo in their final confrontation.
Alfred Chicken (Europe)	Alfred the chicken must rescue his friends and his bird (pardon the pun) Floella from the Meka Chickens. The result is a platform game across differently-themed levels, which are finished by either climbing to the top of the level or killing a boss. Bonus games and secret rooms have been included, and progression sometimes requires solving positional puzzles.
Alien Breed - Tower Assault (Europe)	A scientific outpost on a far off planet has been attacked. Nothing is known about the attackers, since all communications have been destroyed. A team of marines is dispatched to investigate and destroy the unknown invaders. As their dropships enter the atmosphere and approach the base, the defence lasers, damaged in the onslaught, move into action. They launch wild bursts of laser fire at the approaching marines, who are not prepared and take heavy losses. Rookies Nash and Jordan crash-land, and must fight off the alien force. As with the previous Alien Breed, the gameplay is viewed from above. Your soldier shoots his way through the levels, collecting keys, ammunition and credits along the way. Computers can be logged into to buy new weapons. A new 'retreat' mode allows you to fire while moving backwards. The game is largely non-linear, as most levels have multiple exits, and the game can be moved through in different ways. There is a variety of indoor and outdoor levels, although you spend most time inside some of the multi-level towers. After activating a self-destruct mechanism, you must escape the building quickly.
Alien Breed 3D (Europe)	Alien Breed 3D is a follow-up to Alien Breed, a Gauntlet-style shooter, and its sequels. Unlike its predecessors, this game is set into a 3D context, making for the Amiga's first big Doom-style game. The 3D engine uses fairly small screen graphics, but these include full floors and ceilings with detailed shading, doors, vertical position variations, lifts and transporters. The CD version includes extra atmospheric sound, while fast processors and extra FastRAM are also supported.
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	Alien Breed: The game was based heavily, and unofficially, on the Alien films, specifically Aliens, and also on the 8-bit-era games Laser Squad and Paradroid (although the game bears some gameplay similarities with Gauntlet, with which it has been compared, as well an obvious comparison with Sega's Alien Syndrome). Alien Breed consists of the player or players having to find the lift down to the next level, occasionally setting the self-destruct sequence to blow up the level above them. The players collect or purchase a variety of weapons from the space station's computer terminals. In some versions of the game, these so-called Intex terminals provide additional features such as a clone of the classic computer game Pong. Credits found on the ground have to be saved for these weapons and other enhancements, each giving the players an edge over the gradually more and more powerful Alien forces. In advanced levels, players are occasionally trapped in enclosed spaces with huge &quot;boss&quot; aliens, reminiscent of the Alien Queen. Qwak: The object of the game is to guide a green duck through eighty levels. Fruit and gems can be collected for points, and enemies are eliminated with projectile egg weapons. Progress through the game is earned by collecting gold and silver keys. There are a variety of power-ups also available, including 'chocolate egg' weapons and extra shots. In addition to the normal-style levels, the challenge levels require the player to complete levels and collect all fruit within twenty seconds. Upon completion of all eighty levels, the levels are looped.
Arabian Nights (Europe) (En,Fr,De,It)	In Arabian Nights, you play Sinbad Jr., a gardener at the royal palace who loves to sneak a peek at the princess every now and again. One day, Sinbad looks up and sees a huge demon kidnapping the princess. He dashes to save the princess, only to be caught by the palace guards and thrown in the dungeon. There are nine levels in the game. In several levels, there are various gameplay elements which include flying on the magic carpet and racing against your opponent in a mine cart. You will also meet some characters, which if you give them an item they want, they will give you something in return. In other levels, you have to do things yourself. For example, obtain a snake that will set a prisoner free, or using a blow torch to open some frozen doors.
Arcade Pool (Europe) (En,Fr,De,It)	Arcade Pool is an overhead viewed pool game designed to be easy to control. The game includes the most standard games of pool (UK and US 8-ball and the fast-paced 9-ball game), each with customisable rules, computer players of variable difficulties, and two-player options. There's also a Survivor mode, which is similar to the early Pool arcade game, in that you're playing alone and have to clear the table without missing more than three times. Speed Pool involved clearing the table as quickly as you can - two minutes can be considered a good time.
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	The Assassins CD comprises of hundreds of games for the CD32, CDTV & Amiga range of computers. The games are accessed via a user friendly menu system with all games on the menu compatible with the CD32. Workbench, Parnet and Sernet are also provided to allow access to the full contents on this truely amazing Compact Disc. To ensure that nothing has been missed we have also provided Assassins Games Disks 1 to 200 archived on the CD and the Assassins Utility disks as well. These are easily de-archived from an Amiga Guide file provided. The Amiga Guide also provides access to the instructions for each game and it is also possible to play the games direct from the Amiga Guide menu as well as the Main Menu.
ATR - All Terrain Racing (Europe)	ATR: All Terrain Racing is an overhead racing game from Team 17 featuring a variety of circuits including snow, forest and seaside based ones. The graphics are overhead view and scrolling, with a forced perspective nature. Most levels have long and short ways round, which adds a hint of navigation and strategy to the proceedings. Unlike the companyâ€™s earlier Overdrive, there is a variety of corners, rather than just 90-degree ones. A variety of power-ups and advancements are on offer.
Banshee (Europe) (En,Fr,De,Da)	A vertically-scrolling shoot 'em up from the old school, with similarities to games like 1942 and SWIV. There are lots of big, brash enemy vehicles to take on, plus individual soldiers (these often lie in a pool of blood afterwards, a gruesome sight making full use of AGA graphics) and civilians. Many of the enemies have good hiding places and can emerge surprisingly, Commando-style. There are four large levels, which also scroll a small amount horizontally, the idea being that you can evade some opposition. There's a special loop-the-loop type feature available, which can double as an attack or an evasive move.
Base Jumpers (Europe)	Base Jumpers was the second release by Aaron and Adam Fothergill's Shadow Software outfit for publisher Rasputin and was very simple in concept. In a 2D platform gaming style, players run up to the top of towers, trying to combine 3 letter pickups to collect plain daft bonuses (there were something like 500 different 3 letter combinations) and then jump off the building and base jump down the outside. The last player to avoid the sticky out bits of the building and successfully open their parachute before becoming pavement art wins the round.
Battle Chess (Europe)	Battle Chess is a quite typical chess game, but it comes with a twist: all pieces are represented by small, realistic figures that walk around on the chessboard, and when one piece takes another, they both take part in an animated battle. There is a different animation for each permutation, depending on which pieces are capturing or being captured. You can also play in 2D without animation. The game's opening library includes 30,000 different moves, ensuring a variety of games will unfold across the 10 skill levels. Multi-player support can be extended to modem and/or serial port play.
Battletoads (Europe)	You will control a battletoad through various levels. Some are side-scrolling beat-em-ups, other are vertical drops down a shaft, fighting as you go, others have you riding a rocket or surfboard, shooting or avoiding enemies. At the end of each area, there is a boss. In some areas, about half-way through, you may have a mini-boss.
