#key	synopsis
Akira (Europe)	En Neo-Tokio 2019, una ciudad al borde de la explosión tras la Tercera Guerra Mundial, surge una profecía sobre un cataclismo inminente. El Coronel mantiene sellada la mutación 28, conocida como Akira, bajo el Estadio Olímpico a temperaturas extremas. Cuando Tetsuo llega al estadio, las ondas psiónicas de Akira se activan, desencadenando el caos. Kaneda y Kei, miembro de la Resistencia, enfrentan militares y vehículos voladores mientras navegan por las alcantarillas. En esta adaptación del manga Akira, guiarás a Kaneda en niveles de motos llenos de obstáculos y enemigos, gestionando combustible y granadas. Luego, superarás cinco niveles de plataformas eliminando enemigos.
Alfred Chicken (Europe)	Alfred el pollo debe rescatar a sus amigos y a su pájaro Floella de los pollos Meka. El resultado es un juego de plataformas a través de niveles de diferente temática, que se termina ya sea subiendo a la cima del nivel o matando a un jefe. Se han incluido juegos de bonificación y salas secretas, y la progresión a veces requiere la resolución de rompecabezas posicionales.
Alien Breed - Tower Assault (Europe)	El juego se ve desde arriba. Tu soldado se abre camino a través de los niveles, recogiendo llaves, municiones y créditos a lo largo del camino. Se puede acceder a los ordenadores para comprar nuevas armas. Un nuevo modo de &quot;retirada&quot; te permite disparar mientras te mueves hacia atrás. El juego es en gran parte no lineal, ya que la mayoría de los niveles tienen múltiples salidas, y el juego se puede recorrer de diferentes maneras. Hay una variedad de niveles interiores y exteriores, aunque pasas la mayor parte del tiempo dentro de algunas de las torres multinivel. Después de activar un mecanismo de autodestrucción, debes escapar del edificio rápidamente.
Alien Breed 3D (Europe)	Alien Breed 3D es una continuación de Alien Breed, un shooter al estilo Gauntlet, y de sus secuelas. A diferencia de sus predecesores, este juego se desarrolla en un entorno **totalmente 3D**, convirtiéndose en el **primer gran juego tipo Doom para Amiga. El motor 3D utiliza gráficos de pantalla relativamente pequeños, pero incluye suelos y techos completos con sombreado detallado, puertas, variaciones de altura, ascensores y transportadores. La versión en CD añade sonido ambiental adicional, y el juego también es compatible con procesadores rápidos y memoria FastRAM extra.
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	Alien Breed: Juego de acción inspirado en Alien y en clásicos de 8 bits. Los jugadores exploran una estación espacial, buscan el ascensor al siguiente nivel, compran armas en terminales y se enfrentan a alienígenas cada vez más poderosos, incluidos jefes gigantes. Qwak: Juego de plataformas donde guías a un pato verde a través de 80 niveles, recolectando frutas y llaves y derrotando enemigos con huevos. Incluye potenciadores, niveles contrarreloj y se repite en bucle al completarlo.
Arabian Nights (Europe) (En,Fr,De,It)	En Arabian Nights, interpretas a Sinbad Jr., un jardinero del palacio real al que le encanta echar un vistazo a la princesa de vez en cuando. Un día, Sinbad mira hacia arriba y ve a un enorme demonio secuestrando a la princesa. Corre a salvar a la princesa, pero es atrapado por los guardias del palacio y arrojado al calabozo. Hay nueve niveles en el juego. En varios niveles, hay varios elementos de juego que incluyen volar sobre la alfombra mágica y correr contra tu oponente en un vagón de mina. También te encontrarás con algunos personajes, que si les das un objeto que quieren, te darán algo a cambio. En otros niveles, tienes que hacer las cosas tú mismo.
Arcade Pool (Europe) (En,Fr,De,It)	Arcade Pool es un juego de billar con vista aérea diseñado para ser fácil de controlar. El juego incluye los juegos de billar más estándar (Reino Unido y EE.UU. de bola 8 y el juego de bola 9 de ritmo rápido), cada uno con reglas personalizables, jugadores de ordenador de dificultades variables, y opciones para dos jugadores. También hay un modo de supervivencia, que es similar al primer juego arcade de billar, en el que juegas solo y tienes que limpiar la mesa sin perder más de tres veces. El Speed Pool implica limpiar la mesa lo más rápido posible.
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	El Assassins CD incluye cientos de juegos para las computadoras CD32, CDTV y la gama Amiga. Los juegos se acceden mediante un menú intuitivo, y todos los incluidos son compatibles con el CD32. Además, se ofrecen herramientas como Workbench, Parnet y Sernet para explorar el contenido completo de este increíble disco compacto. También se han archivado los discos Assassins Games del 1 al 200 y los discos de utilidades Assassins, que se pueden desarchivar fácilmente desde un archivo Amiga Guide. Este archivo no solo da acceso a las instrucciones de cada juego, sino que también permite jugarlos directamente desde su menú o desde el menú principal.
ATR - All Terrain Racing (Europe)	ATR: All Terrain Racing es un juego de carreras de Team 17 que presenta una variedad de circuitos como en la nieve, el bosque y la costa. Los gráficos son en vista cenital con desplazamiento. La mayoría de los niveles tienen caminos largos y cortos, lo que añade un toque de estrategia en la manera de afrontarlos. A diferencia del anterior Overdrive de la compañía, hay más variedad en las curvas, en lugar de solo las de 90 grados. También hay power-ups y mejoras que se pueden comprar en la tienda.
Banshee (Europe) (En,Fr,De,Da)	Banshee es un shooter vertical clásico, que recuerda a títulos como la serie 194x o Tiger Heli. A bordo de tu avión, tendrás que disparar a los numerosos escuadrones enemigos que vendrán contra ti. Para ello, tendrás a tu disposición un cañón de doble disparo que al principio no es muy efectivo. Afortunadamente, de vez en cuando aparecerán bonificaciones que te darán acceso a nuevas armas: disparos laterales o diagonales, misiles teledirigidos... Y estas armas adicionales te serán muy útiles, ya que los enemigos son bastante numerosos y tu arma básica es desesperadamente ineficaz. Otras bonificaciones mejorarán tu armadura o te devolverán algo de vida, representada en la pantalla por un indicador que se vacía a medida que el Banshee recibe golpes.
