#key	synopsis
Akira (Europe)	Un jeu adapté du film du même nom. Dans les premiers niveaux vous devrez guider Kaneda avec sa moto sur une route remplie d'obstacles. Les barrages peuvent être dégagés avec des grenades. Vous devez également traverser le niveau sans manquer de carburant. Après les niveaux à moto il y a cinq niveaux de plate-forme. Le but de ces niveaux est de tuer tous ceux que vous rencontrez.
Alfred Chicken (Europe)	Vous incarnez Alfred, poulet de son état, à la poursuite des Meka-Chickens ayant enlevé son ami Billy ainsi que ses frères à des fins d'expériences démoniaques, et ce, au cours des 11 niveaux du jeu aux noms bien évocateurs: Cheese, Baby, Wood, Glass, Book, et Sci-fi... Alfred Chicken est un jeu de plateforme avec quelques particularités: Vous pouvez sauter et donner des coups de bec, mais pour les ennemis, il vous faudra lancer une attaque en piquée en cours de saut pour les abattre. Et si par malheur vous loupiez cette attaque, vous vous retrouverez bec coincé dans le sol pendant quelques instants. Cette même attaque en piquée vous permettra également de rebondir plus haut sur les tremplins.Pour terminer le niveau en cours, c'est simple: explosez tous les ballons du niveau vous donnera accès à sa sortie, le dernier ballon vous faisant accéder directement au Boss du niveau . De nombreux bonus et passages secrets seront également accessibles, vous procurant souvent un grand nombre de vies, faisant d'Alfred Chicken un jeu très accessible, même si la moindre touche d'un ennemi ou d'un danger vous en fera perdre une.
Alien Breed - Tower Assault (Europe)	Alien Breed : Tower Assault est un jeu d'action. Dans un futur lointain, l'humanité a colonisé énormément de planètes dans la galaxie. Malheureusement, toutes ne sont pas accueillantes et certaines sont carrément peuplées de monstres très hostiles. Vous êtes coincé sur un de ces cailloux rochers et devez survivre dans un complexe scientifique à la manière d'Aliens (le film).
Alien Breed 3D (Europe)	Alien Breed 3D est un FPS. Vous incarnez un marine piégé sur un vaisseau assailli par des aliens visqueux qui ont décidé de faire de vous leur délicieux repas. Il va falloir vous frayer un chemin pour essayer de sortir vivant de cet enfer. Le jeu propose 16 niveaux ainsi que la possibilité de jouer en multijoueur...
Alien Breed Special Edition & Qwak (Europe) (En,Fr,De,It,Da)	Une compilation de 2 titres : Alien Breed Special Edition et Qwak.
Arabian Nights (Europe) (En,Fr,De,It)	Dans Arabian Nights, vous incarnez Sinbad, jardinier du palais royal qui aime partir jeter un coup d'oeil à la princesse de temps à autre. Un jour, Sinbad voit un démon enlever la princesse. Il se précipite pour la sauver, mais il est attrapé par les gardes de palais et jeté au cachot...
Arcade Pool (Europe) (En,Fr,De,It)	Un jeu de billard vu de dessus afin d'être plus facile d'accès. Le jeu combine les différentes variations comme le billard anglais, le 8 ball, le billard normal, chacun avec une difficulté variable, des règles personnalisables, et une option 2 joueurs.
Assassins - Ultimate Games Compact Disc (Europe) (v2.0)	Le CD Assassins comprend des centaines de jeux pour la gamme d'ordinateurs CD32, CDTV et Amiga. Les jeux sont accessibles via un système de menu convivial, tous les jeux du menu étant compatibles avec le CD32. Workbench, Parnet et Sernet sont également fournis pour permettre l'accès à l'ensemble du contenu de ce disque compact vraiment étonnant. Pour s'assurer que rien n'a été oublié, nous avons également fourni les Assassins Games Disks 1 à 200 archivés sur le CD ainsi que les Assassins Utility Disks. Ces derniers sont facilement désarchivés à partir d'un fichier Amiga Guide fourni. Le Guide Amiga donne également accès aux instructions de chaque jeu et il est également possible de jouer aux jeux directement à partir du menu du Guide Amiga ainsi que du menu principal.
ATR - All Terrain Racing (Europe)	ATR : All Terrain Racing est un jeu de course vu de dessus avec une série de circuits dans la neige, forêt et le bord de mer. Les graphiques sont en 3D isométrique.
Banshee (Europe) (En,Fr,De,Da)	Banshee est un jeu de tir vertical classique, qui fait immanquablement penser à des titres comme la série des 194x ou Tiger Heli. A bord de votre avion, vous aurez à tirer sur les nombreuses escouades ennemies qui viendront à votre encontre. Pour cela, vous aurez à votre disposition un canon à double tir bien peu efficace au départ. Heureusement, des bonus apparaîtront de temps à autre, vous donnant accès à de nouvelles armes : tirs latéraux ou en diagonale, missiles à tête chercheuse... Et ces armes supplémentaires, elles vous seront bien utiles, car les ennemis sont sacrément nombreux votre arme de base est d'une inefficacité désespérante. D'autres bonus amélioreront votre blindage ou vous redonneront un peu de vie, celle-ci étant représentée à l'écran par une jauge qui se vide au fur et à mesure des impacts encaissés par le Banshee.
Base Jumpers (Europe)	Dans un style plate-forme 2D, les joueurs courent jusqu'au sommet des tours, en essayant de combiner 3 lettres pour recueillir des Bonus (il y a environ 500 combinaisons de 3 lettres différentes) et puis sauter du bâtiment en base jump . Le dernier joueur à éviter les obstacles et a ouvrir avec succès son parachute avant s'écraser au sol gagne le tour.
Battle Chess (Europe)	Battle Chess est un jeu d'échecs dont les pièces sont représentées par des personnages animés. Vous pouvez assister à ces animations lors des déplacements ou pendant les affrontements. Plusieurs niveaux de difficulté sont disponibles ainsi qu'un tutoriel qui vous enseigne les rudiments du jeu.
Battletoads (Europe)	Battletoads vous met dans la peau de Zitz, crapaud aux pouvoirs qui sortent de l'ordinaire. Votre but : sauver vos deux frères enlevés par la Reine Noire. Débarrassez-vous de vos adversaires à travers diverses phases de jeu passant par la conduite de véhicules, le simple combat rapproché ou le jeu de plates-formes.
Beavers (Europe)	Les beavers Supergroup et leur Chef Jethro sont numéro un dans les charts et ont du succès dans toutes les boites de la forêt. Mais, le numéro un précédent le groupe, les Rappin' Rabbit Rockers, sont très fâchés contre le succès des castors. Ils ont kidnapé l'épouse de jethro. Elle ne sera pas libérée jusqu'à ce que les castors soient congédiés et leurs musiques détruites. Jethro part sauver son épouse.
Beneath a Steel Sky (Europe) (En,Fr,De,It)	Beneath a Steel Sky est un jeu d'aventure. Le soft se déroule dans un univers Cyber-Punk, en Australie après que le monde ait été dévasté par la pollution et de nombreuses guerres nucléaires. Vous incarnez Foster, un jeune adulte qui s'est fait kidnapper pendant son enfance par des esclavagistes. Pendant un transport vous réussissez à vous échapper. C'est là que débute votre périple. Vous allez devoir parcourir le monde pour trouver de quoi survivre dans cet univers hostile.
Benefactor (Europe)	Aidez l'ami Ben E. Factor à libérer tous les merry men. En retour, ceux-ci vous aideront dans votre progression en actionnant des leviers ou en bidouillant des machines... Évitez les chausse-trappes et coopérez avec ces petites bébêtes pour sortir de tableaux de plus en plus complexes.
Big 6, The (Europe)	Ceci est une compilation regroupant 6 jeux: Prince Of The Yolkfolk Treasure Island Dizzy Spellbound Dizzy Crystal Kingdom Dizzy Fantastic Dizzy Magicland Dizzy
Black Viper (Europe) (En,De,It)	Vous incarnez le fils du dernier combattant de la liberté, dans un futur post nucléaire. Les combattants de liberté tentent de reprendre les villes restantes à des mercennaires. Vous devrez voyager de ville en ville sur votre moto armé de votre flingue, dans un temps donné. Au fil du jeu, les véhicules ennemis deviennent plus difficiles à détruire...
Brian the Lion (Europe) (En,Fr,De,It) (Gameplay CD-ROM)	Vous incarnez Brian, lion anthropomorphe en bermuda, qui doit délivrer son ami Chris, un cristal doté de conscience, des griffes de Geeza, monstre amateur de Hard Rock. Et ce, au cours des 40 niveaux du jeu vous faisant traverser tour à tour une ile tropicale, une forêt hantée, des grottes de cristal voire même la chambre magmatique d'un volcan.Le jeu dispose d'une carte à la Super Mario World ou James Pond 3 qui vous donnera un accès illimité aux différents niveaux du jeu. Il dispose également de nombreux passages secrets (et même des niveaux secrets), et pour ajouter à la diversité, il vous arrivera également de parcourir des phases de shmup.Brian peut sauter, frapper, courir et même rugir. Rugir permet de tuer les plus petits ennemis, mais ne vous amusez pas à le faire en présence des boss, une punition rapide vous attendrait.
Brutal Football (Europe)	Semblable à Speedball 2, Brutal Football est un jeu de sport ultra-violent. Les matches durent 7 minutes, et le but est d'entrer la balle dans un but adverse. La balle peut être lancée ou donnée à coup de pied, et elle est ovale. Des bonus et des non-bonus apparaissent sur le terrain, des bombes pour jeter aux adversaires, des lapins pour accélérer le joueur, ou des tortues pour le ralentir...
Bubba 'n' Stix (Europe)	Bubba 'n' Stix est un jeu de plates-formes. Bubba est livreur pour le zoo du coin et se fait enlever par des extraterrestres pour finir dans leur propre zoo. En route, leur vaisseau rencontre des problèmes et Bubba se retrouve coincé sur une lointaine planète avec d'autres créatures étranges dont Stix qui se lie d'amitié avec lui. Traversez tous les niveaux du jeu en compagnie du duo pour espérer rentrer sur cette bonne vieille Terre.
