#key	synopsis
Banshee (Europe) (En,Fr,De,Da)	Banshee é um atirador vertical clássico, reminiscente de títulos como a série 194x ou Tiger Heli. A bordo do seu avião, terá de disparar contra os numerosos esquadrões inimigos que virão contra si. Para o fazer, terá à sua disposição um canhão de duplo tiro que não é muito eficaz no início. Felizmente, de tempos a tempos aparecerão bónus, dando-lhe acesso a novas armas: tiros laterais ou diagonais, mísseis de referência... E estas armas adicionais serão úteis, pois os inimigos são bastante numerosos e a sua arma básica é irremediavelmente ineficaz. Outros bónus irão melhorar a sua armadura ou devolver-lhe alguma vida, que é representada no ecrã por um medidor que se esvazia à medida que o Banshee vai sendo atingido.
Beneath a Steel Sky (Europe) (En,Fr,De,It)	Beneath a Steel Sky é um jogo de aventura que se passa num universo Cyber-Punk, na Austrália, depois de o mundo ter sido devastado pela poluição e por numerosas guerras nucleares. Jogas como Foster, um jovem adulto que foi raptado em criança por traficantes de escravos. Durante um transporte, consegues escapar. É aí que começa a tua viagem. Terás de viajar pelo mundo para encontrar o que precisas para sobreviver neste universo hostil.
Cannon Fodder (Europe)	Guia uma equipa de até seis soldados através de múltiplas zonas de batalha neste jogo de acção/estratégia de cima para baixo. Selecciona-se um soldado ou grupo e depois clica-se num botão para os mover para um determinado local e outro para disparar contra um inimigo. Também pode apanhar granadas ou foguetes que podem ser utilizados para destruir grupos de inimigos, edifícios ou certos veículos. Cada missão tem um objectivo específico, e algumas envolvem veículos tais como tanques. As suas tropas podem atravessar a água mas não podem disparar contra ela, pelo que encontrar e controlar pontes é muitas vezes crucial. Pode usar a disposição das árvores para encontrar esconderijos de onde disparar, mas cuidado com os soldados inimigos que fazem o mesmo.
Chambers of Shaolin (Europe)	Ainda é apenas um aprendiz, mas já sonha em tornar-se o igual dos maiores monges de Shaolin. Não pela glória, não pela honra. E menos ainda por dinheiro. Mas para alcançar a realização em auto-negação. Felicidade na abnegação. Assim, só quando tiverdes conseguido progredir passando as várias provas nas câmaras de Shaolin, e depois terdes tido o privilégio de competir contra os melhores lutadores do templo, sereis julgados aptos a enfrentar o vosso maior desafio: abater o dragão vermelho.
Darkseed (Europe)	Dark Seed é um jogo de aventura na terceira pessoa em que jogas na pele de Mike Dawson. Este brilhante publicitário está à procura de solidão para se dedicar à escrita. A sua busca leva-o a Woodland Hills, onde compra uma bela mansão vitoriana por uma canção. Mas assim que chega à mansão, uma vontade irresistível de dormir força-o a adormecer. O jogo começa quando Mike acorda com uma dor de cabeça que o impede de pensar: um pesadelo assombroso, desaparecimentos misteriosos, residentes que se barricam em casa, polícias que não colaboram. Três dias é o tempo de que dispõe para compreender o que se passa e travar a conspiração organizada por extraterrestres, à espreita num mundo sombrio ligado ao nosso por um espelho. O mesmo que está pendurado na sala de estar de Mike Dawson.
Exile (Europe)	Quando uma equipa de terraformação de um planeta inexplorado envia mensagens preocupantes para a Terra e depois não responde, um aventureiro espacial é enviado para descobrir o que aconteceu. O jogador assume o papel de um homem do espaço que tem de explorar uma gigantesca rede subterrânea extraterrestre. Desde o início, o jogador tem à sua disposição uma série de armas e poderes. Desloca-se numa mochila a jato que é afetada pela gravidade, pelo vento e pela sua própria inércia. Os objectos também estão sujeitos às leis da física. Quando um astronauta morre, reaparece no último ponto de teletransporte. O jogador tem de encontrar uma forma de chegar às profundezas do planeta para salvar a equipa de terraformação e derrotar o malvado Triax!
Frontier - Elite II (Europe)	Frontier: Elite II é a sequela de Elite e continua praticamente da mesma forma. Tens uma nave e fundos limitados, e não tens para onde ir senão para o espaço. Negoceia, luta, persegue criminosos, trabalha para vários governos - tudo vale em Frontier . Há poucos, ou nenhuns, limites para o que podes fazer ou para onde podes ir. E o universo Frontier (com cerca de 100.000.000.000 de planetas e luas) é tão grande que nunca verás o fim dele.
Gunship 2000 (Europe)	Nesta simulação de helicóptero, assuma o controlo do Apache, Blackhawk, Commanche, ou MD-500 para pilotar as suas campanhas ou missões. O motor gráfico foi actualizado e oferece variações de terreno muito mais detalhadas, com vales e colinas reais e até túneis ferroviários pelos quais se pode viajar. Quando for promovido a uma patente suficientemente alta, pode levar vários helicópteros para alcançar os seus objectivos. A tripulação aprende e ganha experiência à medida que sobrevive e completa missões. Um gravador de missões completo permite-lhe ver cada membro da sua equipa a lutar ou a morrer. Estão também disponíveis numerosas armas.
James Pond 2 - Robocod (Europe)	O temível &quot;Dr. Maybe&quot; está planejando destruir completamente todas as fábricas de brinquedos existentes no mundo! Infiltrou-se nas melhores companhias pertencentes ao Papai Noel e nelas instalou bombas disfarçadas de pinguins que detonarão em 48 horas! Você, no papel de James Pond - um famoso agente subaquático com licença para nadar - terá que acabar com a graça do doutor usando um traje de robô bastante resistente e equipado. Seu nome código será, portanto, &quot;Robocod&quot;. Mas esta, certamente, não será uma tarefa fácil. Todo cuidado é pouco quando o assunto é escalar muros altos e cheios de perigo ou esquivar-se de balas supersônicas e lagartas assassinas em oitos desafiadores níveis!
Jim Power in Mutant Planet (USA)	Jim Power foi um herói que, enquanto viajava pela floresta um dia, deparou-se com uma fenda dimensional que o levou a um estranho mundo novo. Felizmente, Jim ainda viaja armado e terá agora de lutar pelo seu caminho através dos monstros para encontrar o seu caminho de casa. Jim Power é um atirador de plataforma de rolagem lateral, um atirador de rolagem lateral e um atirador de cima para baixo, dependendo do nível. Jim Power pode saltar e tem uma arma que pode ser actualizada. Ele deve combater inimigos, chefes e obter várias chaves para avançar através dos níveis. Jim também tem um poderoso ataque &quot;Smart Bomb&quot; que pode abater todos os inimigos no ecrã.
