#key	name	year	genre	developer	players
3rd Degree (USA)	3rd Degree	1992	Quiz / English/Quiz	PF Magic	6
7th Guest, The (USA) (Disc 1) (The Game)	The 7th Guest	1993	Adventure	Trilobyte	1
Accelerator (Europe)	Accelerator	1997	Simulation	SPC Vision	1-2
Affaire Morlov, L' (Europe) (En,Fr)	L'affaire Morlov	1995	Adventure	CPIO Multimedia	1
Alice au Pays des Merveilles (France)	Alice in Wonderland	1992	Action / Adventure/Action	Spinnaker Software	1
Alice in Wonderland (USA)	Alice in Wonderland	1992	Action / Adventure/Action	Spinnaker Software	1
Alien Gate (USA)	Alien Gate	1993	Shoot'em Up	SPC Vision	1
All the Fun of the Fair - Engels voor Kinderen (Netherlands)	All The Fun Of The Fair - Engels Voor Kinderen	1993	Educational	CODIM Interactive Media	1
Ange et le Demon, L' (France)	Ange Et Le Demon, L'	1993	Adventure	Smart Move	1
Apprentice, The (USA)	The Apprentice	1994	Platform	The Vision Factory	1
Arcade Classics (Europe)	Arcade Classics	1996	Compilation	Namco	1-2
Asterix - Caesar's Challenge (Europe)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - De Uitdaging van Caesar (Netherlands)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - Die grosse Reise (Germany)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - El Desafio de Cesar (Spain)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - La Sfida di Cesare (Italy)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - Le Defi de Cesar (France)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Asterix - O Desafio de Cesar (Portugal)	Asterix : Caesar's Challenge	1993	Board game	Infogrames	1-4
Atlantis - The Last Resort (Europe)	Atlantis : The Last Resort	1997	Shooter / FPV/Shooter	Philips Interactive Media	1
Aventures de Sandy au Cirque, Les (France)	Sandy’s Circus Adventures				
Avventure di Sandy al Circo, Le (Italy)	Sandy’s Circus Adventures				
Axis and Allies (USA)	Axis And Allies	1994	Board game	CapDisc	1-5
Backgammon (USA, Europe)	Backgammon	1991	Board game	Capitol Disc Interactive	1-2
Battleship (World)	Battleship	1991	Strategy	Capitol Disc Interactive	1-2
Beauty & the Beast (USA, Europe)	Beauty and the Beast		Adventure / Visual Novel/Adventure	Lightyear Entertainment	1
Bella e La Bestia, La (Italy) (En,It)	Beauty and the Beast		Adventure / Visual Novel/Adventure	Lightyear Entertainment	1
Belle et la Bete, La (France)	Beauty and the Beast		Adventure / Visual Novel/Adventure	Lightyear Entertainment	1
Berenstain Bears, The - Bij de Berenstain Beren Thuis - Thuis en bij Jou (Netherlands)	The Berenstain Bears : On Their Own	1993	Educational	Philips Sidewalk Studio	1
Berenstain Bears, The - On Their Own (USA)	The Berenstain Bears : On Their Own	1993	Educational	Philips Sidewalk Studio	1
Big Bang Show (France) (En,Fr)	Big Bang Show	1995	Adventure/Quiz	Infogrames	1-2
BrainDead 13 (Europe)	Brain Dead 13	1993	Adventure / Interactive Movie/Adventure	ReadySoft	1
