#name	crc	size	key
3rd Degree (USA)	b67e1701	103	3rd Degree (USA)
3rd Degree (USA) (Beta) (1992-05-08)	32fbfb7a	100	3rd Degree (USA)
7th Guest, The (Europe) (Disc 1) (The Game)	52da65c1	130	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (Europe) (Disc 1) (The Game) (EDC)	e8df4762	136	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (France) (Disc 1) (Le Jeu)	86c50f56	128	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (France) (Disc 1) (Le Jeu) (Rev 1)	bb18d39c	136	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (Germany) (Disc 1) (Das Spiel)	e20deb6a	132	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (Germany) (Disc 1) (Das Spiel) (Rev 1)	0f9c5afe	140	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (USA) (Beta) (1994-02-04)	f0a97b36	127	7th Guest, The (USA) (Disc 1) (The Game)
7th Guest, The (USA) (Disc 1) (The Game)	6c23cf1c	127	7th Guest, The (USA) (Disc 1) (The Game)
Accelerator (Europe)	0b645dd6	935	Accelerator (Europe)
Affaire Morlov, L' (Europe) (En,Fr)	47f5ad0c	122	Affaire Morlov, L' (Europe) (En,Fr)
Alice au Pays des Merveilles (France)	da49f943	124	Alice au Pays des Merveilles (France)
Alice in Wonderland (Europe)	c3f6fa48	92	Alice in Wonderland (USA)
Alice in Wonderland (Netherlands)	06e1a44f	120	Alice in Wonderland (USA)
Alice in Wonderland (USA)	d0e2251e	89	Alice in Wonderland (USA)
Alien Gate (Europe) (Rev 2)	b1a33cc1	343	Alien Gate (USA)
Alien Gate (Europe) (Rev 3)	7f81f72e	343	Alien Gate (USA)
Alien Gate (Europe) (Rev 4)	bc5490f3	366	Alien Gate (USA)
Alien Gate (USA)	2efeed03	243	Alien Gate (USA)
Alien Gate (USA) (Rev 1)	2d6e77d6	236	Alien Gate (USA)
Ange et le Demon, L' (France)	f2145f49	116	Ange et le Demon, L' (France)
Apprentice, The (Europe)	ce42b8bd	2641	Apprentice, The (USA)
Apprentice, The (USA)	90b13d66	2575	Apprentice, The (USA)
Arcade Classics (Europe)	14e5febd	111	Arcade Classics (Europe)
Asterix - Caesar's Challenge (Europe)	db40542d	124	Asterix - Caesar's Challenge (Europe)
Asterix - De Uitdaging van Caesar (Netherlands)	479a04fb	134	Asterix - De Uitdaging van Caesar (Netherlands)
Asterix - Die grosse Reise (Germany)	864db6a0	123	Asterix - Die grosse Reise (Germany)
Asterix - El Desafio de Cesar (Spain)	bea5d582	124	Asterix - El Desafio de Cesar (Spain)
