#key	synopsis
3rd Degree (USA)	Would you like to protect your boss who is having an affair? If you got an anniversary gift you didn't like, what would you do? If you found $1 million, would you keep it? You know how you would answer--but what about your friends? Do you think you know? You'll be quizzed on love, family, career, money and potpourri. Sometimes you're right, and sometimes you're not! The answers will surprise you. It's 3rd Degree--the first CD-i game show. You are the contestant in the hot seat in this interactive game. Meet hilarious hosts and a very astute judge. Choose from an assortment of colorful characters and challenge your friends to three rounds of provocative dilemmas! In 3rd Degree it all adds up to lots of laughs, and the kind of lively conflict everyone loves.
7th Guest, The (USA) (Disc 1) (The Game)	The 7th Guest is a puzzle-adventure game which takes place inside an abandoned mansion. Venture into the 22 rooms of the spooky mansion, solve over 20 mind-bending puzzles to unravel a tale of revenge and horror that took place in the 1930s. The owner of the mansion was Henry Stauf, a famous maker of children's toys. Once a homeless drifter and thief, influenced by a vision in a dream, Henry invented a wondrous doll, so incredibly life-like that it sold like wildfire. Stauf's toys became popular overnight bringing fame and fortune and changing his rags to riches. But things took a tragic turn when owners of the doll became infected with a fierce and deadly virus. None of those children recovered. After this turn of events Stauf secluded himself inside his estate, stopped making his toys and never came into contact with the outside world for a long time. Something very strange happened when six people receive an invitation to a party at the mansion. By solving the riddles inside Stauf's &quot;fun house&quot;, you'll delve into the past to learn what happened to them, and the mysterious 7th guest, on that fateful night. The game is played in first person perspective with a point-and-click interface featuring horror-themed animated cursors (skeletons, bulging-eye skulls etc.). It is one of the first games to be released on the then-new CD-Rom media. The graphics are fully rendered in SVGA, and real actors and actresses bring the story to life during numerous full-motion video cut scenes. The visuals are accompanied by an original, orchestrated musical score. To finish the game, you must solve the puzzles in Stauf's manor; each solved puzzle will unlock new rooms or new movie sequences to watch. The puzzles are quite varied; there's the classic &quot;eight queens puzzle&quot;, another puzzle where you need to compose a sentence by rearranging letters, and others. If you get stuck, you can visit the library; a book within will give you hints on the puzzle. If the hints aren't enough, the puzzle will solve itself automatically once you consult the book enough times. Some later, limited releases of the game came with a separate video that included a &quot;behind the scenes&quot; look at the making of the game and interviews with the developers.
Accelerator (Europe)	Accelerator is na all-time classic 2D racing game! You select from one of eight diferente drivers and then it's off to the races. Drive around the track as fast as possible avoiding enemy bullets and collecting Money all along the way. If you collect enough cash and finish in one of the top four spots, you can buy your own ammunition or improve your driving skills. Don't Forget, select your driver carefully, since each driver has their own abilities including traction, acceleration, speed and armor.
Affaire Morlov, L' (Europe) (En,Fr)	L affaire Morlov is a spy thriller in which you play Paul Keirn, a journalist for the newspaper &quot;Liberation&quot;. Your girlfriend Virginie has been kidnapped and you are framed for a murder. You have 48 hours to clear your name and rescue Virginie. The game takes place from the first-person perspective, with all the action going on in real time. Similar to numerous other detective games, your key tasks are to talk to the right people, search each location thoroughly for clues, and study photographic evidence. The game features full-motion video and includes some adult scenes. To travel around in Paris the game provides a map.
Alice au Pays des Merveilles (France)	Now you are Alice and Wonderland awaits you. Mad Hatter, the Cheshire Cat, the Queen of Spades, and all the Wonderland characters are there. This interactive fast-paced adventure game of the classic Alice in Wonderland excites the player with 250 amazing scenarios and 40 eccentric and rich characters. There are mushrooms, cakes and potions, all ready to eat. One will make you small as a mouse; another big as a giant! Characters appear to help (or hinder) you as you gather clues and acquire the powers needed to escape from Wonderland and return home. Rich digital color and sound add to one of the most inventive, fun CD-i programs yet.
Alice in Wonderland (USA)	Now you are Alice and Wonderland awaits you. Mad Hatter, the Cheshire Cat, the Queen of Spades, and all the Wonderland characters are there. This interactive fast-paced adventure game of the classic Alice in Wonderland excites the player with 250 amazing scenarios and 40 eccentric and rich characters. There are mushrooms, cakes and potions, all ready to eat. One will make you small as a mouse; another big as a giant! Characters appear to help (or hinder) you as you gather clues and acquire the powers needed to escape from Wonderland and return home. Rich digital color and sound add to one of the most inventive, fun CD-i programs yet.
Alien Gate (USA)	A terrifying evil is threatening the safety of your planet. Hordes of monsters are advancing through the Alien Gate with one objective in mind - the destruction of your world! Only you can ward off this danger. As a rocket fighter pilot, your coolheadedness will be tested to the utmost. The last battle has begun.
All the Fun of the Fair - Engels voor Kinderen (Netherlands)	The annual Country Fair is coming to Bear Country, but no one has time to take Brother and Sister. Oh boy, are the Bear Cubs going to be upset! So Mama agrees to let them prove they can be responsible enough to go to the fair on their own. Children can join this story and visit delightful locations with over twenty games and learning activities and nine new songs.
Ange et le Demon, L' (France)	It is up to the player to find an angelic sword that is stolen by the forces of evil.
Apprentice, The (USA)	Poor Marvin needs your help! As apprentice to the great wizard Gandorf S. Wandburner III, Marvin must perform treacherous tasks throughout the castle towers. Take control of the apprentice and guide him through six heart-stopping levels in the arcade-style platform game that delivers fast, furious play with thousands of frames of animation. You'll be running, jumping, flying, even swimming your way around the towers, working against the clock and all the beastly enemies who are eager to prove that a wizard's work is never done!
Arcade Classics (Europe)	Remember the good old days spending hours behind the arcade machine? These days are back. &quot;Arcade Classics&quot; has 3 all time classic games from the time that &quot;Game play&quot; was #1: Ms. Pac-Man, Galaxian and Galaga!
Asterix - Caesar's Challenge (Europe)	This interactive board game offers action and adventure as Asterix and his friends journey around the Roman Empire on a challenge from Caesar while learning about different countries' history and culture. You can play as various characters including Asterix, Obelix, Impedimenta, Panacea, Justforkix and Geriatrix. You have to collect souvenirs from various places as proof you've been there, and then get back to your village in time or else Caesar will win. It allows for up to 4 players or you can play against the computer. The game track has 54 squares that can be landed on which represent countries, challenges, prisons, magic potions, traps, rest, and meeting character opportunities. The druid Getafix is host and will hand out magic potion flasks to players (except Obelix who, as fans of the comics know, fell into a potion when he was very young). You can acquire some interesting gadgets from the druid-spy Dubbelosix, that will help you move more quickly. To win the recquired souvenir items, you have to either answer the questions asked in the country squares or buy them from the Phoenician merchant Ekonomikrisis with sestertii won in challenge squares. The scoundrel Tortuous Convolvulus will also try to impede the players progress, so look out.
