#key	synopsis
3rd Degree (USA)	¿Te gustaría proteger a tu jefe que te está engañando? Si recibieras un regalo de aniversario que no te gustara, ¿qué harías? Si encontraras un millón de dólares, ¿te lo quedarías? Sabes cómo responderías, pero ¿y tus amigos? ¿Crees saberlo? Te harán preguntas sobre amor, familia, carrera, dinero y un montón de cosas más. ¡A veces acertarás, y a veces no! Las respuestas te sorprenderán. Es 3rd Degree, el primer concurso de CD-i. Eres el concursante en el banquillo de los acusados ​​en este juego interactivo. Conoce a presentadores divertidísimos y a un juez muy astuto. Elige entre una variedad de personajes pintorescos y desafía a tus amigos a tres rondas de dilemas provocativos. En 3rd Degree, todo se traduce en muchas risas y el tipo de conflicto animado que a todos les encanta.
Arcade Classics (Europe)	¿Recuerdas los viejos tiempos jugando durante horos con los comecocos? ¡Esos dias han vuelto! &quot;Arcade Classics&quot;te trae 3 de los clasicos de todos los tiempos: Ms. Pacman, Lalaxian y Galaga. ¡A disfrutar!
Berenstain Bears, The - Bij de Berenstain Beren Thuis - Thuis en bij Jou (Netherlands)	Los osos Berenstain: como adultos es un libro de cuentos interactivo para niños basado en la popular serie de libros infantiles. Una feria anual ha llegado al país de los osos, pero nadie tiene tiempo para ir con los hermanos osos. Mamá Osa accede a dejarles ir solos si demuestran que pueden ser responsables. El juego incluye 29 juegos educativos para niños. Cada vez que tienen éxito, el jugador puede ganar estrellas. Los juegos incluyen limpiar su habitación virtual, coger el autobús para ir al colegio, emparejar el alfabeto, leer el reloj y mucho más. Al principio, todos los juegos están relacionados con la casa, pero una vez que el jugador ha demostrado responsabilidad, se desbloquean otros juegos en la feria.
Berenstain Bears, The - On Their Own (USA)	Los osos Berenstain: como adultos es un libro de cuentos interactivo para niños basado en la popular serie de libros infantiles. Una feria anual ha llegado al país de los osos, pero nadie tiene tiempo para ir con los hermanos osos. Mamá Osa accede a dejarles ir solos si demuestran que pueden ser responsables. El juego incluye 29 juegos educativos para niños. Cada vez que tienen éxito, el jugador puede ganar estrellas. Los juegos incluyen limpiar su habitación virtual, coger el autobús para ir al colegio, emparejar el alfabeto, leer el reloj y mucho más. Al principio, todos los juegos están relacionados con la casa, pero una vez que el jugador ha demostrado responsabilidad, se desbloquean otros juegos en la feria.
Clue (USA)	Cluedo es una adaptación al videojuego del popular juego de mesa &quot;CLUE&quot;. Hay tres historias con cuatro niveles de dificultad, cada una con una solución única lo que hace un total de doce misterios diferentes: The Hodded Madonna, Happy Ever After y Deadly Patent. El sistema de movimiento, donde el jugador mueve el cursor a una parte de la pantalla y hace clic en él para moverse o girar en esa dirección, es similar al que se encuentra en The 7th Guest. Dentro de las habitaciones, la pantalla cambia a un panorama de 360º que se puede desplazar moviendo el cursor a sus bordes. Al hacer clic en los relojes comienza un video flashback de lo que sucedió en la habitación antes de que se cometiera el crimen. Al hacer clic en los sospechosos aparece la pantalla de interrogatorio, donde se les puede preguntar acerca de las armas, sus coartadas, etc. Al hacer clic en pasajes secretos, el jugador se transporta a otra habitación.
Cluedo (Europe)	Cluedo es una adaptación al videojuego del popular juego de mesa &quot;CLUE&quot;. Hay tres historias con cuatro niveles de dificultad, cada una con una solución única lo que hace un total de doce misterios diferentes: The Hodded Madonna, Happy Ever After y Deadly Patent. El sistema de movimiento, donde el jugador mueve el cursor a una parte de la pantalla y hace clic en él para moverse o girar en esa dirección, es similar al que se encuentra en The 7th Guest. Dentro de las habitaciones, la pantalla cambia a un panorama de 360º que se puede desplazar moviendo el cursor a sus bordes. Al hacer clic en los relojes comienza un video flashback de lo que sucedió en la habitación antes de que se cometiera el crimen. Al hacer clic en los sospechosos aparece la pantalla de interrogatorio, donde se les puede preguntar acerca de las armas, sus coartadas, etc. Al hacer clic en pasajes secretos, el jugador se transporta a otra habitación.
Comando Tierra (Spain)	Earth Command es un juego de simulación estratégica centrado en las amenazas ecológicas y sociales que se ciernen sobre nuestro planeta. El jugador asume el papel de jefe de un puesto de mando especial de las Naciones Unidas en el espacio. Tiene pleno control para asignar presupuestos e impuestos, enviar ayuda de emergencia, decretar leyes de excepción y otras acciones de interés global. Deberás combatir tanto las catástrofes naturales como las sociales. El juego se desarrolla en un mapa del mundo de arriba abajo. Cada vez que surge una situación se acompaña de vídeos en movimiento. El juego cubre 500 posibles emergencias en 130 países diferentes e incluye vídeos reales de, entre otros, CNN, Greenpeace y el Departamento de Estado de EE UU.
Defender of the Crown (USA, Europe)	En Defender of the Crown juegas como uno de los cuatro caballeros sajones de la Inglaterra medieval, en un momento en que el país está sumido en la confusión porque el rey ha muerto y le han robado la corona. Sajones y normandos se culpan mutuamente y luchan por el control de Inglaterra. Tras una breve introducción del propio Robin de Locksley, comienzas el juego con un único castillo y 10 soldados a tus órdenes. Luego tendrás que construir tu ejército, tomar el control de más territorios y luchar contra los tres señores normandos, pero también a veces contra tus amigos sajones. El juego tiene varios estilos diferentes: Puedes participar en una justa en la que tienes que derribar a tu oponente del caballo con una lanza, puedes ir a saquear un castillo en busca de botín o puedes atacar otro territorio/castillo.
Dimo's Quest (USA)	Para poder casarse con la princesa Dori, la rana Dimo tiene que recolectar todos los dulces que su padre, el rey Greenfoot, quiere en todo el reino! Eso significa más de 50 niveles; así que ayuda a Dimo en su búsqueda en este lindo juego de rompecabezas.
Earth Command (USA)	Earth Command es un juego de simulación estratégica centrado en las amenazas ecológicas y sociales que se ciernen sobre nuestro planeta. El jugador asume el papel de jefe de un puesto de mando especial de las Naciones Unidas en el espacio. Tiene pleno control para asignar presupuestos e impuestos, enviar ayuda de emergencia, decretar leyes de excepción y otras acciones de interés global. Deberás combatir tanto las catástrofes naturales como las sociales. El juego se desarrolla en un mapa del mundo de arriba abajo. Cada vez que surge una situación se acompaña de vídeos en movimiento. El juego cubre 500 posibles emergencias en 130 países diferentes e incluye vídeos reales de, entre otros, CNN, Greenpeace y el Departamento de Estado de EE UU.
