#key	synopsis
3rd Degree (USA)	Menteriez-vous pour protéger votre patron qui a une liaison ? Si vous receviez un cadeau d'anniversaire qui ne vous plaisait pas, que feriez-vous ? Si vous trouviez 1 million de dollars, le garderiez-vous ? Vous savez comment vous répondriez… mais qu'en est-il de vos amis ? Vous pensez le savoir ? On vous posera des questions sur l'amour, la famille, la carrière, l'argent et le pot-pourri. Parfois vous avez raison, et parfois non ! La réponse vous surprendra. C'est 3rd degree, le premier jeu télévisé de CD-i. Vous êtes le candidat sur la sellette dans ce jeu interactif. Rencontrez des animateurs hilarants et un juge très astucieux. Choisissez parmi un assortiment de personnages hauts en couleur et défiez vos amis à trois tours de dilemmes provocateurs ! Au 3e degré, tout cela donne lieu à beaucoup de rires et au genre de conflit animé que tout le monde aime. Après tout, ce n'est qu'un jeu… n'est-ce pas ?
7th Guest, The (USA) (Disc 1) (The Game)	Le jeu se déroule dans le manoir inhabité du fabricant de jouets Henry Stauf, personnage étrange disparu depuis longtemps. Cette demeure est abandonnée depuis que des enfants y ont affronté la mort et que six invités s'y sont rendus pour ne plus jamais en revenir. Au hasard des incursions du joueur d'une pièce à l'autre, des scènes de cette nuit d'horreur ressurgissent et se mêlent à la réalité. Il devait y avoir un septième invité, auquel Henry Stauf a tendu un piège diabolique. Le joueur doit résoudre une série d'énigmes pour mettre fin à ce cauchemar en découvrant le secret du septième invité.
Accelerator (Europe)	Accelerator est un jeu de course classique en 2D ! Vous choisissez l'un des huit pilotes différents et c'est parti pour la course. Conduisez sur la piste aussi vite que possible en évitant les balles ennemies et en collectant de l'argent tout au long du parcours. Si vous collectez suffisamment d'argent et terminez dans l'une des quatre premières places, vous pouvez acheter vos propres munitions ou améliorer vos compétences de conduite. N'oubliez pas de choisir votre pilote avec soin, car chaque pilote a ses propres capacités, notamment la traction, l'accélération, la vitesse et le blindage.
Affaire Morlov, L' (Europe) (En,Fr)	L'affaire Morlov est un thriller d'espionnage dans lequel vous incarnez Paul Keirn, journaliste au journal &quot;Liberation&quot;. Votre petite amie Virginie a été kidnappée et vous êtes accusé d'un meurtre. Vous avez 48 heures pour effacer votre nom et sauver Virginie. Le jeu se déroule à la première personne, toutes les actions se déroulant en temps réel. Comme pour de nombreux autres jeux de détective, vos tâches principales sont de parler aux bonnes personnes, de rechercher minutieusement chaque lieu et de rechercher des indices et d'étudier les preuves photographiques. Le jeu inclut des scènes pour adultes. Pour se déplacer dans Paris, le jeu fournit une carte.
Alice au Pays des Merveilles (France)	Vous êtes Alice et le pays des merveilles vous attend. Le Chapelier Fou, le chat de Cheshire, la reine de pique et tous les personnages du pays des merveilles sont là. Ce jeu d'aventure interactif au rythme effréné du classique Alice au pays des merveilles excite le joueur avec 250 scénarios incroyables et 40 personnages excentriques et riches. Il y a des champignons, des gâteaux et des potions, tous prêts à étre manger. L'un d'eux vous rendra petit comme une souris; un autre gros comme un géant! Les personnages semblent vous aider (ou vous entraver) lorsque vous collectez des indices et obtenez les pouvoirs nécessaires pour vous échapper du pays des merveilles et rentrer chez vous. Son et couleurs numériques riches complètent l'un des programmes CD-i les plus inventifs et les plus amusants à ce jour.
Alice in Wonderland (USA)	Vous êtes Alice et le pays des merveilles vous attend. Le Chapelier Fou, le chat de Cheshire, la reine de pique et tous les personnages du pays des merveilles sont là. Ce jeu d'aventure interactif au rythme effréné du classique Alice au pays des merveilles excite le joueur avec 250 scénarios incroyables et 40 personnages excentriques et riches. Il y a des champignons, des gâteaux et des potions, tous prêts à étre manger. L'un d'eux vous rendra petit comme une souris; un autre gros comme un géant! Les personnages semblent vous aider (ou vous entraver) lorsque vous collectez des indices et obtenez les pouvoirs nécessaires pour vous échapper du pays des merveilles et rentrer chez vous. Son et couleurs numériques riches complètent l'un des programmes CD-i les plus inventifs et les plus amusants à ce jour.
Alien Gate (USA)	Un mal terrifiant menace la sécurité de votre planète. Des hordes de monstres avancent à travers la Porte des extraterrestres avec un objectif en tête: la destruction de votre monde! Vous seul pouvez prévenir de ce danger. En tant que pilote de fusée, votre sang-froid sera mis à rude épreuve. La dernière bataille a commencé.
Ange et le Demon, L' (France)	Dans le cadre du Mont Saint-Michel, votre but est de retrouver l'épée de l'Ange, dérobée par les forces du mal symbolisées par le Démon. C'est un jeu en Point & Click (un Myst-like si vous préférez), dont la progression est basée sur la résolution d'énigmes. Toutes les images du jeu sont de véritables photos du célèbre site historique, et un support documentaire est également présent.
Apprentice, The (USA)	Le pauvre Marvin a besoin de votre aide ! En tant qu'apprenti du grand sorcier Gandorf S. Wandburner III, Marvin doit accomplir des tâches dangereuses dans les tours du château. Prenez le contrôle de l'apprenti et guidez-le à travers six niveaux à couper le souffle dans le jeu de plate-forme de style arcade qui offre un jeu rapide et furieux avec des milliers d'images d'animation. Vous courrez, sauterez, volerez, nagerez même autour des tours, travaillerez contre la montre et tous les ennemis bestiaux désireux de prouver que le travail d'un sorcier n'est jamais terminé !
Arcade Classics (Europe)	Vous vous souvenez du bon vieux temps où vous passiez des heures derrière la machine d'arcade ? Ces jours sont de retour. &quot;Arcade Classics&quot; propose 3 jeux classiques de l'époque où le &quot;Game play&quot; était n°1 : Ms. Pac-Man, Galaxian et Galaga !
