#key	synopsis
Arcade Classics (Europe)	Ti ricordi i bei vecchi temp in cui passavi le tue ore in sala giochi? Quei giomi sono tornati! &quot;Arcade Cassics&quot; contiene i tre giochi oiu classici della storia dei videogames: Ms. Pac-Mac, Galaxian e Galaga!
Asterix - Caesar's Challenge (Europe)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - De Uitdaging van Caesar (Netherlands)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - Die grosse Reise (Germany)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - El Desafio de Cesar (Spain)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - La Sfida di Cesare (Italy)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - Le Defi de Cesar (France)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Asterix - O Desafio de Cesar (Portugal)	Questo gioco da tavolo interattivo offre azione e avventura mentre Asterix e i suoi amici viaggiano per l'Impero Romano su una sfida di Cesare mentre imparano la storia e la cultura di diversi paesi. Puoi giocare nei panni di vari personaggi tra cui Asterix, Obelix, Impedimenta, Panacea, Justforkix e Geriatrix. Devi raccogliere souvenir da vari luoghi come prova che ci sei stato, e poi tornare al tuo villaggio in tempo, altrimenti Cesare vincerà. Consente fino a 4 giocatori o puoi giocare contro il computer. Il percorso di gioco ha 54 caselle su cui è possibile atterrare che rappresentano paesi, sfide, prigioni, pozioni magiche, trappole, riposo e opportunità di incontro dei personaggi.
Atlantis - The Last Resort (Europe)	Il direttore del carcere ti ha fatto un'offerta che non puoi rifiutare... &quot;Spegni il reattore al cuore del paradiso di Atlantide e in cambio sarai libero&quot;. E tu hai risposto... &quot;Dov'è il mio lanciarazzi?&quot; 20livelli di sparatorie all'impazzata.
Beauty & the Beast (USA, Europe)	La meravigliosa storia di Bella e la Bestia viene riproposta in forma interattiva in due lingue, inglese e italiano. In uno splendido palazzo vive una Bestia bruttissima. Chi potrebbe mai volergli bene? Solo una giovane, timida e stupenda fanciulla, che ci insegnerà che in tutte le persone c'è qualcosa di buono e che è meglio credere al cuore che alle apparenze.
Bella e La Bestia, La (Italy) (En,It)	La meravigliosa storia di Bella e la Bestia viene riproposta in forma interattiva in due lingue, inglese e italiano. In uno splendido palazzo vive una Bestia bruttissima. Chi potrebbe mai volergli bene? Solo una giovane, timida e stupenda fanciulla, che ci insegnerà che in tutte le persone c'è qualcosa di buono e che è meglio credere al cuore che alle apparenze.
Belle et la Bete, La (France)	La meravigliosa storia di Bella e la Bestia viene riproposta in forma interattiva in due lingue, inglese e italiano. In uno splendido palazzo vive una Bestia bruttissima. Chi potrebbe mai volergli bene? Solo una giovane, timida e stupenda fanciulla, che ci insegnerà che in tutte le persone c'è qualcosa di buono e che è meglio credere al cuore che alle apparenze.
Berenstain Bears, The - Bij de Berenstain Beren Thuis - Thuis en bij Jou (Netherlands)	Gli Orsi Berenstain: come i grandi è un libro di fiabe interattivo per bambini basato sulla popolare serie di libri per bambini. Nel paese degli orsi è arrivata la fiera annuale, ma nessuno ha il tempo di andare con i fratelli e le sorelle orsi. Mamma orso accetta di lasciarli andare da soli se dimostrano di essere responsabili. Il gioco comprende 29 giochi educativi per bambini. Ogni volta che riescono nell'impresa, il giocatore può guadagnare delle stelle. I giochi includono la pulizia della loro stanza virtuale, prendere l'autobus per andare a scuola, abbinare l'alfabeto, leggere l'orologio e altro ancora. Inizialmente tutti i giochi riguardano la casa, ma una volta che il giocatore ha dato prova di responsabilità, vengono sbloccati altri giochi in fiera.
Berenstain Bears, The - On Their Own (USA)	Gli Orsi Berenstain: come i grandi è un libro di fiabe interattivo per bambini basato sulla popolare serie di libri per bambini. Nel paese degli orsi è arrivata la fiera annuale, ma nessuno ha il tempo di andare con i fratelli e le sorelle orsi. Mamma orso accetta di lasciarli andare da soli se dimostrano di essere responsabili. Il gioco comprende 29 giochi educativi per bambini. Ogni volta che riescono nell'impresa, il giocatore può guadagnare delle stelle. I giochi includono la pulizia della loro stanza virtuale, prendere l'autobus per andare a scuola, abbinare l'alfabeto, leggere l'orologio e altro ancora. Inizialmente tutti i giochi riguardano la casa, ma una volta che il giocatore ha dato prova di responsabilità, vengono sbloccati altri giochi in fiera.
BrainDead 13 (Europe)	Lance Galahad ha un problema. La buona notizia è che hai infinite vite a disposizione... e la brutta notizia è che probabilmente ti serviranno tutte. Un fantastico gioco di azione incredibilimente animato che ti farà morire dalle risate!
Burn-Cycle (USA, Europe) (Disc 1) (The Game)	Qualcosa è andato storto a Sol Cutter durante il suo ultimo furto di dati, un virus letale è entrato nella sua mente, il BURN:CYCLE. Il virus è già in azione e sta corrodendo velocemente il suo cervello. Come Sol Cutter hai solo due ore di tempo per disattivare il virus spremendoti il cervello - finché ancora ne hai uno! BURN:CYCLE presenta personaggi cinematografici magicamente inseriti in ambienti tridimensionali, un gioco interattivo di verlocià e sofisticazione allucinanti.
Christmas Crisis (Europe)	Christmas Crisis è un gioco di piattaforme in 2D con un tema natalizio. Il giocatore gioca come Babbo Natale e deve disarmare ventiquattro regali che sono stati truccati con esplosivi dal malvagio Dr. Rubberchicken. Nei panni di Babbo Natale, il giocatore è armato di palle di neve che possono essere usate per mettere fuori combattimento i giocattoli malvagi inviati per fermarti sul tuo cammino dal Dr. Rubberchicken. A parte la neve, che consente al giocatore di ricostituire le sue palle di neve, ci sono vari altri tipi di pickup che possono essere raccolti come il tesoro. Quando viene raccolto abbastanza tesoro, il giocatore riceve una password che gli consente di riavviare il gioco da quel livello dopo che è morto. Il gioco presenta nuovi temi per ogni livello e alla fine il giocatore deve combattere un boss finale. La maggior parte dei livelli sono orientati verticalmente e quindi consentono molti salti. Tra i livelli ci sono alcuni livelli bonus 3D in cui il giocatore cavalca la slitta di Babbo Natale in prima persona. La slitta si muove lungo un binario e il giocatore deve schivare gli ostacoli.
Comando Tierra (Spain)	Earth Command è un gioco di simulazione strategica che si concentra sulle minacce ecologiche e sociali al nostro pianeta. Il giocatore assume il ruolo di capo di uno speciale posto di comando delle Nazioni Unite nello spazio. Il giocatore ha il pieno controllo di allocare budget e tasse, inviare assistenza di emergenza, decretare leggi di emergenza e altre azioni di interesse globale. Dovrete combattere disastri naturali e sociali. Il gioco si svolge su una mappa del mondo dall'alto verso il basso. Ogni volta che si presenta una situazione è accompagnata da video in full motion. Il gioco copre 500 possibili emergenze in 130 Paesi diversi e include filmati reali provenienti, tra gli altri, da CNN, Greenpeace e dal Dipartimento di Stato degli Stati Uniti.
Crayon Factory, The (USA)	Entrate nel mondo dei colori... La fabbrica dei pastelli è uno straordinario ambiente interattivo doce i bambini imparano e si divertono. Ogni visita alla fabbrica dei pastelli è un'esperienza nuova, ricca di attività che aiuteranno il vostro bambino a sviluppare le sue abilità di apprendimento. Una favola da guardare e colorare e tanti gioci stimplanti e creativi!
Defender of the Crown (USA, Europe)	In Defender of the Crown si gioca nei panni di uno dei quattro cavalieri sassoni nell'Inghilterra medievale, in un momento in cui il Paese è in subbuglio per la morte del re e il furto della corona. I Sassoni e i Normanni si accusano a vicenda e combattono per il controllo dell'Inghilterra. Dopo una breve introduzione dello stesso Robin di Locksley, si inizia il gioco con un solo castello e 10 soldati al proprio comando. Poi dovrete costruire il vostro esercito, prendere il controllo di altri territori e combattere i tre signori normanni, ma a volte anche i vostri amici sassoni. Il gioco ha diversi stili: Si può partecipare a una gara di giostra in cui si deve far cadere l'avversario da cavallo con una lancia, si può andare a saccheggiare un castello per ottenere un bottino o si può attaccare un altro territorio/castello.
