#key	name	year	genre	developer	players
2010 - The Graphic Action Game (USA)	2010 - The Graphic Action Game	1984	Strategy	Nuvatec	1
A.E. (USA) (Proto)	A.E. : Anti-Environment Encounter	2012	Shoot'em Up	Programmers-3	1-2
Activision Decathlon, The (USA)	Decathlon	1983	Sports / Multisports/Sports	Activision	1
Adam's Musicbox Demo (USA) (Demo)	ZZZ(notgame):Adam's Musicbox Demo	1987	Various	Coleco Industries	1
Alcazar - The Forgotten Fortress (USA)	Alcazar - The Forgotten Fortress	1985	Adventure	Activision	1
Alphabet Zoo (USA)	Alphabet Zoo	1984	Various/Educational	Spinnaker Software	1-2
Amazing Bumpman (USA)	Amazing Bumpman	1984	Puzzle	VSS	1
Antarctic Adventure (USA, Europe)	Antarctic Adventure	1984	Action	Konami	1
Aquattack (USA)	Aquattack	1984	Shooter	Interphase Technologies	1
Artillery Duel (USA)	Artillery Duel	1983	Strategy	Xonox	1-2
BC's Quest for Tires (USA)	BC's Quest for Tires	1983	Platform	Sydney Development	1
BC's Quest for Tires II - Grog's Revenge (USA)	B.C. II: Grog's Revenge	1984	Racing, Driving	Sydney Development	1-2
Beamrider (USA)	Beamrider	1983	Shoot'em Up	Action Graphics	1-4
Berenstain Bears, The (USA) (Demo)	The Berenstain Bears	1984	Educational	Coleco Industries	1
Blockade Runner (USA)	Blockade Runner	1984	Shoot'em Up	Interphase Technologies	1
Boulder Dash (USA)	Boulder Dash	1984	Action / Labyrinth/Action	First Star Software	1
Brain Strainers (USA)	Brain Strainers	1984	Music and Dancing	Carousel Software	1-2
Buck Rogers - Planet of Zoom (USA, Europe)	Buck Rogers : Planet Of Zoom	1984	Shoot'em Up	Coleco Industries	1-2
Bump 'n' Jump (USA, Europe)	Bump 'n' Jump	1984	Racing, Driving	Data East	1-2
BurgerTime (USA, Europe)	Burgertime	1984	Platform	Nice Ideas	1-2
Cabbage Patch Kids - Adventures in the Park (USA, Europe)	Cabbage Patch Kids - Adventures in the Park	1984	Platform	Konami	1-2
Cabbage Patch Kids - Picture Show (USA)	Cabbage Patch Kids Picture Show	1984	Various / Print Club/Various	Coleco Industries	1-2
Campaign '84 (USA)	Campaign '84	1983	Simulation	Sunrise Software	1-2
Carnival (USA, Europe)	Carnival	1982	Shooter / Space Invaders Like/Shooter	Coleco Industries	1-2
CAT S.O.S. Game, The (USA) (Promo)	The Cat S.O.S. Game	1983	Build And Management/Simulation	Nuvatec	1
Centipede (USA)	Centipede	1983	Shooter / Space Invaders Like/Shooter	Atari	1-2
Choplifter! (USA)	Choplifter!	1984	Shoot'em Up / Horizontal/Shoot'em Up	Coleco Industries	1
Chuck Norris - Superkicks (USA)	Chuck Norris Superkicks	1983	Fighting/Action	Xonox	1-2
ColecoVision Monitor Test (USA, Europe)	ZZZ(notgame):Colecovision Monitor Test		Various	Coleco Industries	1
Congo Bongo (USA)	Congo Bongo	1984	Platform	Coleco Industries	1-2
Cosmic Avenger (USA, Europe)	Cosmic Avenger	1982	Shoot'em Up / Horizontal/Shoot'em Up	Gordon Martin & Associates	1-2
Cosmic Crisis (Europe)	Cosmic Crisis	1983	Platform	Bit	1-2
Dam Busters, The (USA)	The Dam Busters	1984	Shooter / FPV/Shooter	Coleco Industries	1
Dance Fantasy (USA)	Dance Fantasy	1984	Dancing/Music and Dancing	Fisher-Price	1
Defender (USA)	Defender	1983	Shoot'em Up / Horizontal/Shoot'em Up	Williams Electronics	1-2
Destructor (USA, Europe)	Destructor	1984	Racing, Driving	Coleco Industries	1
Dig Dug (USA) (Proto)	Dig Dug	1984	Action / Labyrinth/Action	Atarisoft	1-2
Donkey Kong (USA)	Donkey Kong	1982	Platform	Coleco Industries	1-2
Donkey Kong Junior (USA, Europe)	Donkey Kong Junior	1983	Platform	Coleco Industries	1-2
Dr. Seuss - Fix-Up the Mix-Up Puzzler (USA)	Dr. Seuss's Fix-up The Mix-up Puzzler	1984	Puzzle	Coleco Industries	1
Dragon's Lair (USA) (Proto)	Dragon's Lair	2012	Action / Adventure/Action	Magicom	1
Dragonfire (USA)	DragonFire	1984	Action / Adventure/Action	Imagic	1-2
Dukes of Hazzard, The (USA)	The Dukes of Hazzard	1984	Racing, Driving	Coleco Industries	1-2
Energy Quiz (Canada) (En,Fr-CA) (1983-06-06) (Proto)	Energy Quiz	1982	Strategy	Sydney Development	2
Escape from the Mindmaster (USA) (Proto)	Escape from the Mind Master	1983	Puzzle/Adventure	Starpath	1
Evolution (Canada)	Evolution	1983	Action / Labyrinth/Action	Sydney Development	1
Facemaker (USA)	Facemaker	1983	Educational	Spinnaker Software	1
Fall Guy (USA) (Proto)	Fall Guy	1983	Racing, Driving	20th Century Fox	1
Fathom (USA)	Fathom	1983	Action / Adventure/Action	Imagic	1
Final Test Cartridge (USA)	ZZZ(notgame):Final Test Cartridge		Various	Coleco Industries	1
Fireman (USA) (Proto)	Fireman	1984	Shooter/Platform	Nice Ideas	1-2
Flipper Slipper (USA, Europe)	Flipper Slipper	1983	Action / Breakout games/Action	Spectravision	1-2
Fortune Builder (USA)	Fortune Builder	1984	Simulation	Circuits and Systems	1-2
Fraction Fever (USA)	Fraction Fever	1983	Educational	Tom Snyder Productions	1
Frantic Freddy (USA)	Frantic Freddy	1983	Shooter	Spectravideo	1-2
Frenzy (USA, Europe)	Frenzy	1983	Shooter / Top view/Shooter	Coleco Industries	1-2
Frogger (USA)	Frogger	1983	Platform	Parker Brothers	1-2
Frogger II - ThreeeDeep! (USA)	Frogger II : Threeedeep!	1984	Platform	Parker Brothers	1
Front Line (USA, Europe) (Standard Controller)	Frontline	1983	Shooter / Run and Gun/Shooter	Taito	1-2
Galaxian (USA)	Galaxian	1984	Shooter / Space Invaders Like/Shooter	Namco	1-2
Gateway to Apshai (USA, Europe)	Gateway to Apshai	1984	Role Playing Game	The Connelley Group	1
Gorf (USA, Europe)	Gorf	1983	Shooter / Space Invaders Like/Shooter	CBS Electronics	1-2
Gust Buster (USA)	Gust Buster	1983	Platform/Action / Adventure/Action	VSS	1
Gyruss (USA)	Gyruss	1984	Shooter / Run and Gun/Shooter	Parker Brothers	1-2
H.E.R.O. - Helicopter Emergency Rescue Operation (USA)	H.E.R.O. - Helicopter Emergency Rescue Operation	1984	Adventure	Activision	1-2
