#name	crc	size	key
2010 - The Graphic Action Game (USA)	c575a831	32768	2010 - The Graphic Action Game (USA)
2010 - The Graphic Action Game (USA) (Beta)	3657f3cd	32768	2010 - The Graphic Action Game (USA)
A.E. (USA) (Proto)	db845695	17408	A.E. (USA) (Proto)
Activision Decathlon, The (USA)	51fe49c8	16384	Activision Decathlon, The (USA)
Alcazar - The Forgotten Fortress (USA)	fce3aa06	16384	Alcazar - The Forgotten Fortress (USA)
Alphabet Zoo (USA)	4ffb4e8c	16384	Alphabet Zoo (USA)
Amazing Bumpman (USA)	78a738af	16384	Amazing Bumpman (USA)
Antarctic Adventure (USA, Europe)	275c800e	16384	Antarctic Adventure (USA, Europe)
Antarctic Adventure (USA, Europe) (Beta)	a66e5ed1	16384	Antarctic Adventure (USA, Europe)
Aquattack (USA)	947437ec	16384	Aquattack (USA)
Artillery Duel (USA)	6f88fcf0	16384	Artillery Duel (USA)
BC's Quest for Tires (Canada)	0ae39f2c	16384	BC's Quest for Tires (USA)
BC's Quest for Tires (USA)	4359a3e5	16384	BC's Quest for Tires (USA)
BC's Quest for Tires II - Grog's Revenge (Canada)	1ca853d5	24576	BC's Quest for Tires II - Grog's Revenge (USA)
BC's Quest for Tires II - Grog's Revenge (USA)	d464e5e4	24576	BC's Quest for Tires II - Grog's Revenge (USA)
Beamrider (USA)	7a93c6e5	16384	Beamrider (USA)
Berenstain Bears, The (USA) (Demo)	18864abc	8192	Berenstain Bears, The (USA) (Demo)
Blockade Runner (USA)	df65fc87	16384	Blockade Runner (USA)
Boulder Dash (USA)	9b547ba8	16384	Boulder Dash (USA)
Boulder Dash (USA) (Beta)	1796de5e	16384	Boulder Dash (USA)
Brain Strainers (USA)	829c967d	16384	Brain Strainers (USA)
Buck Rogers - Planet of Zoom (USA, Europe)	00b37475	24576	Buck Rogers - Planet of Zoom (USA, Europe)
Bump 'n' Jump (USA, Europe)	9e1fab59	20480	Bump 'n' Jump (USA, Europe)
Bump 'n' Jump (USA, Europe) (Beta)	eb498f97	16384	Bump 'n' Jump (USA, Europe)
BurgerTime (USA, Europe)	91346341	16384	BurgerTime (USA, Europe)
BurgerTime (USA, Europe) (Beta)	e5c5ea20	16384	BurgerTime (USA, Europe)
CAT S.O.S. Game, The (USA) (Promo)	13886c96	16384	CAT S.O.S. Game, The (USA) (Promo)
Cabbage Patch Kids - Adventures in the Park (USA, Europe)	6af19e75	16384	Cabbage Patch Kids - Adventures in the Park (USA, Europe)
Cabbage Patch Kids - Adventures in the Park (USA, Europe) (Beta 1)	beacbff5	16384	Cabbage Patch Kids - Adventures in the Park (USA, Europe)
Cabbage Patch Kids - Adventures in the Park (USA, Europe) (Beta 2)	5da13dfd	16384	Cabbage Patch Kids - Adventures in the Park (USA, Europe)
Cabbage Patch Kids - Picture Show (USA)	75b08d99	24576	Cabbage Patch Kids - Picture Show (USA)
Campaign '84 (USA)	5aa22d66	16384	Campaign '84 (USA)
Carnival (USA, Europe)	70f315c2	16384	Carnival (USA, Europe)
Centipede (USA)	17edbfd4	16384	Centipede (USA)
Choplifter! (USA)	030e0d48	16384	Choplifter! (USA)
Chuck Norris - Superkicks (USA)	5eeb81de	16384	Chuck Norris - Superkicks (USA)
Congo Bongo (USA)	4e8b4c1d	24576	Congo Bongo (USA)
Cosmic Avenger (USA, Europe)	39d4215b	16384	Cosmic Avenger (USA, Europe)
Cosmic Crisis (Europe)	7c2c7c41	16384	Cosmic Crisis (Europe)
Dam Busters, The (Canada)	c75fad5a	32768	Dam Busters, The (USA)
Dam Busters, The (USA)	890682b3	32768	Dam Busters, The (USA)
Dance Fantasy (USA)	bff86a98	8192	Dance Fantasy (USA)
Defender (USA)	6cf594e5	24576	Defender (USA)
Defender (USA) (BUG Fixed)	46a909cc	24576	Defender (USA)
Destructor (USA, Europe)	56c358a6	32768	Destructor (USA, Europe)
Dig Dug (USA) (Proto)	1038e0a1	24576	Dig Dug (USA) (Proto)
Donkey Kong (USA)	94c4cd4a	24576	Donkey Kong (USA)
Donkey Kong (USA, Europe) (v1.1)	3c77198c	16384	Donkey Kong (USA)
Donkey Kong Junior (USA, Europe)	fd11508d	16384	Donkey Kong Junior (USA, Europe)
Dr. Seuss - Fix-Up the Mix-Up Puzzler (USA)	109699e2	16384	Dr. Seuss - Fix-Up the Mix-Up Puzzler (USA)
Dragon's Lair (USA) (Proto)	da521d6d	24576	Dragon's Lair (USA) (Proto)
Dragonfire (USA)	dcb8f9e8	16384	Dragonfire (USA)
Dukes of Hazzard, The (USA)	4025ac94	32768	Dukes of Hazzard, The (USA)
Energy Quiz (Canada) (En,Fr-CA) (1983-06-06) (Proto)	afb90dcd	32768	Energy Quiz (Canada) (En,Fr-CA) (1983-06-06) (Proto)
Escape from the Mindmaster (USA) (Proto)	3678ab6f	16384	Escape from the Mindmaster (USA) (Proto)
Evolution (Canada)	4cd4e185	16384	Evolution (Canada)
Facemaker (USA)	ec9dfb07	8192	Facemaker (USA)
Fall Guy (USA) (Proto)	8a731b38	16384	Fall Guy (USA) (Proto)
Fathom (USA)	b3b767ae	16384	Fathom (USA)
Fireman (USA) (Proto)	64ec761e	32768	Fireman (USA) (Proto)
