#key	style	ss_system_id
2010 - The Graphic Action Game (USA)	mixrbv2	48
A.E. (USA) (Proto)	mixrbv2	48
Activision Decathlon, The (USA)	mixrbv2	48
Alcazar - The Forgotten Fortress (USA)	mixrbv2	48
Alphabet Zoo (USA)	mixrbv2	48
Amazing Bumpman (USA)	mixrbv2	48
Antarctic Adventure (USA, Europe)	mixrbv2	48
Aquattack (USA)	mixrbv2	48
Artillery Duel (USA)	mixrbv2	48
BC's Quest for Tires (USA)	mixrbv2	48
BC's Quest for Tires II - Grog's Revenge (USA)	mixrbv2	48
Beamrider (USA)	mixrbv2	48
Berenstain Bears, The (USA) (Demo)	mixrbv2	48
Blockade Runner (USA)	mixrbv2	48
Boulder Dash (USA)	mixrbv2	48
Brain Strainers (USA)	mixrbv2	48
Buck Rogers - Planet of Zoom (USA, Europe)	mixrbv2	48
Bump 'n' Jump (USA, Europe)	mixrbv2	48
BurgerTime (USA, Europe)	mixrbv2	48
CAT S.O.S. Game, The (USA) (Promo)	mixrbv2	48
Cabbage Patch Kids - Adventures in the Park (USA, Europe)	mixrbv2	48
Cabbage Patch Kids - Picture Show (USA)	mixrbv2	48
Campaign '84 (USA)	mixrbv2	48
Carnival (USA, Europe)	mixrbv2	48
Centipede (USA)	mixrbv2	48
Choplifter! (USA)	mixrbv2	48
Chuck Norris - Superkicks (USA)	mixrbv2	48
Congo Bongo (USA)	mixrbv2	48
Cosmic Avenger (USA, Europe)	mixrbv2	48
Cosmic Crisis (Europe)	mixrbv2	48
Dam Busters, The (USA)	mixrbv2	48
Dance Fantasy (USA)	mixrbv2	48
Defender (USA)	mixrbv2	48
Destructor (USA, Europe)	mixrbv2	48
Dig Dug (USA) (Proto)	mixrbv2	48
Donkey Kong (USA)	mixrbv2	48
Donkey Kong Junior (USA, Europe)	mixrbv2	48
Dr. Seuss - Fix-Up the Mix-Up Puzzler (USA)	mixrbv2	48
Dragon's Lair (USA) (Proto)	mixrbv2	48
Dragonfire (USA)	mixrbv2	48
Dukes of Hazzard, The (USA)	mixrbv2	48
Energy Quiz (Canada) (En,Fr-CA) (1983-06-06) (Proto)	mixrbv2	48
Escape from the Mindmaster (USA) (Proto)	mixrbv2	48
Evolution (Canada)	mixrbv2	48
Facemaker (USA)	mixrbv2	48
Fall Guy (USA) (Proto)	mixrbv2	48
Fathom (USA)	mixrbv2	48
Fireman (USA) (Proto)	mixrbv2	48
Flipper Slipper (USA, Europe)	mixrbv2	48
Fortune Builder (USA)	mixrbv2	48
Fraction Fever (USA)	mixrbv2	48
Frantic Freddy (USA)	mixrbv2	48
Frenzy (USA, Europe)	mixrbv2	48
Frogger (USA)	mixrbv2	48
Frogger II - ThreeeDeep! (USA)	mixrbv2	48
Front Line (USA, Europe) (Standard Controller)	mixrbv2	48
Galaxian (USA)	mixrbv2	48
Gateway to Apshai (USA, Europe)	mixrbv2	48
Gorf (USA, Europe)	mixrbv2	48
Gust Buster (USA)	mixrbv2	48
Gyruss (USA)	mixrbv2	48
H.E.R.O. - Helicopter Emergency Rescue Operation (USA)	mixrbv2	48
Heist, The (USA)	mixrbv2	48
Illusions (USA)	mixrbv2	48
It's Only Rock 'N' Roll (USA)	mixrbv2	48
James Bond 007 (USA)	mixrbv2	48
Joust (USA) (Proto)	mixrbv2	48
Jukebox (USA)	mixrbv2	48
Julius Erving and Larry Bird Go - One-on-One (USA)	mixrbv2	48
Jumpman Junior (USA, Europe)	mixrbv2	48
Jungle Hunt (USA)	mixrbv2	48
Ken Uston Blackjack-Poker (USA, Europe)	mixrbv2	48
Keystone Kapers (USA)	mixrbv2	48
Lady Bug (USA, Europe)	mixrbv2	48
Learning with Leeper (USA)	mixrbv2	48
Linking Logic (USA)	mixrbv2	48
Logic Levels (USA)	mixrbv2	48
Looping (USA, Europe)	mixrbv2	48
Lord of the Dungeon (USA) (Beta)	mixrbv2	48
M.A.S.H (Europe) (Proto)	mixrbv2	48
Masters of the Universe - The Power of He-Man (USA) (Proto)	mixrbv2	48
Matt Patrol (USA) (Proto)	mixrbv2	48
Memory Manor (USA)	mixrbv2	48
Meteoric Shower (Europe)	mixrbv2	48
Miner 2049er Starring Bounty Bob (USA, Europe)	mixrbv2	48
Monkey Academy (USA)	mixrbv2	48
Montezuma's Revenge (USA)	mixrbv2	48
Moonsweeper (USA, Europe)	mixrbv2	48
Motocross Racer (USA)	mixrbv2	48
Mountain King (USA)	mixrbv2	48
Mouse Trap (USA, Europe)	mixrbv2	48
Mr. Do! (USA, Europe)	mixrbv2	48
Mr. Do!'s Castle (USA)	mixrbv2	48
Nova Blast (USA, Europe)	mixrbv2	48
Oil's Well (USA)	mixrbv2	48
Omega Race (USA, Europe)	mixrbv2	48
Orbit (USA) (Proto)	mixrbv2	48
Pac-Man (USA) (Proto)	mixrbv2	48
Pepper II (USA, Europe)	mixrbv2	48
Pitfall II - Lost Caverns (USA)	mixrbv2	48
Pitfall! (USA)	mixrbv2	48
Pitstop (USA)	mixrbv2	48
