#key	synopsis
2010 - The Graphic Action Game (USA)	Dies ist ein Spiel, das auf dem Film 2010: The Year We Made Contact basiert. Sie sind ein Astronaut an Bord der Discovery und müssen ihre Systeme reparieren, bevor sie auf den Jupitermond Io stürzt. Die Zeit ist begrenzt, also trödeln Sie nicht, sonst wird die Discovery zerstört.
A.E. (USA) (Proto)	A.Es tödliche fliegende Strahlen von einer Außerirdischen Welt Sie jagen in schnellen Gruppen und ihr Stachel ist tödlich. Du musst sie alle mit deiner Betäubungspistole töten bevor sie dich stechen. Bleibe in Bewegung und lass dich nicht von den hinterhältigen Manövern von A.E ablenken. - Oder du wirst es nicht Überleben, um die Geschichte zu erzählen!
Activision Decathlon, The (USA)	Eine Reihe von Olympischen Spielen. Bis zu vier Spieler können nacheinander oder einzeln an den zehn verschiedenen Disziplinen eines Zehnkampfs teilnehmen. Enthalten sind der 100-Meter-Lauf, der Weitsprung, das Schießen, der Hochsprung, der 400-Meter-Lauf, der 110-Meter-Hürdenlauf, der Diskuswurf, der Stabhochsprung, der Speerwurf und der 1500-Meter-Lauf.
Alcazar - The Forgotten Fortress (USA)	In diesem Abenteuerspiel steuerst du einen Entdecker, der auf dem Weg zur Festung Alcazar ist. Um Alcazar zu erreichen, reisen Sie durch eine Festungslandschaft und müssen mehrere Gegenstände sammeln, die Sie unterwegs finden können. Sobald Sie die Alcazar-Festung betreten, müssen Sie nach der Krone suchen. Die Strategiekarte gibt Ihnen einen Überblick über die Landschaft, ihre Festungen und Ihren Standort darin. Welche Gefahren lauern in diesen mysteriösen Burgen? Welcher Weg ist schnell und sicher?
Alphabet Zoo (USA)	Alphabet Zoo ist ein Top-View-Spiel, bei dem der Spieler durch ein Labyrinth rennt und feindlichen Kreaturen aus dem Weg geht. Der Clou besteht jedoch darin, dass sich in der Mitte jedes Labyrinths eine grafische Darstellung eines Objekts befindet ... und es liegt am Spieler, die im Labyrinth verstreuten Buchstaben in der richtigen Reihenfolge einzusammeln, um den Namen des Objekts zu buchstabieren. Der Schwierigkeitsgrad kann angepasst werden, um sich auf Konsonanten, Vokale oder das gesamte Alphabet zu konzentrieren.
Amazing Bumpman (USA)	Sie helfen Amazing Bumpman dabei, sich auf dem Raster zu bewegen, indem Sie die weißen Zahlen an die richtigen Stellen in der Mitte des Rasters verschieben. Das Spiel wurde übrigens nie mit der offiziellen Box oder einer anderen Box geliefert. Es wurde nur mit der Patrone und dem Papierhandbuch geliefert.
Antarctic Adventure (USA, Europe)	Als Pinguin musst du durch die Antarktis reisen und dich zwischen den Stützpunkten durchschlagen, bevor die Zeit abläuft. Das hört sich einfach an, oder? Falsch. Eisspalten und Seeleoparden behindern Ihr Vorankommen. Sie können über die Spalten springen, aber über die Seeleoparden zu springen kann schwierig sein. Sie können den Pinguin beschleunigen oder verlangsamen, um beiden Gefahren auszuweichen. Zu den Stützpunkten gehören Australien, Frankreich, Neuseeland, die USA, Argentinien, das Vereinigte Königreich und Japan. Sie können Flaggen sammeln und Fisch essen, um Punkte zu erhalten. Wenn Sie eine blinkende Flagge sammeln, können Sie einen Propeller tragen, mit dem Sie über diese Hindernisse fliegen können.
Aquattack (USA)	Als Agent Captain Blitztek müssen Sie einen Weg durch feindliches Gebiet finden, um zu verhindern, dass die Axtoatles die Kontrolle über die Welt übernehmen. Die Mission wird abgebrochen, wenn die Verteidiger dir mehr als neun Schadenspunkte zufügen. Um Ihre Fähigkeiten als Navigator und Überlebender besser zu messen, wurde ein Spielpunktesystem entwickelt.
Artillery Duel (USA)	In diesem Spiel für zwei Spieler steuert jeder Spieler ein Artilleriegeschütz in einer Berglandschaft mit dem Ziel, den anderen Spieler zu zerstören. Die Spieler schießen abwechselnd aufeinander; In jeder Runde haben Sie eine begrenzte Zeitspanne, in der Sie den Laufwinkel und den Pulverstand einstellen können, um die Richtung und Entfernung des Schusses zu steuern. Wenn Sie sich für Ihren Schuss entscheiden, müssen Sie die aktuellen Bedingungen berücksichtigen, darunter Windgeschwindigkeit/-richtung und etwaige Berge, die Ihnen im Weg stehen könnten. Wenn Sie die Waffe Ihres Gegners erfolgreich zerstören, erhalten Sie einen Punkt, und der erste Spieler, der die festgelegte Punktzahl erreicht, gewinnt das Spiel. Es stehen mehrere Fähigkeitsstufen zur Verfügung, die die Zeit festlegen, die Sie für einen Schuss benötigen.
BC's Quest for Tires (USA)	Das süße Küken ist in Schwierigkeiten! Sie wird vom Dinosaurier gefangen gehalten und es liegt an Thor, ihm mit seinem treuen Rad zu Hilfe zu kommen. Es gibt viele Hindernisse auf dem Weg, über die Thor springen und sich ducken muss, darunter Felsen, Bäume, Flüsse, Lavagruben, Klippen und natürlich Fat Broad. Wenn Sie sich ducken, hüpft die Figur auf und ab, also ducken Sie sich nicht zu früh. BC's Quest For Tyres ist ein Side-Scrolling-Actionspiel, das in gewisser Weise an Moon Patrol erinnert und Charaktere aus dem Comic-Strip BC enthält.
BC's Quest for Tires II - Grog's Revenge (USA)	Thor hat seine Suche nach Reifen abgeschlossen. Jetzt muss er den Sinn des Lebens entdecken. Aber es wird nicht einfach sein. Der Sinn des Lebens ist verborgen; Irgendwo in einem langen Labyrinth von Bergen. Jeder Berg ist mit Muscheln bedeckt und Thor muss 100 Muscheln sammeln, um die Maut zu bezahlen und durch jeden Berg zu gelangen. Der einzige Weg nach Peter und zur Mautbrücke führt durch die „echten Gruselhöhlen“. In den Höhlen gibt es viele Muscheln, aber achten Sie auf die Stalagmiten. Lassen Sie Thors Leuchtturm hin und her fegen, um die meisten Muscheln zu erhalten. Achten Sie außerhalb der Höhle auf Grog, der Thors Muscheln rettet. Auf seiner Suche nach Muscheln und dem Sinn des Lebens war Thor auch mit Steinen, Schlaglöchern und Flugsauriern konfrontiert (sie werden sein Rad fressen).
