#key	name	year	genre	developer	players
ABPA Backgammon (World)	ABPA Backgammon	1979	Board game/Strategy	APh Technological Consulting	1-2
Advanced Dungeons & Dragons (USA, Europe)	Advanced Dungeons & Dragons	1982		Mattel Electronics	1-2
Advanced Dungeons & Dragons - Treasure of Tarmin (USA, Europe)	Advanced Dungeons & Dragons	1982		Mattel Electronics	1-2
Air Strike (USA) (Proto)	Air Strike	1982	Shooter	Mattel Electronics	1-2
Armor Battle (USA, Europe) (Fast Tanks)	Armor Battle	1979	Racing, Driving	APh Technological Consulting	2
Astrosmash (USA, Europe)	Astrosmash	1981		Mattel Electronics	1
Atlantis (USA, Europe)	Atlantis	1982		Imagic	1-2
Auto Racing (World) (Car-Relative Steering)	Auto Racing	1979	Racing, Driving	APh Technological Consulting	1-2
B-17 Bomber (USA, Europe)	B-17 Bomber	1981	Simulation	Mattel Electronics	1
Beamrider (USA, Europe)	BeamRider	1983	Shoot'em Up	Activision	1-4
Beauty & the Beast (USA, Europe)	Beauty and the Beast	1982		Imagic	1
Blockade Runner (USA)	Blockade Runner	1983		Interphase Technologies	1
Body Slam! - Super Pro Wrestling (USA)	Body Slam: Super Pro Wrestling	1988	Sports	Realtime Associates	1
Bomb Squad (USA, Europe)	Bomb Squad	1982		Mattel Electronics	1
Boxing (World)	Boxing	1981	Sports / Boxing/Sports	APh Technological Consulting	2
Brickout! (USA) (Proto)	Brickout	1981	Action / Breakout games/Action	Mattel Electronics	1
Bump 'n' Jump (USA, Europe)	Bump 'n' Jump	1983	Racing, Driving	Data East	1-2
BurgerTime (USA, Europe)	Burgertime	1982	Platform	Mattel Electronics	1-2
Buzz Bombers (USA, Europe)	Buzz Bombers	1983		Mattel Electronics	1
Carnival (USA, Europe)	Carnival	1982		SEGA	1-2
Centipede (USA)	Centipede	1983	Shooter / Space Invaders Like/Shooter	Atari	1-2
Championship Tennis (USA, Europe)	Championship Tennis	1986	Sports / Tennis/Sports	Nice Ideas	1-2
Checkers (USA, Europe)	Checkers	1980	Strategy	APh Technological Consulting	1-2
Chip Shot - Super Pro Golf (USA)	Chip Shot: Super Pro Golf	1987	Sports / Golf/Sports	Realtime Associates	1-2
Commando (USA)	Commando	1987	Shooter / Run and Gun/Shooter	Realtime Associates	1-2
Congo Bongo (USA)	Congo Bongo	1983	Platform	SEGA	1-2
Crazy Clones (USA) (Proto)	Crazy Clones	1981			1-2
Deep Pockets - Super Pro Pool & Billiards (USA) (Proto)	Deep Pockets - Super Pro Pool and Billiards	1990	Sports / Pool/Sports	Realtime Associates	1-2
Defender (USA)	Defender	1983	Shoot'em Up / Horizontal/Shoot'em Up	Williams Electronics	1
Demon Attack (USA, Europe)	Demon Attack	1982	Shooter / Space Invaders Like/Shooter	Imagic	1-2
Demonstration Cartridge - Green (USA)	Intellivision: Intelligent Television Demo #5853			Mattel Electronics	1
Demonstration Cartridge - Red (USA)	Intellivision: Intelligent Television Demo #5932			Mattel Electronics	1
Dig Dug (USA)	Dig Dug	1987	Action / Labyrinth/Action	Namco	1-2
Diner (USA)	Diner	1987		Realtime Associates	1-2
Donkey Kong (USA, Europe)	Donkey Kong	1982	Platform	Coleco Industries	1-2
Donkey Kong Junior (USA, Europe)	Donkey Kong Jr.	1983	Platform	Nintendo	1-2
Dracula (USA, Europe)	Dracula	1982		Imagic	1-2
Dragonfire (USA, Europe)	Dragonfire	1982		Imagic	1-2
Dreadnaught Factor, The (USA)	The Dreadnaught Factor	1983		Cheshire Engineering	1
Electric Company, The - Math Fun (USA, Europe) (Forward Entry)	Electric Company: Math Fun	1979	Educational	APh Technological Consulting	1-2
Electric Company, The - Word Fun (USA, Europe)	Electric Company: Word Fun	1980	Educational	APh Technological Consulting	1-2
Fathom (USA, Europe)	Fathom	1983		Imagic	1
Frog Bog (World)	Frog Bog	1982		APh Technological Consulting	1-2
Frogger (USA, Europe)	Frogger	1983	Platform	Parker Brothers	1-2
Game Factory (USA) (Proto)	Game Factory	1983	Various	Mattel Electronics	1-2
Go for the Gold (USA) (Proto)	Go For The Gold	1983	Sports	Mattel Electronics	1-2
Grid Shock (USA) (Proto)	Grid Shock	1982	Shooter	Mattel Electronics	1
Happy Holidays - Easter Eggcitement (USA) (Proto)	Easter Eggs		Casual Game	Mattel Electronics	1
Happy Holidays - Santa's Helper (USA) (Proto)	Happy Holidays: Santa's Helper	1983		Mattel Electronics	1
Happy Trails (USA, Europe)	Happy Trails	1983	Strategy	Activision	1-2
Horse Racing (World)	Horse Racing	1980	Sports	APh Technological Consulting	1-6
Hover Force (USA)	Hover Force	1986		Realtime Associates	1
Hypnotic Lights (USA) (Proto)	Hypnotic Lights		Puzzle	Mattel Electronics	1
Ice Trek (USA, Europe)	Ice Trek	1983		Imagic	1
Illusions (USA) (Proto)	Illusions		Puzzle	Mattel Electronics	1
International Demonstration Cartridge (USA, Europe)	Intellivision: Intelligent Television Demo #5859			Mattel Electronics	1
Jetsons' Ways with Words, The (USA)	The Jetsons' Ways With Words	1983	Educational	Mattel Electronics	1
King of the Mountain (USA) (Proto)	King Of The Mountain	1982	Adventure	Mattel Electronics	1
Kool-Aid Man (USA)	Kool-aid Man	1983		Mattel Electronics	1
Lady Bug (USA, Europe)	Lady Bug	1983	Action / Labyrinth/Action	Universal	1-2
Land Battle (USA) (Proto)	Land Battle	1982	Strategy	Mattel Electronics	2
Las Vegas Poker & Blackjack (World)	Las Vegas Blackjack And Poker	1979	Casino / Cards/Simulation/Casino	APh Technological Consulting	1-2
Las Vegas Roulette (World)	Las Vegas Roulette	1979	Casino / Roulette/Simulation/Casino	APh Technological Consulting	1-2
League of Light (USA) (Proto)	League Of Light	1983		Activision	1
Learning Fun I - Math Master, Factor Fun (USA)	Learning Fun I: Math Master Factor Fun	1987	Educational	Realtime Associates	1-2
Learning Fun II - Word Wizard, Memory Fun (USA)	Learning Fun II: Word Wizard Memory Fun	1987	Educational	Realtime Associates	1-2
Lock 'N' Chase (USA, Europe)	Lock 'n' Chase	1982		Data East	1-2
Loco-Motion (USA)	Loco-motion	1982		Mattel Electronics	1-2
Magic Carousel (USA) (Intellivision Lives!)	Magic Carousel	1983		Realtime Associates	1
Major League Baseball (World)	Baseball	1980	Sports / Baseball/Sports	APh Technological Consulting	1-2
Masters of the Universe - The Power of He-Man (USA, Europe)	Masters of the Universe: The Power of He-Man	1983		Mattel Electronics	1
Melody Blaster (USA, Europe)	Melody Blaster	1983	Music and Dancing	Mattel Electronics	1
Microsurgeon (USA, Europe)	Microsurgeon	1982	Strategy	Imagic	1-2
Mind Strike (USA, Europe)	Mind Strike!	1982		Mattel Electronics	1
