#key	style	ss_system_id
ABPA Backgammon (World)	mixrbv2	115
Advanced Dungeons & Dragons (USA, Europe)	mixrbv2	115
Air Strike (USA) (Proto)	mixrbv2	115
Armor Battle (USA, Europe) (Fast Tanks)	mixrbv2	115
Astrosmash (USA, Europe)	mixrbv2	115
Atlantis (USA, Europe)	mixrbv2	115
Auto Racing (World) (Car-Relative Steering)	mixrbv2	115
B-17 Bomber (USA, Europe)	mixrbv2	115
Beamrider (USA, Europe)	mixrbv2	115
Beauty & the Beast (USA, Europe)	mixrbv2	115
Blockade Runner (USA)	mixrbv2	115
Body Slam! - Super Pro Wrestling (USA)	mixrbv2	115
Bomb Squad (USA, Europe)	mixrbv2	115
Boxing (World)	mixrbv2	115
Brickout! (USA) (Proto)	mixrbv2	115
Bump 'n' Jump (USA, Europe)	mixrbv2	115
BurgerTime (USA, Europe)	mixrbv2	115
Buzz Bombers (USA, Europe)	mixrbv2	115
Carnival (USA, Europe)	mixrbv2	115
Centipede (USA)	mixrbv2	115
Championship Tennis (USA, Europe)	mixrbv2	115
Checkers (USA, Europe)	mixrbv2	115
Chip Shot - Super Pro Golf (USA)	mixrbv2	115
Commando (USA)	mixrbv2	115
Congo Bongo (USA)	mixrbv2	115
Crazy Clones (USA) (Proto)	mixrbv2	115
Deep Pockets - Super Pro Pool & Billiards (USA) (Proto)	mixrbv2	115
Defender (USA)	mixrbv2	115
Demon Attack (USA, Europe)	mixrbv2	115
Dig Dug (USA)	mixrbv2	115
Diner (USA)	mixrbv2	115
Donkey Kong (USA, Europe)	mixrbv2	115
Donkey Kong Junior (USA, Europe)	mixrbv2	115
Dracula (USA, Europe)	mixrbv2	115
Dragonfire (USA, Europe)	mixrbv2	115
Dreadnaught Factor, The (USA)	mixrbv2	115
Electric Company, The - Math Fun (USA, Europe) (Forward Entry)	mixrbv2	115
Electric Company, The - Word Fun (USA, Europe)	mixrbv2	115
Fathom (USA, Europe)	mixrbv2	115
Frog Bog (World)	mixrbv2	115
Frogger (USA, Europe)	mixrbv2	115
Game Factory (USA) (Proto)	mixrbv2	115
Go for the Gold (USA) (Proto)	mixrbv2	115
Grid Shock (USA) (Proto)	mixrbv2	115
Happy Holidays - Easter Eggcitement (USA) (Proto)	mixrbv2	115
Happy Holidays - Santa's Helper (USA) (Proto)	mixrbv2	115
Happy Trails (USA, Europe)	mixrbv2	115
Horse Racing (World)	mixrbv2	115
Hover Force (USA)	mixrbv2	115
Hypnotic Lights (USA) (Proto)	mixrbv2	115
Ice Trek (USA, Europe)	mixrbv2	115
Illusions (USA) (Proto)	mixrbv2	115
International Demonstration Cartridge (USA, Europe)	mixrbv2	115
Jetsons' Ways with Words, The (USA)	mixrbv2	115
King of the Mountain (USA) (Proto)	mixrbv2	115
Kool-Aid Man (USA)	mixrbv2	115
Lady Bug (USA, Europe)	mixrbv2	115
Land Battle (USA) (Proto)	mixrbv2	115
Las Vegas Poker & Blackjack (World)	mixrbv2	115
Las Vegas Roulette (World)	mixrbv2	115
League of Light (USA) (Proto)	mixrbv2	115
Learning Fun I - Math Master, Factor Fun (USA)	mixrbv2	115
Learning Fun II - Word Wizard, Memory Fun (USA)	mixrbv2	115
Lock 'N' Chase (USA, Europe)	mixrbv2	115
Loco-Motion (USA)	mixrbv2	115
Magic Carousel (USA) (Intellivision Lives!)	mixrbv2	115
Major League Baseball (World)	mixrbv2	115
Masters of the Universe - The Power of He-Man (USA, Europe)	mixrbv2	115
Melody Blaster (USA, Europe)	mixrbv2	115
Microsurgeon (USA, Europe)	mixrbv2	115
Mind Strike (USA, Europe)	mixrbv2	115
Mission X (USA, Europe)	mixrbv2	115
Motocross (USA, Europe)	mixrbv2	115
Mountain Madness - Super Pro Skiing (USA)	mixrbv2	115
Mouse Trap (USA, Europe)	mixrbv2	115
Mr. BASIC Meets Bits 'N Bytes (USA, Europe)	mixrbv2	115
NASL Soccer (World)	mixrbv2	115
NBA Basketball (USA, Europe)	mixrbv2	115
NFL Football (World)	mixrbv2	115
NHL Hockey (World)	mixrbv2	115
Night Stalker (World)	mixrbv2	115
Nova Blast (USA, Europe)	mixrbv2	115
Number Jumble (USA) (Proto)	mixrbv2	115
PBA Bowling (World)	mixrbv2	115
PGA Golf (World)	mixrbv2	115
Pac-Man (USA) (Atarisoft)	mixrbv2	115
Party Line - Blow Out (USA) (Proto)	mixrbv2	115
Party Line - Hard Hat (USA) (Proto)	mixrbv2	115
Party Line - Space Cadet (USA) (Proto)	mixrbv2	115
Pinball (USA)	mixrbv2	115
Pitfall! (USA, Europe)	mixrbv2	115
Pole Position (USA)	mixrbv2	115
Popeye (USA, Europe)	mixrbv2	115
Q-bert (USA, Europe)	mixrbv2	115
Reversi (USA, Europe)	mixrbv2	115
River Raid (USA, Europe)	mixrbv2	115
Robot Rubble (USA) (Proto 3)	mixrbv2	115
Rocky & Bullwinkle (USA) (Proto)	mixrbv2	115
Royal Dealer (USA, Europe)	mixrbv2	115
SNAFU (World)	mixrbv2	115
Safecracker (USA, Europe)	mixrbv2	115
Scarfinger (USA) (Proto)	mixrbv2	115
Scooby Doo's Maze Chase (USA, Europe)	mixrbv2	115
Sea Battle (World)	mixrbv2	115
Sewer Sam (USA)	mixrbv2	115
Shark! Shark! (USA, Europe)	mixrbv2	115
Sharp Shot (USA, Europe)	mixrbv2	115
Slam Dunk - Super Pro Basketball (USA)	mixrbv2	115
Slap Shot - Super Pro Hockey (USA)	mixrbv2	115
Space Armada (World)	mixrbv2	115
Space Battle (World)	mixrbv2	115
Space Hawk (USA, Europe)	mixrbv2	115
Space Spartans (USA, Europe)	mixrbv2	115
Spiker - Super Pro Volleyball (USA)	mixrbv2	115
Stadium Mud Buggies (USA)	mixrbv2	115
Stampede (USA, Europe)	mixrbv2	115
Star Strike (World)	mixrbv2	115
Star Wars - The Empire Strikes Back (USA, Europe)	mixrbv2	115
Sub Hunt (USA, Europe)	mixrbv2	115
Super Cobra (USA, Europe)	mixrbv2	115
Super Masters! (USA) (Proto)	mixrbv2	115
Super NFL Football (USA) (Proto)	mixrbv2	115
Super Pro Decathlon (USA)	mixrbv2	115
Super Pro Football (USA)	mixrbv2	115
Swords & Serpents (USA, Europe)	mixrbv2	115
TRON (USA) (Proto)	mixrbv2	115
TRON Deadly Discs (USA, Europe)	mixrbv2	115
TRON Maze-A-Tron (USA, Europe)	mixrbv2	115
TRON Solar Sailer (USA, Europe)	mixrbv2	115
Takeover (USA) (Proto)	mixrbv2	115
Tennis (World)	mixrbv2	115
Thin Ice (USA)	mixrbv2	115
Thunder Castle (USA)	mixrbv2	115
Tower of Doom (USA)	mixrbv2	115
Triple Action (World)	mixrbv2	115
Triple Challenge - Chess, Checkers, Backgammon (USA)	mixrbv2	115
Tropical Trouble (USA, Europe)	mixrbv2	115
Truckin' (USA)	mixrbv2	115
Turbo (USA, Europe)	mixrbv2	115
Tutankham (USA, Europe)	mixrbv2	115
US Ski Team Skiing (World)	mixrbv2	115
USCF Chess (USA, Europe)	mixrbv2	115
Utopia (USA, Europe)	mixrbv2	115
Vectron (USA, Europe)	mixrbv2	115
Venture (USA, Europe)	mixrbv2	115
White Water! (USA, Europe)	mixrbv2	115
World Championship Baseball (USA)	mixrbv2	115
World Cup Soccer (USA, Europe)	mixrbv2	115
World Series Major League Baseball (USA)	mixrbv2	115
Worm Whomper (USA, Europe)	mixrbv2	115
Yogi's Frustration (USA) (Proto)	mixrbv2	115
Zaxxon (USA, Europe)	mixrbv2	115
Zzzz! Spina the Bee (Europe) (Proto)	mixrbv2	115
