#key	name	year	genre	developer	players
4 in 1 Row (Europe)	4 in 1 Row	1982	Strategy/Various	Philips Interactive Media	1-2
Alien Invaders - Plus (USA, Europe)	Alien Invaders - Plus!	1980	Shooter / Space Invaders Like/Shooter	Magnavox	1
Alpine Skiing (USA, Europe)	Alpine Skiing!	1980	Sports / Skiing/Sports	Magnavox	2
Armored Encounter + Sub Chase (USA, Europe)	Armored Encounter! + Sub Chase!	1980	Various/Shooter / Vehicle, TPV/Shooter	Magnavox	2
Atlantis (USA, Europe)	Atlantis	1983	Shooter	Imagic	1-2
Attack of the Timelord (USA)	Attack of the Timelord!	1982	Shooter	Philips Interactive Media	1
Baseball (USA, Europe)	Baseball	1980	Sports / Baseball/Sports	Magnavox	2
Blobbers, The (Europe)	The Blobbers	1983		GST Video	1
Blockout + Breakdown (USA, Europe)	Blockout! + Breakdown!	1981		Magnavox	2
Bowling + Basketball (USA, Europe)	Bowling! + Basketball!	1980	Sports / Bowling/Sports	Magnavox	1
Buraco Negro (Brazil) (En)	Neutron Star	2019		Philips Interactive Media	1
Casino Slot Machine (USA, Europe)	Casino Slot Machine!	1980	Playing cards	Magnavox	1-2
Catch the Ball + Noughts and Crosses (Europe)	Catch the Ball + Noughts and Crosses	1980	Various	Magnavox	1-2
Chess (Europe)	Chess	1983	Board game/Strategy	Microtrend International B.V.	1
Chinese Logic (Europe)	Chinese Logic	1980	Strategy	Magnavox	1
Clay Pigeon (Brazil) (En)	Clay Pigeon	1982	Shooter	Philips Interactive Media	1
Comando Noturno (Brazil) (En)	Nightfighter	1983	Simulation	GST Video	1
Computer Golf (USA)	Computer Golf!	1980	Sports / Golf/Sports	Magnavox	1-4
Computer Intro (USA)	Computer Intro!	1981	Educational	Magnavox	1
Conquest of the World (USA, Europe)	Conquest of the World	1981	Strategy	Philips Interactive Media	2-6
Cosmic Conflict (USA)	Cosmic Conflict!	1978		Magnavox	1
Demon Attack (USA, Europe)	Demon Attack	1983	Shooter / Space Invaders Like/Shooter	Imagic	1-2
Depth Charge + Marksman (Europe)	Marksman & Depthcharge	1979	Strategy	Philips Interactive Media	1
Dynasty (USA)	Dynasty!	1980	Strategy	Magnavox	1-2
Electronic Table Soccer (USA, Europe)	Electronic Table Soccer!	1981	Sports	Magnavox	1-2
Football (USA, Europe)	Football	1980	Sports	Magnavox	2
