#name	crc	size	key
4 en 1 Ligne (France)	9b5e9356	4096	4 in 1 Row (Europe)
4 in 1 Row (Europe)	3bfef56b	4096	4 in 1 Row (Europe)
Alien Invaders - Plus (USA, Europe)	71ae8533	2048	Alien Invaders - Plus (USA, Europe)
Alpine Skiing (USA, Europe)	4663c4b6	2048	Alpine Skiing (USA, Europe)
Armored Encounter + Sub Chase (USA, Europe)	5ae57a8c	2048	Armored Encounter + Sub Chase (USA, Europe)
Atlantis (USA, Europe)	a7344d1f	4096	Atlantis (USA, Europe)
Attack of the Timelord (USA)	fc5a7f08	4096	Attack of the Timelord (USA)
Baseball (USA, Europe)	b07748e7	2048	Baseball (USA, Europe)
Billard Electrique (France)	54bf4750	2048	Thunderball (USA, Europe)
Billiard Americain (France)	a674ea27	2048	Pocket Billiards (USA, Europe)
Blackjack (France)	6381e402	2048	Las Vegas Blackjack (USA, Europe)
Blobbers, The (Europe)	9d72d4e9	8192	Blobbers, The (Europe)
Blockout + Breakdown (USA, Europe)	fb83171e	2048	Blockout + Breakdown (USA, Europe)
Bombardeio Submarino + Tiro ao Alvo (Brazil) (En)	b1109a09	2048	Depth Charge + Marksman (Europe)
Bowling + Basketball (USA, Europe)	084ee035	2048	Bowling + Basketball (USA, Europe)
Buraco Negro (Brazil) (En)	25874b04	8192	Buraco Negro (Brazil) (En)
Casino Slot Machine (USA, Europe)	bb6e7135	2048	Casino Slot Machine (USA, Europe)
Catch the Ball + Noughts and Crosses (Europe)	a57e1724	2048	Catch the Ball + Noughts and Crosses (Europe)
Chat et Souris (France)	61a350e6	4096	Mousing Cat, The (Europe)
Chess (Europe)	77066338	2048	Chess (Europe)
Chinese Logic (Europe)	11edf25b	2048	Chinese Logic (Europe)
Clay Pigeon (Brazil) (En)	fd179f6d	4096	Clay Pigeon (Brazil) (En)
Comando Noturno (Brazil) (En)	26517e77	8192	Comando Noturno (Brazil) (En)
Computer Golf (USA)	0f870806	2048	Computer Golf (USA)
Computer Intro (USA)	95efa98b	2048	Computer Intro (USA)
Computer Programmer (Europe)	b590cf14	2048	Computer Intro (USA)
Conflit Cosmique (Canada)	2f6e4b46	2048	Cosmic Conflict (USA)
Conquest of the World (USA, Europe)	afc093fd	4096	Conquest of the World (USA, Europe)
Cosmic Conflict (Europe)	f4c2075e	2048	Cosmic Conflict (USA)
Cosmic Conflict (Europe) (Alt)	2a5f0b2b	2048	Cosmic Conflict (USA)
Cosmic Conflict (USA)	c049e79e	2048	Cosmic Conflict (USA)
Course de Voitures + Autodrome + Cryptogramme (France)	3b24e1ee	2048	Speedway + Spin-out + Crypto-logic (USA, Europe)
Demon Attack (USA, Europe)	9bfc3e01	4096	Demon Attack (USA, Europe)
Depth Charge + Marksman (Europe)	2dcb77f0	2048	Depth Charge + Marksman (Europe)
Desafio Chines (Brazil) (En)	838a2d1e	2048	Chinese Logic (Europe)
Dynasty (USA)	dc30ad3d	2048	Dynasty (USA)
Electronic Table Soccer (USA, Europe)	89c6de2c	2048	Electronic Table Soccer (USA, Europe)
Faire du ski (France)	e129490d	2048	Alpine Skiing (USA, Europe)
Football (USA, Europe)	f9084aa3	2048	Football (USA, Europe)
Football Electronique + Hockey Electronique (France)	f00f9dba	2048	Hockey + Soccer (USA, Europe)
Freedom Fighters (USA, Europe)	54736b74	4096	Freedom Fighters (USA, Europe)
Frogger (Brazil) (En)	a57d84f3	8192	Frogger (Europe)
Frogger (Europe)	d0bc4ee6	8192	Frogger (Europe)
Golf (Europe)	14b6cc76	2048	Computer Golf (USA)
Great Wall Street Fortune Hunt, The (USA, Europe)	881ceae4	4096	Great Wall Street Fortune Hunt, The (USA, Europe)
Guerre Laser (France)	ca8ab259	2048	Invaders from Hyperspace (USA)
Gunfighter (Europe)	abe368bf	2048	Showdown in 2100 A.D. (USA)
Hockey + Soccer (USA, Europe)	39989464	2048	Hockey + Soccer (USA, Europe)
I've Got Your Number (USA, Europe)	1c8368e7	2048	I've Got Your Number (USA, Europe)
Interpol (Europe) (Proto)	69d21f8f	4096	Interpol (Europe) (Proto)
Invaders from Hyperspace (USA)	ad7a9a11	2048	Invaders from Hyperspace (USA)
Jeu de Quilles + Basket Ball (France)	a7e97958	2048	Bowling + Basketball (USA, Europe)
Jumping Acrobats (Europe)	6cebab74	2048	P.T. Barnum's Acrobats (USA)
Jumping Acrobats (Europe) (Alt)	e7b26a56	2048	P.T. Barnum's Acrobats (USA)
K.C. Munchkin (USA)	7108e058	4096	K.C. Munchkin (USA)
K.C.'s Krazy Chase (USA, Europe)	a6909a8b	4096	K.C.'s Krazy Chase (USA, Europe)
Keyboard Creations (USA)	688fad11	2048	Keyboard Creations (USA)
Killer Bees (USA)	b096654e	8192	Killer Bees (USA)
Kinder im Verkehr 1 (Germany)	9c9dddf9	2048	Verkehrsspiele 1 (Germany)
La Quete des Anneaux (France)	a21da732	4096	Quest for the Rings (USA, Europe)
Labyrinth Game, A + Supermind (Europe)	d158eeba	2048	Labyrinth Game, A + Supermind (Europe)
Las Vegas (France)	a0620082	2048	Casino Slot Machine (USA, Europe)
Las Vegas Blackjack (USA, Europe)	6f66b1f7	2048	Las Vegas Blackjack (USA, Europe)
Laser War (Europe)	17be749b	2048	Invaders from Hyperspace (USA)
Loony Balloon (Europe) (Proto)	ca23f40c	4096	Loony Balloon (Europe) (Proto)
Martian Threat (Europe) (Proto)	39e31bf0	8192	Martian Threat (Europe) (Proto)
