#key	style	ss_system_id
4 in 1 Row (Europe)	box-3D	104
Alien Invaders - Plus (USA, Europe)	box-3D	104
Alpine Skiing (USA, Europe)	box-3D	104
Armored Encounter + Sub Chase (USA, Europe)	box-3D	104
Atlantis (USA, Europe)	box-3D	104
Attack of the Timelord (USA)	box-3D	104
Baseball (USA, Europe)	box-3D	104
Blobbers, The (Europe)	box-3D	104
Blockout + Breakdown (USA, Europe)	box-3D	104
Bowling + Basketball (USA, Europe)	box-3D	104
Buraco Negro (Brazil) (En)	box-3D	104
Casino Slot Machine (USA, Europe)	box-3D	104
Catch the Ball + Noughts and Crosses (Europe)	box-3D	104
Chess (Europe)	box-3D	104
Chinese Logic (Europe)	box-3D	104
Clay Pigeon (Brazil) (En)	box-3D	104
Comando Noturno (Brazil) (En)	box-3D	104
Computer Golf (USA)	box-3D	104
Computer Intro (USA)	box-3D	104
Conquest of the World (USA, Europe)	box-3D	104
Cosmic Conflict (USA)	box-3D	104
Demon Attack (USA, Europe)	box-3D	104
Depth Charge + Marksman (Europe)	box-3D	104
Dynasty (USA)	box-3D	104
Electronic Table Soccer (USA, Europe)	box-3D	104
Football (USA, Europe)	box-3D	104
Freedom Fighters (USA, Europe)	box-3D	104
Frogger (Europe)	box-3D	104
Great Wall Street Fortune Hunt, The (USA, Europe)	box-3D	104
Hockey + Soccer (USA, Europe)	box-3D	104
I've Got Your Number (USA, Europe)	box-3D	104
Interpol (Europe) (Proto)	box-3D	104
Invaders from Hyperspace (USA)	box-3D	104
K.C. Munchkin (USA)	box-3D	104
K.C.'s Krazy Chase (USA, Europe)	box-3D	104
Keyboard Creations (USA)	box-3D	104
Killer Bees (USA)	box-3D	104
Labyrinth Game, A + Supermind (Europe)	box-3D	104
Las Vegas Blackjack (USA, Europe)	box-3D	104
Loony Balloon (Europe) (Proto)	box-3D	104
Martian Threat (Europe) (Proto)	box-3D	104
Matchmaker + Logix + Buzzword (USA)	box-3D	104
Math-A-Magic + Echo (USA, Europe)	box-3D	104
Mission Impossible (Brazil) (En) (Proto)	box-3D	104
Monkeyshines (USA, Europe)	box-3D	104
Morse (Europe)	box-3D	104
Mousing Cat, The (Europe)	box-3D	104
Musician (Europe)	box-3D	104
Nightmare (Europe)	box-3D	104
Nimble Numbers Ned (USA)	box-3D	104
Out of This World + Helicopter Rescue (USA)	box-3D	104
P.T. Barnum's Acrobats (USA)	box-3D	104
Pachinko (USA, Europe)	box-3D	104
Pairs + Space Rendezvous + Logic (Europe)	box-3D	104
Pick Axe Pete (USA, Europe)	box-3D	104
Pinball (USA) (Proto)	box-3D	104
Playtag (Europe) (Proto)	box-3D	104
Pocket Billiards (USA, Europe)	box-3D	104
Popeye (Europe)	box-3D	104
Power Lords (USA)	box-3D	104
Q-Bert (Europe)	box-3D	104
Quest for the Rings (USA, Europe)	box-3D	104
Red Baron (Europe) (Proto)	box-3D	104
Robot City (Europe) (Proto)	box-3D	104
Secret of the Pharaohs (Europe)	box-3D	104
Shark Hunter (Europe) (Proto)	box-3D	104
Showdown in 2100 A.D. (USA)	box-3D	104
Sid the Spellbinder (USA)	box-3D	104
Smithereens (USA)	box-3D	104
Speedway + Spin-out + Crypto-logic (USA, Europe)	box-3D	104
Spider-Man (Europe) (Proto)	box-3D	104
Super Bee (Europe)	box-3D	104
Super Cobra (Europe)	box-3D	104
Take the Money and Run (USA, Europe)	box-3D	104
Thunderball (USA, Europe)	box-3D	104
Turtles (USA)	box-3D	104
Tutankham (Europe) (Proto)	box-3D	104
Type & Tell (USA)	box-3D	104
UFO (USA)	box-3D	104
Verkehrsspiele 1 (Germany)	box-3D	104
Verkehrsspiele 2 (Germany)	box-3D	104
Volleyball (USA, Europe)	box-3D	104
War of Nerves (USA, Europe)	box-3D	104
