#key	synopsis
Alpine Skiing (USA, Europe)	Ein oder zwei Spieler können zwischen drei Arten von Skiwettbewerben wählen: Slalom, Riesenslalom und Abfahrt. Beim Slalom müssen die Spieler 55 Tore passieren. Der Gewinner ist der schnellste Spieler, der zwei Läufe auf den Plätzen abschließt. Wenn ein Spieler ein Tor verfehlt, stoppt die Zeitmessung und der Zähler registriert die Anzahl der Verstöße. Sieger ist dann der Spieler mit der geringeren Anzahl an Verstößen.
Armored Encounter + Sub Chase (USA, Europe)	Krieg ist die Hölle, aber mit dieser Multi-Mode-Modul macht es Spaß. Panzerschlacht ist ein Klon von Atari's Tank (AKA Combat). Zwei spielergesteuerte Panzer schießen über ein weites Spielfeld aufeinander. Variationen ermöglichen unterschiedliche Feldlayouts, Landminen und Lenkflugkörper. In See- und Luftkrieg steuern die Spieler ein Flugzeug und ein U-Boot, die horizontal über den Bildschirm scrollen. Die Spieler erhalten Punkte für das Abschießen des anderen, verlieren jedoch Punkte, wenn ein verirrter Schuss eines von zwei neutralen Schiffen in der Mitte des Bildschirms trifft. In beiden Spielen gewinnt der Spieler, der nach drei Minuten die höchste Punktzahl erzielt.
Attack of the Timelord (USA)	Sie haben gerade die Aufmerksamkeit von Spyrus dem Unsterblichen – dem Zeitherrn des Chaos – auf sich gezogen. Ihre einzige Verteidigung ist eine Laserkanone, die an der Vorderkante Ihrer Zeitmaschine montiert ist. Glücklicherweise steht Ihnen unbegrenzt Laserenergie zur Verfügung. Du wirst es brauchen. Drücken Sie die Aktionstaste der linken Steuerung, um Ihre Laserkanone abzufeuern. Benutzen Sie den Joystick der linken Steuerung, um Ihre Zeitmaschine am unteren Bildschirmrand zu manövrieren. Es bewegt sich in die Richtung, in die Sie den Joystick bewegen. Während Sie die gesamten 256 Spiellevel durchspielen, werden Sie immer schnelleren Zeitschiffen und immer größerer Feuerkraft gegenüberstehen. Der Timelord wird seine Waffen einsetzen, wie ein Schachmeister seine Figuren einsetzt. Es gibt buchstäblich Millionen möglicher Kombinationen von Waffen, Timing und Platzierung. Ihre Zeitmaschine zerfällt bei Kontakt mit einer der Waffen des Timelords. Das Spiel beginnt automatisch wieder bei Level Eins.
Blockout + Breakdown (USA, Europe)	In diesem Titel sind zwei Varianten von Breakout verfügbar. BARRICADE: Im Barricade-Spiel müssen Sie die Blockbarrikade in kürzester Zeit „durchbrechen“. Und im Kampf gegen Ihre Bemühungen wird Ihr Gegner auf der anderen Seite manuell gesteuert und zwingt die Bauteufel, alles zu wiederholen, was Sie „bohren“ konnten. Und Sie haben 90 Sekunden Zeit, um die Barrikade vollständig zu „durchbrechen“. BREAKDOWN:Im Demolition-Spiel haben Sie nur 60 Sekunden Zeit, um so viele Blöcke wie möglich in die Luft zu jagen. Auch die kleinen Teufel sind mit dabei, diesmal jedoch mit doppelter Geschwindigkeit. Der Spieler, der die wenigsten Blöcke verlässt, ohne sie zu zerstören, gewinnt.
Bowling + Basketball (USA, Europe)	BOWLING! Eine echte elektronische Simulation! Du gehst direkt in die Kegel oder fällst auf beiden Seiten in die Gasse! Es gibt kein Zurück. Numerische Notation! Sound-Sync-Action! Zwei bis vier Spieler. (Die Fahrspuren ändern ihre Farbe, um Sie darüber zu informieren, wann Sie an der Reihe sind.) BASKETBALL! Für ultimativen Realismus gibt es sogar ein eingebautes elektronisches Schwerkraftfeld! Der elektronische Ball springt wie ein echter Basketball. Wenn Sie keinen freien Schuss in den Korb bekommen, trifft der Ball auf den Rand oder die Rückwand und springt zurück ins Spielfeld! Digitale Partitur und On-Screen-Timer. Sound-Sync-Action! Zwei Spieler
Buraco Negro (Brazil) (En)	Die Felsbrocken müssen eingesammelt werden, indem sie auf eine Transportplattform vor dem Schiff gelegt werden. Sobald der Felsbrocken gekoppelt ist, muss der Spieler das Schiff in Richtung eines Neutronensterns am linken Bildschirmrand bewegen. Der Neutronenstern übt eine magnetische Kraft aus, die das Schiff in sich hineinzieht. Das Schiff muss vorsichtig bewegt werden, da es Schwung zeigt. Wenn das Schiff vom Neutronenstern angezogen wird, wird es zerstört. Sobald der Felsbrocken nahe genug ist, kann er losgelassen werden (durch Drücken der Aktionstaste) und er wird in den Neutronenstern gezogen. Die Felsbrocken können auch mit vom Schiff abgefeuerten Raketen zerstört werden, sie sind jedoch nur verfügbar, solange das Schiff keine Felsbrocken trägt.
Catch the Ball + Noughts and Crosses (Europe)	In diesem Warenkorb sind zwei Titel verfügbar: Catch the Ball versetzt einen oder zwei Spieler in die Rolle eines Zirkusclowns, der einen Ball fangen muss, der durch ein Labyrinth aus Hindernissen rollt. Der Clown muss versuchen, dem Ball zu folgen, während er seinen unvorhersehbaren Weg nimmt. Es wird ein Zeitlimit von drei „Spielminuten“ heruntergezählt und der Spieler, der bis zum Ende der Zeit mehr Bälle gefangen hat, gewinnt. Mit dem Joystick wird der Clown nach links oder rechts bewegt und mit der „Action“-Taste werden seine Bewegungen beschleunigt. Es gibt 6 mögliche Varianten: Die Spieler wechseln sich nach jedem gefangenen Ball ab, sie wechseln sich nach jedem Fehlschuss ab oder es gibt einen Einzelspielermodus, bei dem das Zeitlimit für jeden Modus aktiviert oder deaktiviert ist. Noughts and Crosses ist auch als Tic-Tac-Toe bekannt.
Clay Pigeon (Brazil) (En)	Wie der Name schon sagt, Clay Pigeon! ist ein Tontaubenschießspiel. In der linken Ecke schleudert eine Falle Ziele auf den Schützen. Der Spieler steuert den Schützen, der in der rechten Ecke des Bildschirms steht. Um zum nächsten Level zu gelangen, muss der Spieler mindestens acht der zehn geworfenen Platten treffen. Während er schießt, fliegen einige Enten über seinen Kopf. Sie werfen „Bomben“ über ihn, und wenn er ihnen nicht ausweicht, wird er für einige Zeit betäubt sein. Wenn er es nicht schafft, die erforderliche Mindestanzahl an Scheiben abzuschießen, erscheint ein Adler und greift ihn an. Er muss zweimal auf den Adler schießen, um seinem Angriff zu entgehen. Scheitert er, ist das Spiel vorbei. Der Schütze hat zwei Schüsse pro Reihe; Nach diesen beiden Schüssen muss er die Waffe neu laden, indem er sie weglegt. Er kann nach links und rechts bewegt werden, aber wenn er die linke Markierung überschreitet, fällt er zu Boden und kann Platten verlieren. Der Spieler erhält fünf Punkte pro Teller, zehn Punkte pro Ente und 100 Punkte pro Adler (50 pro Schuss).
Computer Golf (USA)	Computergolf! Ein elektronischer Golfplatz mit neun Löchern und Par 36 für ein bis vier Spieler. Realistische elektronische Golfer schlagen lange Drives und Fairwayschläge! Sie schwingen und überfliegen das Grün! Plötzlich wechselt der Bildschirm automatisch und zeigt eine Nahaufnahme des Grüns selbst. Putten Sie ab und gehen Sie dann zu einem neuen Loch mit einem anderen Layout und einer anderen Herausforderung über! Es handelt sich um eine bemerkenswert vollständige Elektroniksimulation. Sie gehen tatsächlich den Kurs ab und haben echte Kontrolle über den Rückschwung, die Distanz und die Richtung. Schlagen Sie auf die Bäume und Ihr elektronischer Golfer schlägt mit seinem Schläger auf den Boden und lässt eine äußerst farbenfrohe elektronische Sprache los! Numerische Notation! Sound-Sync-Action!
Cosmic Conflict (USA)	Der Spieler ist ein legendärer Held der Erdföderation, befehligt einen Centurion-Sternjäger und muss die Galaxie vor dem Angriff imperialer Schiffe verteidigen. Aus der Ego-Perspektive muss der Spieler fünfzehn feindliche Schiffe zerstören. Ein Zähler in der unteren linken Ecke des Bildschirms zeigt an, wie viele Schiffe noch übrig sind. Unten rechts ein Zähler, der zu Beginn der Mission 1000 Megajoule verbleibende Schiffsleistung anzeigt. Das Schiff benötigt ein Megajoule pro Sekunde, um den Flug aufrechtzuerhalten, zehn Megajoule pro abgefeuertem Laserschuss und fünfzig Megajoule pro abgefeuertem Schuss, um die Deflektorschilde zu aktivieren. Drei Arten von Schiffen werden das Schiff des Spielers angreifen: Invasionstransporter, Kampffregatten und Sternenjäger. Die feindliche Flotte besteht aus fünf Sternenjägern und zehn Schiffen, die zufällig auf die verbleibenden zwei Arten verteilt sind. Nur Sternenjäger stellen eine echte Bedrohung dar. Ein allgemeiner Alarm ertönt und blinkt auf dem Bildschirm, wenn einer von ihnen in die Sichtweite des Spielers gerät. Die Mission endet, wenn alle feindlichen Schiffe zerstört sind oder der gesamte Treibstoff des Schiffes aufgebraucht ist.
