#key	synopsis
4 in 1 Row (Europe)	4 in 1 Row is a translation of the Connect Four board game. Two players (Pussycat and Hounddog) take turns dropping colored (red or green) discs in an eight-column six-row grid. The object is to place 4 discs in a row, either vertically, horizontally or diagonally. An strategic indicator number on the right side of the screen, besides each name, will show the chances of each player to get four discs in a row. The higher the number, the higher the chances. If the number reads 125 it means the player is just one move away from winning. The strategic indicator can be turned off by pressing CLEAR. When playing against the computer, two variations with three skill levels are available: Playing against Microcat I, II or III (selected by pressing 1, 2 or 3). Microcat uses a micro-sensor (represented by a Âµ sign) which will stop over each column calculating its chances. The disc will be dropped where the Âµ stops. The higher the skill level, the bigger the sensor and calculation times. Playing against Microdog I, II or III (selected by pressing 5, 6 or 7) is similar to playing against Microcat (with the skill levels and Âµ sensor), but the player can also ask for computer assistance on moves. Whenever player's Pussycat appears, pressing 1, 2 or 3, depending on the skill level, will make the PRESS ENTER text appear along the micro sensor. Once pressed, the computer will take over and will continue until the player presses again 0 and ENTER when Pussycat appears.
Alien Invaders - Plus (USA, Europe)	This is a Space Invaders variant with a twist. Eight robots with laser cannons and protected by a shield wall are advancing in the player's sector, and with his laser cannon he has to destroy them. The shield wall is indestructible, but the robots and the cannons aren't. They'll go from side to side of the screen in an alternate movement shooting down. Three high density molecular laser shields are placed in defense of the laser cannon. Each one of them houses an extra cannon. Instead of a passing flying saucer as seen in Space Invaders, the player has to face the Merciless Monstroth, which shoots against him. The player controls a robot defender inside the laser cannon. If the laser cannon is destroyed, the robot will be left unprotected. The robot can enter in a new laser cannon housed in one of the shields. Once the new laser cannon is active, the shield is gone. Once the three shields are gone, the Merciless Monstroth will come down to hunt the player's cannon and robot. The player wins a battle when destroying all enemy robots and cannons on the screen. A battle is lost when the player's robot is destroyed. The first side to win ten battles wins the war.
Alpine Skiing (USA, Europe)	One or two players can choose among three kinds of skiing competitions to play: Slalom, Giant Slalom and Down Hill. In the Slalom event, players must ski through 55 gates. The winner is the fastest player to conclude two runs down the courses. If a player misses a gate, the timing stops and the counter registers the numbers of violations. The winner then is the player with the lesser number of violations. The Giant Slalom event follows the same rules to the slalom, but is longer than the slalom, with gates farther apart. In the Down Hill event, the winner is the player to achieve the end of the marked course in the shortest amount of time. If the player goes off-course, the violations are counted instead, and the winner is the player with the lesser number of violations. In any event, crashing into the gates will make the players lose time. Each player's course is displayed at one half of the screen and separately, even though their progresses are shown simultaneously. Players can go off-course and invade each other's courses, though. The players select the events by pulling down the stick when the desired event's name is displayed in the screen. The skiers are controlled with the stick. By holding the stick down, the skier runs down in a straight line. By pushing up, the skier stops. Right and left will change the skier direction and pressing the action button will accelerate the skier in 30% of its speed.
Armored Encounter + Sub Chase (USA, Europe)	War is hell, but this Multi-Mode cartridge makes it fun. Armored Encounter! is a clone of Atari's Tank (AKA Combat). Two player-controlled tanks shoot at each other across a wide play field. Variations allow for different field layouts, land mines, and guided missiles. In Sub Chase! players control an airplane and a submarine that scroll horizontally across the screen. Players score points for shooting the other, but lose points if a stray shot strikes one of two neutral vessels in the middle of the screen. In both games, the player who scores highest after three minutes wins.
Atlantis (USA, Europe)	The lost city of Atlantis is under attack! Wave after wave of Gorgon vessels are approaching, each armed with weapons capable of destroying a part of the city. You are in charge of the command posts at the edges of the city and need to defend it from the invaders. The various gorgon craft will keep flying by on the screen in varying numbers and in different flight patterns. At first they fly high in the sky but then progressively lower. If an enemy makes it low enough before you destroy it, it will use it's weapons and destroy one of the buildings in Atlantis. As you progress in the game, the enemy craft will keep increasing in speed. The game ends when all remaining buildings in the city have been destroyed.
Attack of the Timelord (USA)	You have just attracted the attention of Spyrus the Deathless - Timelord of Chaos. Your only defense is a laser cannon mounted on the leading edge of your Time Machine. Fortunately, you have an unlimited supply of laser energy. You'll need it. Press the action button of the left hand control to fire your laser cannon. Use the joystick of the left hand control to maneuver your Time Machine at the base of the screen. It will travel in the direction you move the joystick. As you go through the entire 256 game levels, you'll face increasingly faster Time Ships and gradually greater fire power. The Timelord will deploy his weapons like a chess master deploys his pieces. There are literally millions of possible combinations of weapons, timing and placement. Your Time Machine will disintegrate on contact with any of the Timelord's weapons. The game will automatically start again at Level One.
Baseball (USA, Europe)	Baseball! follows basically the official rules of the real game. The three numbers on the scoreboard at the lower left side of the screen indicate Balls, Strikes and Outs, in that order. Players on defense can control the outfielders with the joystick. During the pitch, the joystick will control the ball's curve. Once the batter hits the ball, the defense has to try to catch it. A ball caught on the fly is an automatic out. If it isn't caught, the outfielders have to catch it and send them to the fielders using the action and the directional stick to the desired direction. A ball not caught on the fly will send the batter automatically to the first base. He can run to extra bases using the directional stick. A ball hit out of the park (the white line at the top of screen) is a home run and the batter will run all four bases automatically. Three outs make teams exchange positions. The game length is nine innings, with additional innings in case of ties.
Blobbers, The (Europe)	In Blobbers the player controls a mobile laser unit trying to defend itself from the Blobbers, fearsome, giant, amoeba-like creatures that will devour anything they encounter. The mobile laser unit moves grounded to the sides of the screen area. The Blobbers will also move along the same sides, and as the laser gun can only shoot straight forward, the mobile laser unit has to be in the opposite side of the screen to hit the Blobbers. A Blobber borns as a harmless small yellow spot, growing to a bigger and purple mass, to a bigger and white one until it reaches its red adult form. Only when it is red it can do harm to the mobile laser unit, if they are of any other color, they will only stick to the mobile laser unit until it moves and releases itself from the Blobber. As the time passes, an adult Blobber will multiply, releasing a new small yellow spot which will eventually grow into another adult Blobber. When Blobbers are hit, they are reduced to the immediate previous stage of development (from red to white, then purple, then yellow, then deceased). In the middle of the screen, moving blocks called Magic Transporters move up and down randomly. They are called Magic Transporters because they can be used to transport the mobile laser unit from one side of the screen to the other, if the mobile laser unit moves onto one of them while they touch the top or bottom of the screen. The Blobbers will also be transported by them. Also, they are impenetrable by the laser gun, meaning the player will only be able to hit one Blobber when there are no Magic Transporters in the laser's way. The Blobbers will become faster every 90 seconds until finally reaching the mobile laser unit's speed. The player has only one life and no continues.
Blockout + Breakdown (USA, Europe)	Two variations of Breakout are available in this title. In Blockout!, the object is to blast through the blocks in the shortest amount of time. There are four colored lines of blocks, and each line has an electronic demon. The electronic demons can replace removed blocks when charged. They'll be charged by touching either sides of the screen. After placing a block, they'll lose the charge, and if they try to cross a gap uncharged, they'll fall and reappear after a penalty time. In two players mode, the second player controls the electronic demons as they try to prevent the first player to blast through the barricade. The player has 90 seconds to try achieving it. In Breakdown!, the object is to destroy the most blocks the player can within 60 seconds. Unlike in Blockout!, the ball (called Blockbuster) will not ricochet when hitting blocks, only when hitting the screen edges, destroying all the blocks it crosses on its way. In two players mode the second player again controls the electronic demos, which now move twice faster than in Blockout!. A counter at the top of the screen marks how many blocks are left. In both variations, the number of Blockbusters (balls) is unlimited.
Bowling + Basketball (USA, Europe)	BOWLING! A true electronics simulation! You go straight for the pins or hook from either side of the alley! But once you commit to the hook you're on the hook! There's no going back. Digital scoring! Sync-sound action! Two to four players. (Lanes change color to let you know when it's your turn.) BASKETBALL! For ultimate realism, there's even a built-in electronic gravity field! The electronic basketball bounces like a real basketball. If you don't get a clear shot into the basket, the ball hits the rim or the backboard and bounces back into the court! On-screen digital scoring and timer. Sync-sound action! Two players.
