#key	name	year	genre	developer	players
3D Crazy Coaster (USA)	3D Crazy Coaster	1983	Simulation	GCE	1
3D Mine Storm (USA)	3D Mine Storm	1983	Shooter	GCE	1-2
3D Narrow Escape (USA)	3D Narrow Escape	1983	Shooter	GCE	1
AnimAction - Advanced Animation (USA)	AnimAction: Advanced Animation	1983	Educational	GCE	1
Armor Attack (World)	Armor Attack	1982	Shooter/Shooter / Vehicle, TPV	GCE	1-2
Art Master (USA)	Art Master	1983	Educational	GCE	1
Bedlam (World)	Bedlam	1983	Shooter	GCE	1-2
Berzerk (USA)	Berzerk	1982	Action / Labyrinth/Action	Stern	1-2
Blitz! - Action Football (World)	Blitz! - Action Football	1982	Sports/Sports / Football (American)	GCE	1-2
Clean Sweep (World)	Clean Sweep	1982	Action / Labyrinth/Action	GCE	1-2
Cosmic Chasm (World)	Cosmic Chasm	1982	Shooter	GCE	1-2
Dark Tower (USA) (Proto)	Dark Tower	1983	Role Playing Game	GCE	1
Engine Analyzer (USA) (Proto)	ZZZ(notgame):Engine Analyzer	1983	Various	GCE	1
Fortress of Narzod (USA)	Fortress of Narzod	1982	Shooter / Vehicle, Diagonal/Shooter	GCE	1-2
Heads-Up - Action Soccer (World)	Heads-Up: Action Soccer	1983	Sports/Sports / Football (Soccer)	GCE	1-2
HyperChase - Auto Race (World)	HyperChase - Auto Race	1982	Racing, Driving / Racing/Racing, Driving	GCE	1-2
Mail Plane (USA) (Proto) (DA1AC0DB)	Mail Plane	1983	Simulation	GCE	1
Melody Master - Music Composition and Entertainment (USA)	Melody Master: Music Composition and Entertainment	1983	Educational	GCE	1
Mine Storm (World)	MineStorm	1982	Shooter	GCE	1-2
Mr. Boston - Clean Sweep (USA)	Mr. Boston Clean Sweep	1983		GCE	1-2
Pitcher's Duel (USA) (Proto)	Pitcher's Duel	1983	Sports/Sports / Baseball	GCE	1-2
Polar Rescue (USA)	Polar Rescue	1983	Shooter / Vehicle, FPV/Shooter	GCE	1-2
Pole Position (USA)	Pole Position	1983	Racing, Driving	GCE	1
RA+A Spectrum I+ Stress Tester (USA) (Proto)	ZZZ(notgame):Ra+a Spectrum I+ Stress Tester		Simulation	GCE	1
Rip Off (World)	Rip Off	1982	Shoot'em Up	GCE	1-2
Scramble (World)	Scramble	1982	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
Sledge 3D (USA) (Sample)	Rocket Sledge	1983	Simulation	GCE	1
Solar Quest (World)	Solar Quest	1982	Shoot'em Up	GCE	1-2
Space Wars (World)	Space Wars	1982	Shooter	GCE	1-2
Spike (World)	Spike	1982	Platform	GCE	1-2
Spinball (World)	Spin Ball	1983	Pinball	GCE	1-2
Star Castle (USA)	Star Castle	1983	Shoot'em Up	Cinematronics	1-2
Star Trek - The Motion Picture (USA)	Star Trek: The Motion Picture	1982	Shooter/Shooter / Vehicle, FPV	GCE	1
StarHawk (World)	Star Hawk	1982	Shoot'em Up/Shooter/Shooter / Vehicle, FPV	GCE	1-2
Test Cartridge (USA) (Rev 4) (Proto)	ZZZ(notgame):Test Cartridge		Various	GCE	1
Tour De France (USA) (Proto)	Tour De France	1983	Sports / Cycling/Racing, Driving/Sports	GCE	1
WebWars (World)	Web Warp	1983	Shooter / Vehicle, Diagonal/Shooter	GCE	1-2
