#name	crc	size	key
3D Crazy Coaster (USA)	92709b11	8192	3D Crazy Coaster (USA)
3D Mine Storm (USA)	b2313487	8192	3D Mine Storm (USA)
3D Narrow Escape (USA)	050bd949	8192	3D Narrow Escape (USA)
AnimAction - Advanced Animation (USA)	9f62e167	8192	AnimAction - Advanced Animation (USA)
Armor Attack (World)	b7510971	4096	Armor Attack (World)
Art Master (USA)	c8e2f247	4096	Art Master (USA)
Bedlam (World)	a2fa649b	4096	Bedlam (World)
Berzerk (Europe) (Rev 2)	e9d149de	4096	Berzerk (USA)
Berzerk (USA)	eafe2455	4096	Berzerk (USA)
Blitz! - Action Football (World)	0f11ce0c	8192	Blitz! - Action Football (World)
Blitz! - Action Football (World) (Alt)	881b27c5	8192	Blitz! - Action Football (World)
Clean Sweep (World)	f1b1de78	4096	Clean Sweep (World)
Cosmic Chasm (World)	6c1afa52	4096	Cosmic Chasm (World)
Dark Tower (USA) (Proto)	9dcfd5b7	12288	Dark Tower (USA) (Proto)
Fortress of Narzod (Europe) (Rev 2)	157fb991	8192	Fortress of Narzod (USA)
Fortress of Narzod (USA)	13a35c8a	8192	Fortress of Narzod (USA)
Heads-Up - Action Soccer (World)	e61a7de3	8192	Heads-Up - Action Soccer (World)
HyperChase - Auto Race (World)	4bb13472	4096	HyperChase - Auto Race (World)
Mail Plane (USA) (Proto) (05838962)	05838962	8192	Mail Plane (USA) (Proto) (DA1AC0DB)
Mail Plane (USA) (Proto) (DA1AC0DB)	da1ac0db	8192	Mail Plane (USA) (Proto) (DA1AC0DB)
Melody Master - Music Composition and Entertainment (USA)	afefa29c	8192	Melody Master - Music Composition and Entertainment (USA)
Mine Storm (World)	6d509566	4096	Mine Storm (World)
Mine Storm II (USA) (Rev 2)	f5b3b374	4096	Mine Storm (World)
Mr. Boston - Clean Sweep (USA)	bd4da4c2	8192	Mr. Boston - Clean Sweep (USA)
Pitcher's Duel (USA) (Proto)	c25f2e0e	8192	Pitcher's Duel (USA) (Proto)
Polar Rescue (USA)	a7471784	8192	Polar Rescue (USA)
Polar Rescue (USA) (Beta)	ad844645	8192	Polar Rescue (USA)
Pole Position (USA)	a00ed3d6	8192	Pole Position (USA)
Pole Position (USA) (Alt)	c10f37d8	8192	Pole Position (USA)
Rip Off (World)	34a98132	4096	Rip Off (World)
Scramble (World)	707c8ffe	4096	Scramble (World)
Sledge 3D (USA) (Sample)	863b89e8	3671	Sledge 3D (USA) (Sample)
Solar Quest (World)	5c4611c8	4096	Solar Quest (World)
Space Wars (World)	a3be5aff	4096	Space Wars (World)
Spike (World)	62a61843	8192	Spike (World)
Spinball (World)	02f41733	8192	Spinball (World)
Star Castle (USA)	c9039623	4096	Star Castle (USA)
Star Ship (Europe) (1982)	7967a8cb	4096	Star Trek - The Motion Picture (USA)
Star Ship (Europe) (1983)	189012e0	4096	Star Trek - The Motion Picture (USA)
Star Trek - The Motion Picture (USA)	3768d8c3	4096	Star Trek - The Motion Picture (USA)
StarHawk (World)	4de1f06b	4096	StarHawk (World)
Tour De France (USA) (Proto)	bb4791f1	8192	Tour De France (USA) (Proto)
WebWarp (Europe)	521107c3	8192	WebWars (World)
WebWars (World)	2ee20103	8192	WebWars (World)
