#key	style	ss_system_id
3D Crazy Coaster (USA)	box-2D	102
3D Mine Storm (USA)	box-2D	102
3D Narrow Escape (USA)	box-2D	102
AnimAction - Advanced Animation (USA)	box-2D	102
Armor Attack (World)	box-2D	102
Art Master (USA)	box-2D	102
Bedlam (World)	box-2D	102
Berzerk (USA)	box-2D	102
Blitz! - Action Football (World)	box-2D	102
Clean Sweep (World)	box-2D	102
Cosmic Chasm (World)	box-2D	102
Dark Tower (USA) (Proto)	box-2D	102
Fortress of Narzod (USA)	box-2D	102
Heads-Up - Action Soccer (World)	box-2D	102
HyperChase - Auto Race (World)	box-2D	102
Mail Plane (USA) (Proto) (DA1AC0DB)	box-2D	102
Melody Master - Music Composition and Entertainment (USA)	box-2D	102
Mine Storm (World)	box-2D	102
Mr. Boston - Clean Sweep (USA)	box-2D	102
Pitcher's Duel (USA) (Proto)	box-2D	102
Polar Rescue (USA)	box-2D	102
Pole Position (USA)	box-2D	102
Rip Off (World)	box-2D	102
Scramble (World)	box-2D	102
Sledge 3D (USA) (Sample)	box-2D	102
Solar Quest (World)	box-2D	102
Space Wars (World)	box-2D	102
Spike (World)	box-2D	102
Spinball (World)	box-2D	102
Star Castle (USA)	box-2D	102
Star Trek - The Motion Picture (USA)	box-2D	102
StarHawk (World)	box-2D	102
Tour De France (USA) (Proto)	box-2D	102
WebWars (World)	box-2D	102
