#key	synopsis
3D Crazy Coaster (USA)	Steigen Sie ein in den Crazy Coaster und machen Sie sich bereit für eine Achterbahnfahrt, die gefährlicher und aufregender ist als alles, was Sie bisher erlebt haben! Die Magie von Vectrex 3-D macht Ihre Fahrt so real, Sie werden spüren, wie Sie sich mit der G-Kraft neigen! Du steuerst die Bewegungen des Fahrgastes im vorderen Wagen, während er die spektakulär steilen Hügel hinunterstürzt und die der Schwerkraft trotzenden Kurven des Crazy Coasters durchfährt. Schaffst du es, seine Arme während der Fahrt oben zu halten, ohne dass er ins All fliegt?!
3D Mine Storm (USA)	In 3D MINE STORM steuert der Spieler ein Schiff durch mehrere Minenfelder und zerstört alle Minen auf jedem Feld, um zum nächsten Feld zu gelangen. Das Spiel beginnt damit, dass der feindliche Minenleger das erste Minenfeld verlegt. Die Minen werden in 3 verschiedenen Ebenen pro Feld gelegt. Das Schiff des Spielers wird sichtbar, nachdem alle Minen aktiviert wurden und der Minenleger das Feld verlassen hat.
3D Narrow Escape (USA)	Betreten Sie die stellare Festung eines Warlords aus dem 23. Jahrhundert, dessen böse Absicht es ist, Ihr Heimatsternsystem zu beherrschen und alle seine Bewohner zu versklaven. Ihre Aufgabe ist es, durch die engen und sich schnell bewegenden Gänge der Festung zu navigieren und die Verteidigungskräfte des Warlords und sein mächtiges Arsenal zu zerstören. Vorsicht: Die Gänge der Festung werden Sie in 3-D-Terror einkesseln, während die Verteidigungssysteme des Kriegsherrn immer bedrohlicher werden. Wirst du dich dem Bösen des Warlords hingeben oder ihn vernichten und ihm knapp entkommen?!
AnimAction - Advanced Animation (USA)	ANIMACTION ist das erste Videohandwerk seiner Art, das es Ihnen ermöglicht, Ihre eigene Kunst zu kreieren und zu animieren wie nie zuvor! Mit dem völlig neuen Konzept von ANIMACTION kannst du jede beliebige Szene mit vorgezeichneten Figuren und Formen erstellen und diese dann mit anderen Figuren, Hintergründen und Landschaften kombinieren, die du selbst gezeichnet hast!
Armor Attack (World)	Sie sind ein mit Raketen bewaffnetes Fahrzeug, das seine Angreifer in einem Labyrinth vernichten muss. Sie müssen sich sowohl gegen Panzer als auch gegen Hubschrauber verteidigen, die Ihr schönes Auto in die Luft jagen wollen. Obwohl die Animationen in diesem Spiel recht rudimentär sind, wird es einige Zeit dauern, bis man sich an das Gameplay gewöhnt hat. Milton Bradley signiert hier eine Adaption des Spiels, das drei Jahre zuvor auf dem Arcade-Automaten veröffentlicht wurde, auf der Vektorkonsole. Entspannen Sie Ihre Finger, atmen Sie tief durch und bereiten Sie sich darauf vor, ganz allein gegen eine ganze Armee anzutreten!
Art Master (USA)	ART MASTER ist ein hochleistungsfähiges, hochmodernes Erlebnis, das Sie in eine Welt der Kunstentdeckung entführt, die Sie noch nie zuvor gesehen haben! Endlich wird das Skizzieren erwachsen und Ihre Kreativität erwacht zum Leben. Dank fortschrittlicher Elektroniktechnologie können Sie jetzt Ihre eigene Kunst entwerfen, zeichnen und animieren! Zeichnen Sie einen Vogel. Dann sehen Sie ihm beim Fliegen zu! Skizziere einen Zug. Schicken Sie ihn dann über die Gleise rasen! Sieh zu, wie eine Blume im Wind weht oder wie Kinder zur Schule gehen. Was du erschaffst kannst du animieren. Sie müssen kein Superkünstler sein, um ART MASTER nutzen und genießen zu können. Alles, was Sie brauchen, ist ein Sinn für Abenteuer, Spaß und ein wenig Fantasie! Wir zeigen Ihnen, wie Sie ART MASTER zu dem Schlüssel machen, der all Ihre Kreativität freisetzt, von der Sie schon immer wussten, dass Sie sie haben!
Bedlam (World)	Auf engstem Raum müssen Sie alle Feinde ausschalten, die direkt auf Sie zukommen. Wir werden die flüssigen Animationen in diesem Spiel zu schätzen wissen, aber der zu hohe Schwierigkeitsgrad trübt das Interesse an diesem Titel ein wenig, was schade ist, da die ursprüngliche Idee gut ist.
Berzerk (USA)	In einem Spiel zwischen Doom und Pac Man schlüpfen Sie in die Rolle eines kleinen Kerls, der sich mit seiner Waffe einen Weg durch Labyrinthe voller Monster bahnen muss. Achten Sie jedoch auf den Smiley, der Sie zum Ausgangspunkt zurückführt.
Blitz! - Action Football (World)	Ein sehr rudimentäres American-Football-Spiel.
Clean Sweep (World)	Kriminelle haben die Bank ausgeraubt, noch immer liegt Geld in den Fluren herum. Sie müssen jede Ecke aussaugen, um das verlorene Geld einzusammeln, aber seien Sie vorsichtig, die Einbrecher sind immer noch da!nnDie Kapazität Ihres Staubsaugers ist begrenzt. Denken Sie daher daran, ihn von Zeit zu Zeit im Safe in der Mitte der Bank zu entleeren. In jeder Ecke gibt es Steckdosen, um die Leistung des Staubsaugers zu steigern und Einbrecher abzuwehren. Unter diesem etwas weit hergeholten Szenario verbirgt sich tatsächlich, Sie haben es erraten, ein Klon von Pac-Man.
Cosmic Chasm (World)	Ein Spiel, bei dem Sie mit Ihrem Panzer alle Feinde vernichten müssen, die sich Ihnen in einem Gebiet nähern, dessen Grenzen sich im Laufe der Zeit ändern. Ein Spiel wie so viele auf Vectrex, das aber immer noch ziemlich süchtig macht.
