#key	synopsis
3D Crazy Coaster (USA)	Climb aboard the Crazy Coaster and get ready for a roller coaster ride more dangerous and exciting than any you've experienced before! The magic of Vectrex 3-D makes your ride so real... you'll feel yourself leaning with the G-force! You control the movements of the passenger in the lead car as he plummets down the spectacularly steep hills and careens around the gravity-defying curves of the Crazy Coaster. Will you be able to keep his arms raised throughout the ride without sending him flying off into space?!
3D Mine Storm (USA)	In 3D Mine Storm, the player controls a ship through multiple mine fields destroying all mines on each field to progress to the next field. The game will start with the enemy minelayer seeding the first mine field. Mines are left in 3 different levels or planes per field. The player's ship will come into view after all the mines have been activated and the minelayer has left the field.
3D Narrow Escape (USA)	Enter the stellar fortress of a 23rd century warlord whose evil intent is to dominate your home star system and enslave all its inhabitants. Your mission is to navigate through the narrow and fast-moving passages of the fortress and destroy the warlord's defense forces and his powerful arsenal. Beware... the passages of the fortress will encircle you in 3-D terror while the warlord's defense systems will become increasingly more menacing. Will you succumb to the evil of the warlord or destroy him and make a Narrow Escape?!
AnimAction - Advanced Animation (USA)	ANIMACTION is the first video craft of its kind that enables you to create and animate your own art like never before! ANIMACTION's totally new concept lets you create any scene using pre-drawn figures and shapes... and then combine those with other figures, backgrounds and scenery you draw yourself!
Armor Attack (World)	Maneuver your jeep through the streets and alleys of an occupied town. Hide from the enemy tanks behind buildings and launch your own surprise attack! Improve your chance of survival by playing with an alley. But beware of the deadly helicopter flying overhead . . . no place is safe from this treacherous enemy.
Art Master (USA)	ART MASTER is a high performance, state-of-the-art experience that takes you into a world of art exploration you've never seen before! Finally, sketching comes of age... and your creativity comes to life. Advanced electronics technology now makes it possible for you to design, draw, and animate your own art! Draw a bird. Then watch it fly! Sketch a train. Then send it speeding down the railroad tracks! Watch a flower blow in the wind or children walk to school. What you create... you can animate. You don't have to be a super-artist to use and enjoy Art Master. All you need is a sense of adventure, fun and a little imagination! We'll show you how to make Art Master the key that unlocks all the creativity you've always known you had!
Bedlam (World)	Your home galaxy has been invaded by alien colonists hoping to claim all inhabited worlds as their own. Unacceptable! You have been given the ultimate responsibility of protecting your galactic neighbors from the invaders. Blasting the aliens with the amazing anti-molecular cannon transports them thousands of light years away where they will cause no further bedlam. But beware, the invaders will be increasingly ruthless. The future of the galaxy rests on your shoulders. Good luck!
Berzerk (USA)	Maneuver your humanoid through the electrified mazes of robot filled rooms. You may kill the first group of robots but initial success does not mean survival... future groups begin firing at you! Added danger lurks when Evil Otto enters. He can jump the maze walls and squash you if you linger too long!
Blitz! - Action Football (World)	Will you have a championship season or just be an also-ran? You're in control as head coach of this championship caliber squad. Run, pass, punt, kick field goals -- all the excitement of a real game. Play against the computer's tough defense or invite a visiting coach to join in a real showdown!
Clean Sweep (World)	Evil bank robbers have just blown your bank to smithereens. As bank president, you only have a vacuum available to recover the money strewn among the rubble, before the thieves destroy you! The thieves get increasingly anxious, but for added challenge, turn off the lights of the bank's corridors and gather the money through a blind maze.
Cosmic Chasm (World)	Can you save the galaxy by blowing up the alien-inhabited planet ... and get off the planet before you explode too? You must burrow deep inside, finding your way through the underground maze while battling the Planet Protectors. If you can get to the center, plant your one bomb and try to find your way out. It's only a matter of seconds before the planet goes BOOM!
Dark Tower (USA) (Proto)	Enter the fantastic world of the Dark Tower -- a world filled with adventure, danger and all the mysteries of ancient times. You control a squadron of warriors as you search an adventure-filled forest for the magical keys that will unlock the entrance to the Dark Tower. Guide your warriors to the enchanted chests scattered throughout the forest -- each will contain a new puzzle, adventure, terror or treasure. Use your warriors wisely and beware the evils of the forest! Dark Tower is a fully playable unreleased prototype role playing game programmed in 1983. It was inspired by the 1981 Milton Bradley board game of the same name. The game was considered only a rumor for many years until it was finally made available for download and is now available for play on most multicarts.
Engine Analyzer (USA) (Proto)	Engine Analyzer was a diagnostic tool released by GCE for the Vectrex in 1983.
Fortress of Narzod (USA)	A long time ago, before our history began, wizards - both good and evil - battled for supremacy of the earth. It was a time of magic and adventure when all men possessed special powers. The most evil wizard, Narzod, gained the power to enslave all mankind. You are the only remaining honorable wizard with the knowledge to harness all the forces of good to defeat Narzod and destroy his sinister fortress. But Narzod has prepared for your approach and guards his realm with deadly creatures of darkness, including the Mystic Hurler. Beware, and approach the Fortress of Narzod with great caution!
Heads-Up - Action Soccer (World)	Take the ultimate soccer challenge... without ever leaving your seat! Play with a friend or tackle the computer itself in an action-packed soccer game that takes all the concentration, strategy and split-second reactions of the real thing! You're in control as the realistic, dimensional players get the ball down the field by passing, bouncing and kicking it back and forth to one another - just like a real soccer game! HEADS-UP! And get ready for an exciting and demanding soccer tournament... complete with the roar of the crowd!
