#key	synopsis
3D Crazy Coaster (USA)	¡Sube a bordo de la Crazy Coaster y prepárate para la montaña rusa más peligrosa y emocionante que cualquier otra que hayas experimentado antes! La magia de Vectrex 3-D hace que tu viaje sea tan real ... ¡te sentirás inclinado con la fuerza G!
3D Mine Storm (USA)	El jugador se mueve alrededor de la pantalla disparando a minas en forma de estrella de varios tamaños y maneras. Cada pantalla tiene muchos puntos, que potencialmente pueden convertirse en minas; una vez que se dispara una mina, dos puntos en la pantalla se convertirán en minas de tamaño mediano, que luego se convertirán en dos minas pequeñas cuando se dispara.
3D Narrow Escape (USA)	Entra en la fortaleza estelar de un señor de la guerra del siglo 23 cuya mala intención es dominar el sistema estelar de tu hogar y esclavizar a todos sus habitantes. Tu misión es navegar por los estrechos y rápidos pasos de la fortaleza y destruir las fuerzas de defensa del señor de la guerra y su poderoso arsenal. Cuidado ... los pasajes de la fortaleza te rodearán de terror en 3-D mientras que los sistemas de defensa del señor de la guerra se volverán más amenazantes. ¿Sucumbirás al mal del señor de la guerra o lo destruirás y harás un escape estrecho?
AnimAction - Advanced Animation (USA)	¡ANIMACTION es el primer video de su clase que te permite crear y animar tu propio arte como nunca antes! El concepto totalmente nuevo de ANIMACTION te permite crear cualquier escena usando figuras y formas dibujadas previamente ... ¡y luego combinarlas con otras figuras, fondos y paisajes que tú mismo dibujas!
Armor Attack (World)	Conduzca su jeep a través de las calles y callejones de un pueblo ocupado militarmente. Escóndase de los tanques enemigos tras los edificios y lance su propio ataque sorpresa. Aumente sus posibilidades de sobrevivir jugando con un compañero. Protéjase del helicóptero que le sobrevuela... no hay sitio a salvo de este enemigo.
Art Master (USA)	¡ART MASTER es una experiencia avanzada de alto rendimiento que te lleva a un mundo de exploración de arte que nunca has visto antes! Finalmente, dibujar es adultos ... ¡y tu creatividad cobra vida!
Bedlam (World)	Su galaxia natal ha sido invadida por colonos extranjeros que esperan poder reclamar como suyos todos los mundos habitados, A usted le ha sido confiada la protección de sus vecinos galácticos de los invasores. Al hacer blanco, su asombroso cañón antimolecular transporta a los extranjeros a millones de años-luz desde donde ya no causarán más estragos. Pero cuidado, los invasores se torman cada vez más implacables.
Berzerk (USA)	Conduzca a su humanoide a través de los laberintos electrificados de compartimentos poblados de robots. Podrás matar al primer grupo de robots, pero el éxito inicial no significa la supervivencia... nuevos grupos de robots empezarán a dispararle. Un peligro adicional le espera cuando entra Otto el Malo. El puede saltar sobre las paredes del laberinto y aplastarle si permanece demasiado tiempo en un mismo sitio.
Blitz! - Action Football (World)	Métase en el mundo rudo y veloz del fútbol americano. Experimente toda la emoción de un verdadero partido como jugador estrella de su equipo. equipo. Corra, pase, chute y cree goles... esforzándose por marcar tantos. Juegue contra la enconada defensa del computador o rete a un jugador contrario a un verdadero desafío.
Clean Sweep (World)	Ladrones malignos acaban de volar su banco. Como director del banco sólo cuenta con una aspiradora para recoger el dinero esparcido entre los escombros antes de que los ladrones le destruyan a usted. Los ladrones se ponen cada vez más nerviosos. Pero... para mayor reto o dificultad, desconecte las luces de los corredores del banco y recoja el dinero a ciegas.
Cosmic Chasm (World)	¿Podrá usted salvar la galaxia haciendo estallar un planeta habitado por enemigos, y salir del planeta antes de estallar con él? Debe encontrar el camino a través de un profundo laberinto subterráneo mientras lucha contra los defensores del planeta. Si logra llegar al centro, ponga su bomba e intente encontrar la salida. Es cuestión de segundos antes de que el planeta estalle.
Dark Tower (USA) (Proto)	Dark Tower es un prototipo de juego de rol inédito totalmente jugable programado en 1983. Entra en el fantástico mundo de Dark Tower: un mundo lleno de aventura, peligro y todos los misterios de la antigüedad. Controlas un escuadrón de guerreros mientras buscas en un bosque lleno de aventuras las llaves mágicas que desbloquearán la entrada a la Torre Oscura. Guía a tus guerreros a los cofres encantados esparcidos por el bosque; cada uno contendrá un nuevo rompecabezas, aventura, terror o tesoro. ¡Usa a tus guerreros sabiamente y ten cuidado con los males del bosque!
