#key	synopsis
3D Crazy Coaster (USA)	Simulateur de grand huit spécialement réalisé pour le 3-D Imager
3D Mine Storm (USA)	Version 3D (avec le VECTREX 3D IMAGER) du jeu original Mine Storm. Il s'agit d'un jeu de tire ou vous devez detruire des mines depuis votre vaisseau spacial
3D Narrow Escape (USA)	Pilotez votre vaisseau dans des couloirs en 3D (grâce au VECTREX 3D IMAGER) en détruisant vos ennemis et en évitant les obstacles.
AnimAction - Advanced Animation (USA)	Logiciel d'animation, un des 3 à utiliser le LIGHT PEN
Armor Attack (World)	Vous êtes un véhicule armé de missiles qui doit détruire ses attaquants dans un labyrinthe. Vous devrez vous défendre aussi bien de tanks que d'hélicoptères désireux de faire exploser votre belle auto. Si les animations de ce jeu sont assez rudimentaires, la jouabilité vous demandera un certain temps d'adaptation. Milton Bradley signe ici une adaptation sur la console vectorielle du jeu sorti sur borne d?arcade trois ans plus tôt. Détendez vous les doigts, respirez un bon coup et préparez vous à affronter une armée entière à vous tout seul !
Art Master (USA)	Logiciel de Dessin utilisant le LIGHT PEN de la VECTREX
Bedlam (World)	Dans un espace qui se restreint vous devrez dégommer tous les ennemis qui vous foncent droit dessus. On appréciera dans ce jeu la fluidité des animations mais la difficulté trop élevée gâche un peu l'intérêt de ce titre, dommage car l'idée de départ est bonne.
Berzerk (USA)	Dans un jeu à mi chemin entre Doom et Pac Man vous incarnez un petit bonhomme qui doit se frayer un chemin à l'aide de son flingue dans des labyrinthes infestés de monstres. Attention toutefois au smiley qui vous ramènera au point de départ
Blitz! - Action Football (World)	Un jeu de football américain très rudimentaire
Clean Sweep (World)	Des malfaiteurs ont cambriolé la banque, de l'argent traine encore dans les couloirs. Vous allez devoir passer l'aspirateur dans tous les recoins pour ramasser l'argent qu'ils ont perdu, mais attention les cambrioleurs sont encore là ! La contenance de votre aspirateur est limité, donc pensez à le vider de temps en temps dans le coffre situé au centre de la banque. Dans chaque coin se trouve des prises pour booster la puissance de l'aspirateur et permettre de vaincre les cambrioleurs. Sous ce scénario un peu tiré par les cheveux se cache en fait, vous l'aurez deviné, un clône de Pac-Man.
Cosmic Chasm (World)	Un jeu où avec votre char vous devrez détruire tous les ennemis qui s'approcheront de vous dans un territoire dont les frontières évoluent au fil du temps. Un jeu comme il en existe tant sur Vectrex mais qui reste assez addictif.
Dark Tower (USA) (Proto)	Le RPG à la sauce Vectrex, il faut le voir pour le croire! Votre chevalier parcours une forêt parsemée d'item et de montres. Les phases de combats sont assez drôles, du moins par leurs réalisations sommaires. Quand les monstres jouent à cache-cache derrière les arbres alors se profil une partie d'échange d'étoiles de ninja avec vous. Un jeu à découvrir pour son fun!
Fortress of Narzod (USA)	A bord de votre vaisseau vous devrez détruire tous les ennemis qui vous fonceront dessus sans répit. La réalisation très soignée tout en vectorielle (d'où le nom de la console) vous fera apercevoir comme des débuts de 3D, notamment lors de l'explosion de votre engin. Sans doute l'un des meilleurs titres de cette console avec Scramble!
Heads-Up - Action Soccer (World)	Un jeu de football plutôt bien réussit avec des joueurs dont le déplacement comique sur le gazon vous fera sans doute aimer ce jeu. Notez la digitalisation de la voie en début très sympa
HyperChase - Auto Race (World)	Bouclez votre ceinture, calez vous bien au fond du siège baquet et passez la première, puis la seconde... vous l'aurez compris, Hyperchase est un jeu de course automobile. Un jeu de très bonne facture où le rendu de la vitesse est plutôt réussi mais comme souvent dans les jeux Vectrex, la jouabilité enlève un peu de charme au titre. Les crashs de votre bolide seront trop nombreux pour réussir à tenir plus de 10 minutes de jeu. Cela dit, ce jeu reste à essayer car c'est fou la vitesse qu'il arrive à reproduire en utilisant juste quelques vecteurs.
Mail Plane (USA) (Proto) (DA1AC0DB)	Utilisez votre Light PEN pour contrôler votre avion postal et distribuez le courrier
Melody Master - Music Composition and Entertainment (USA)	Faite de la musique avec votre VECTREX et son LIGHT PEN
Mine Storm (World)	Mine Storm est un jeu très Vectrexien : vous pilotez un vaisseau et vous devrez détruire tous les engins ennemies qui vous tourneront tout autour, si vous vous faites toucher, c'est simple, vous explosez! Une fois la zone nettoyée, vous passez au stage suivant. (Attention, cette version Bug au lvl 13... D?où la version 2 de Mine Storm qui n'est rien d'autre qu'une version corrigé du 1)
Mr. Boston - Clean Sweep (USA)	De méchants braqueurs viennent de faire voler votre banque en éclats. En tant que président de la banque, vous ne disposez que d'un vide pour récupérer l'argent éparpillé parmi les décombres, avant que les voleurs ne vous détruisent ! Les voleurs deviennent de plus en plus anxieux, mais pour un défi supplémentaire, éteignez les lumières des couloirs de la banque et rassemblez l'argent à travers un labyrinthe aveugle. La version Mr. Boston de Clean Sweep a été distribuée aux clients de Mr. Boston Liquor avec une console Vectrex. Dix exemplaires ont été distribués et seuls deux existent encore aujourd'hui. Mr Boston Clean Sweep est presque identique à la version commerciale de Clean Sweep avec seulement quelques changements. - Dans le jeu, vous jouez un chapeau haut de forme alors que dans Clean Sweep, vous jouez un aspirateur. - L'écran titre est passé de &quot;Clean Sweep&quot; à &quot;Mr Boston&quot;. - La boîte de Clean Sweep a été utilisée avec un autocollant Mr. Boston. - Une étiquette Mr. Boston a été ajoutée à la cartouche avec des informations sur la distillerie et la teneur en schnaps. - Le logo de &quot;Mr. Boston&quot; et de l'homme au chapeau haut-de-forme a été ajouté sur la cartouche.
Pitcher's Duel (USA) (Proto)	Jeu de Baseball sur Vectrex qui reprend certaine vue du ESPN Strike Zone©
Polar Rescue (USA)	Explorez les profondeurs avec Polar Rescue où vous serez le seul maitre à bord d'un sous-marin. Un jeu à réserver aux amateurs du genre qui voudraient concilier vecteurs et abysse.
Pole Position (USA)	Vous parcourez des circuits à tout allure au pied du Fuji Yama. Une réalisation assez soignée pour du vectoriel, une sensation de vitesse plutôt bien rendue également. Le principal défaut de ce jeu reste sa jouabilité, attention lorsque vous dépassez vos adversaires à ne pas les frôler de trop prêt sinon c'est l'explosion assurée!
RA+A Spectrum I+ Stress Tester (USA) (Proto)	Stress Tester conçu pour voir à quel point l'utilisateur réagit aux changements de couleur. Découvrez comment la couleur affecte votre vie ... Choisissez les 8 couleurs et l'ordinateur déterminera avec précision
Rip Off (World)	Dans Rip-Off vous êtes dans un vaisseau (comme souvent dans les jeux Vectrex) où vous devrez protéger une sorte de butin placé au centre de l'écran. Des vaisseaux ennemies viennent pour vous chaparder les items symbolisés par des triangles, si vous n'arrivez pas à protéger des voleurs ces items, votre partie se termine. Pour empêcher les voleurs de s'approcher de trop prêt ou qu'ils ne repartent avec &quot;le précieux&quot;, vous pouvez leur tirer dessus. Si vous tué un voleur qui s'est déjà saisi d'un objet, vous remportez des points bonus.
Scramble (World)	Quatre années avant GRADIUS un petit jeu sortit sur Vectrex portant le nom de Scramble faisait son apparition. Ce jeu pourrait parfaitement être son père vu la ressemblance frappante qu'il existe entre ces deux titres. Comme dans tout bon shoot them up, vous pilotez un vaisseau spatial qui doit se faire un chemin entre les différentes formes du relief tout en dégommant les ennemies qui ont prit possession de l'air et de la terre. Pour faire face à ces dangers, votre navette est équipée de deux types de tirs : un tire horizontal pour tuer les ennemis qui arrivent en face de vous et l'autre vertical pour détruire les engins au sol.
Sledge 3D (USA) (Sample)	Un logiciel de démonstration pour les lunettes 3D. L'effet est celui d'une piste qui s'étend depuis la surface du moniteur, la vitesse est contrôlée en poussant le joystick vers le haut ou le bas...
Solar Quest (World)	Avec votre vaisseau vous devez vous défendre de l'invasion d'ennemies qui tournent auprès du soleil. Un jeu comme il en existe déjà tant sur cette console et qui n'apporte pas vraiment de nouveautés hormis un beau soleil en plein milieu de l'écran, la classe!
Space Wars (World)	Vous retrouverez encore une fois dans ce jeu de bataille spatial un vaisseau où vous devrez détruire les ennemies qui viendraient virevolter trop prêt de vous. Pas si différent de Solar Quest en faite.
