#key	synopsis
3D Crazy Coaster (USA)	Sali a bordo del Crazy Coaster e preparati per un giro sulle montagne russe più pericoloso ed emozionante di qualsiasi altro tu abbia mai sperimentato prima! La magia di Vectrex 3-D rende la tua corsa così reale ... ti sentirai inclinato con la forza G! Sei tu che controlli i movimenti del passeggero nell'auto di testa mentre precipita giù per le ripide colline spettacolari e sbanda intorno alle curve che sfidano la gravità del Crazy Coaster. Riuscirai a tenere le sue braccia alzate per tutta la corsa senza farlo volare nello spazio ?!
3D Mine Storm (USA)	In 3D Mine Storm, il giocatore controlla una nave attraverso più campi minati distruggendo tutte le mine su ogni campo per passare al campo successivo. Il gioco inizierà con il posamine nemico che semina il primo campo minato. Le mine vengono lasciate in 3 diversi livelli o piani per campo. La nave del giocatore sarà visibile dopo che tutte le mine sono state attivate e il posamine ha lasciato il campo.
3D Narrow Escape (USA)	Entra nella fortezza stellare di un signore della guerra del 23 ° secolo il cui intento malvagio è quello di dominare il tuo sistema stellare di casa e schiavizzare tutti i suoi abitanti. La tua missione è navigare attraverso gli stretti e rapidi passaggi della fortezza e distruggere le forze di difesa del signore della guerra e il suo potente arsenale. Attenzione ... i passaggi della fortezza ti circonderanno nel terrore 3-D mentre i sistemi di difesa del signore della guerra diventeranno sempre più minacciosi. Soccomberai al male del signore della guerra o lo distruggerai e farai una fuga stretta ?!
AnimAction - Advanced Animation (USA)	ANIMACTION è il primo video craft del suo genere che ti consente di creare e animare la tua arte come mai prima d'ora! Il concetto totalmente nuovo di ANIMACTION ti consente di creare qualsiasi scena utilizzando figure e forme pre-disegnate ... e poi combinarle con altre figure, sfondi e scenari che disegni tu stesso!
Armor Attack (World)	Sei un veicolo armato di missili che deve distruggere i suoi aggressori in un labirinto. Dovrai difenderti sia dai carri armati che dagli elicotteri desiderosi di far saltare in aria la tua bellissima macchina. Se le animazioni di questo gioco sono piuttosto rudimentali, il gameplay richiederà del tempo per adattarsi. Milton Bradley firma qui un adattamento sulla console vettoriale del gioco rilasciato su una macchina arcade tre anni prima. Rilassa le dita, fai un respiro profondo e preparati ad affrontare un intero esercito da solo!
Art Master (USA)	ART MASTER è un'esperienza all'avanguardia e ad alte prestazioni che ti porta in un mondo di esplorazione artistica che non hai mai visto prima! Infine, lo schizzo diventa maggiorenne ... e la tua creatività prende vita. La tecnologia elettronica avanzata ora ti consente di progettare, disegnare e animare la tua arte! Disegna un uccello. Allora guardalo volare! Disegna un treno. Quindi mandalo a tutta velocità lungo i binari della ferrovia! Guarda un fiore che soffia nel vento o i bambini che vanno a scuola a piedi. Quello che crei puoi animare. Non devi essere un super artista per usare e divertirti con Art Master. Tutto ciò di cui hai bisogno è un senso di avventura, divertimento e un po'di immaginazione! Ti mostreremo come rendere Art Master la chiave che sblocca tutta la creatività che hai sempre saputo di avere!
Bedlam (World)	La tua galassia natale è stata invasa da coloni alieni che sperano di rivendicare tutti i mondi abitati come propri. Inaccettabile! Ti è stata data la responsabilità ultima di proteggere i tuoi vicini galattici dagli invasori. Far saltare gli alieni con l'incredibile cannone anti-molecolare li trasporta a migliaia di anni luce di distanza dove non causeranno più bollicine. Ma attenzione, gli invasori saranno sempre più spietati. Il futuro della galassia è sulle tue spalle. In bocca al lupo!
Berzerk (USA)	Manovra il tuo umanoide attraverso i labirinti elettrizzati di stanze piene di robot. Puoi uccidere il primo gruppo di robot, ma il successo iniziale non significa sopravvivenza futuri gruppi inizieranno a spararti! Aggiunto pericolo in agguato quando Evil Otto entra. Può saltare i muri del labirinto e schiacciarti se indugi troppo a lungo!
Blitz! - Action Football (World)	Avrai una stagione da campionato o sarai solo un corridore? Hai il controllo come capo allenatore di questa squadra di calibro di campionato. Corsa, passaggio, mira, tira a canestro: tutta l'emozione di una partita vera. Gioca contro la dura difesa del computer o invita un allenatore in visita a unirsi a una vera e propria resa dei conti!
Clean Sweep (World)	Malvagi rapinatori di banche hanno appena fatto saltare in aria la tua banca. Come presidente di banca, hai a disposizione solo un aspirapolvere per recuperare i soldi sparsi tra le macerie, prima che i ladri ti distruggano! I ladri diventano sempre più ansiosi, ma per ulteriore sfida, spegni le luci dei corridoi della banca e raccogli i soldi attraverso un labirinto cieco.
