#key	name	year	genre	developer	players
Anchorz Field (Japan)	Anchor Field	1999	Strategy	Sammy Corporation	2
Armored Unit (Japan)	Armored Unit	1999	Strategy	Sammy Corporation	1-2
Bakusou Dekotora Densetsu for WonderSwan (Japan)	Bakusou Dekotora Densetsu	1999	Simulation	Kindle Imagine Develop	1-2
beatmania for WonderSwan (Japan)	Beatmania	1999	Rhythm/Music and Dancing	ICCE Japan	1-2
Buffers Evolution (Japan)	Buffers Evolution	1999	Platform/Racing, Driving	Koto	1
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	Cardcaptor Sakura : Sakura to Fushigi na Clow Card	1999	Role Playing Game	Sims	2
Chaos Gear - Michibikareshi Mono (Japan)	Chaos Gear : Michibikareshi Mono	1999	Strategy	Lay-Up	1
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	Chocobo no Fushigi na Dungeon for WonderSwan	1999	Adventure/Role Playing Game	TOSE	1
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	Chou Aniki : Otoko no Tamafuda	2000	Role Playing Game	C.P. Brain	1-2
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	Chou Denki Card Game : Youfu Makai - Kikuchi Shuuk	1999	Adventure	Kobunsha	1-2
Clock Tower for WonderSwan (Japan) (Rev 1)	Clock Tower	1999	Adventure / Survival Horror/Adventure	Human Entertainment	1
Crazy Climber (Japan)	Crazy Climber	1999	Action / Climbing/Action	Nichibutsu	1
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	D's Garage 21 Koubo Game : Tane wo Maku Tori	1999	Various/Strategy	Ludic	1-2
Densha de Go! (Japan) (Rev 1)	Densha de Go!	1999	Simulation / Vehicle/Simulation	Taito	1
Densha de Go! 2 (Japan)	Densha de Go! 2	1999	Simulation / Vehicle/Simulation	Taito	1
Digimon - Ver. WonderSwan (Hong Kong) (En)	Digimon - Ver. WonderSwan	1999	Role Playing Game	Sims	1-2
Digimon Adventure - Anode Tamer (Japan)	Digimon Adventure : Anode Tamer	1999	Role Playing Game	Sims	1-2
Digimon Adventure - Cathode Tamer (Japan)	Digimon Adventure : Cathode Tamer	2000	Role Playing Game	Sims	1-2
Digimon Adventure 02 - Tag Tamers (Japan)	Digimon Adventure 02 : Tag Tamers	2000	Role Playing Game	Sims	1-2
Digital Partner (Japan)	Digital Partner	2000	Strategy	Tom Create	1-2
Dokodemo Hamster (Japan)	Dokodemo Hamster	2000	Simulation	BEC	1-2
Engacho! for WonderSwan (Japan)	Engacho! for Wonderswan	1999	Strategy	Nihon Application	1-2
Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan (Japan)	Fever : Sankyo Koushiki Pachinko Simulation	1999	Simulation	BEC	1
Final Lap 2000 (Japan)	Final Lap 2000	2000	Racing, Driving	Soft Machine	1-2
Fire Pro Wrestling for WonderSwan (Japan) (Rev 5)	Fire Pro Wrestling for WonderSwan	2000	Sports / Wrestling/Sports	Shimada Kikaku	1-2
Fishing Freaks - Bass Rise for WonderSwan (Japan)	Fishing Freaks : BassRise for WonderSwan	2000	Fishing/Simulation/Sports/Hunting and Fishing	BEC	1
From TV Animation One Piece - Mezase Kaizoku Ou! (Japan)	From TV Animation One Piece : Mezase Kaizoku Ou!	2000	Adventure	Soft Machine	1
Ganso Jajamaru-kun (Japan)	Ganso Jajamaru-kun	1999	Platform	Jaleco	1
Glocal Hexcite (Japan)	Glocal Hexcite	2000	Puzzle	Gu Inc	1-2
Gomoku Narabe & Reversi - Touryuumon (Japan)	Gomoku Narabe & Reversi : Touryuumon	2000	Various/Strategy	Sammy Corporation	1-2
Goraku Ou Tango! (Japan) (Rev 2)	Goraku Ou Tango!	1999	Puzzle	Studio Mebius	1
GunPey (Japan)	GunPey	1999	Puzzle	Koto Laboratory	1-2
Hanafuda Shiyouyo (Japan)	Hanafuda Shiyouyo	2000	Hanafuda/Asiatic board game/Various	Success	1-2
Harobots (Japan)	Harobots	1999	Role Playing Game	Sunrise Software	1
Hunter X Hunter - Ishi o Tsugu Mono (Japan) (Rev 2)	Hunter X Hunter : Ishi wo Tsugu Mono	2000	Role Playing Game	Access Games	1
Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen (Japan)	Kakutou Ryouri Densetsu Bistro Recipe : Wonder Bat	1999	Strategy	Banpresto	1-2
Kaze no Klonoa - Moonlight Museum (Japan)	Kaze no Klonoa : Moonlight Museum	1999	Puzzle	Namco	1
Keiba Yosou Shien Soft - Yosou Shinkaron (Japan)	Keiba Yosou Shien Soft : Yosou Shinkaron	1999	Horse racing/Sports/Sports with animals	Media Entertainment	1-2
Kiss Yori... - Seaside Serenade (Japan) (Rev 2)	Kiss Yori... - Seaside Serenade	1999	Adventure	Kindle Imagine Develop	1
Kosodate Quiz - Dokodemo My Angel (Japan)	Kosodate Quiz Dokodemo - My Angel	1999	Quiz	Bandai	1-4
Kyousouba Ikusei Simulation - Keiba (Japan) (Rev 1)	Kyousouba Ikusei Simulation : Keiba	1999	Horse racing/Sports/Sports with animals	BEC	1
Langrisser Millennium WS - The Last Century (Japan) (Rev 1)	Langrisser Millennium WS : The Last Century	2000	Role Playing Game	Masaya Games	1
Last Stand (Japan)	Last Stand	1999	Puzzle	Soft Machine	1-2
Lode Runner for WonderSwan (Japan)	Lode Runner for WonderSwan	2000	Platform / Run & Jump/Platform	Brøderbund Software	1
Macross - True Love Song (Japan)	Macross : True Love Song	2000	Puzzle	Layup - Upstar	1
Magical Drop for WonderSwan (Japan)	Magical Drop for WonderSwan	1999	Puzzle / Throw/Puzzle/Strategy	Gaibrain	1-2
Mahjong Touryuumon (Japan) (Rev 3)	Mahjong Touryuumon	1999	Fighting	Chat Noir	1-2
Makaimura for WonderSwan (Japan)	Makaimura for WonderSwan	1999	Platform	Capcom	1
Medarot Perfect Edition - Kabuto Version (Japan)	Medarot Perfect Edition : Kabuto Version	1999	Role Playing Game	Natsume	1
Medarot Perfect Edition - Kuwagata Version (Japan)	Medarot Perfect Edition : Kuwagata Version	1999	Role Playing Game	Natsume	2
Meitantei Conan - Majutsushi no Chousenjou! (Japan)	Meitantei Conan : Majutsushi no Chousenjou!	1999	Educational	Tomcat System	1
Meitantei Conan - Nishi no Meitantei Saidai no Kiki! (Japan)	Meitantei Conan : Nishi no Meitantei Saidai no Kiki	2000	Educational	Tomcat System	1
Metakomi Theraphy - Nee Kiite! (Japan)	Metakomi Theraphy : Nee Kiite!	2000	Strategy	Yoshidayama Workshop	1-2
Mingle Magnet (Japan) (En,Ja) (Rev 1)	Mingle Magnet	1999	Puzzle	HAL Laboratory	1
Mobile Suit Gundam MSVS (Japan)	Mobile Suit Gundam Msvs	1999	Strategy/Simulation	Sims	1
MobileWonderGate (Japan) (Rev 1)	Mobilewondergate	2000	Various	NTT DoCoMo	1
Moero!! Pro Yakyuu Rookies (Japan)	Moero!! Pro Yakyuu Rookies	2000	Sports / Baseball/Sports	TOSE	1-2
Morita Shougi for WonderSwan (Japan)	Morita Shougi For Wonderswan	1999	Shougi/Various/Asiatic board game	Yuki Enterprise	1-2
Nazo Ou Pocket (Japan)	Nazo Ou Pocket	1999	Adventure/Role Playing Game	Bandai Visual	1
Neon Genesis Evangelion - Shito Ikusei (Japan)	Shin Seiki Evangelion : Shito Ikusei	1999	Simulation	Soft Machine	1-2
Nice On (Japan) (Rev 1)	Nice On	1999	Sports / Golf/Sports	Aisystem Tokyo	1-2
Nihon Pro Mahjong Renmei Kounin - Tetsuman (Japan) (Rev 2)	Nippon Pro Mahjong Renmei Kounin Tetsuman	1999	Mahjong/Various/Asiatic board game	Naxat Soft	1-2
Nobunaga no Yabou for WonderSwan (Japan)	Nobunaga no Yabou	1999	Strategy	Koei	2
Ou-chan no Oekaki Logic (Japan)	Ou-chan no Oekaki Logic	2000	Puzzle	Santa Claus	1
Pocket Fighter (Japan)	Pocket Fighter	2000	Fighting	Soft Machine	1-2
Pro Mahjong Kiwame for WonderSwan (Japan) (Rev 1)	Pro Mahjong Kiwame	1999	Mahjong/Puzzle/Asiatic board game	Athena	1-2
Puyo Puyo Tsuu (Japan)	Puyo Puyo Tsuu	1999	Puzzle / Fall/Puzzle	Compile	1-2
Puzzle Bobble (Japan)	Puzzle Bobble	1999	Puzzle / Throw/Puzzle	Taito	1-2
Rainbow Islands - Putty's Party (Japan)	Rainbow Islands : Putty's Party	2000	Platform	MegaHouse	1
Ring Infinity (Japan)	Ring Infinity	2000	Adventure	Kadokawa Shoten	1
Robot Works (Japan)	Robot Works	2000	Educational	Bandai	8+
Rockman & Forte - Mirai Kara no Chousensha (Japan)	Rockman & Forte : Mirai Kara no Chousensha	1999	Platform/Strategy	Lay-Up	1
Sangokushi for WonderSwan (Japan)	Sangokushi For Wonderswan	1999	Strategy	Koei	1-2
Sangokushi II for WonderSwan (Japan)	Sangokushi 2 For Wonderswan	2000	Strategy	Koei	1-2
SD Gundam - Emotional Jam (Japan) (Rev 3)	SD Gundam : Emotional Jam	1999	Strategy	Tom Create	1
SD Gundam G Generation - Gather Beat (Japan)	SD Gundam G-Generation : Gather Beat	2000	Strategy	Vanguard Works	1
SD Gundam Gashapon Senki - Episode 1 (Japan)	SD Gundam Gashapon Senki : Episode 1	1999	Strategy	Graphic Research	1
Senkaiden - TV Animation Senkaiden Houshin Engi Yori (Japan)	Senkaiden : TV Animation Senkaiden Houshin Engi Yo	2000	Role Playing Game	Graphic Research	1
Sennou Millennium (Japan)	Sennou Millennium	2000	Puzzle	Kouyousha	1
Shanghai Pocket (Japan)	Shanghai Pocket	1999	Mahjong/Asiatic board game/Sports/Strategy	Sunsoft	1-2
Shin Nihon Pro Wrestling - Toukon Retsuden (Japan) (Rev 1)	Shin Nihon Pro Wrestling Toukon Retsuden	1999	Sports / Wrestling/Adventure/Sports	Tomy	1
Shougi Touryuumon (Japan)	Shougi Touryuumon	1999	Shougi/Asiatic board game	Sammy Corporation	1-2
Side Pocket for WonderSwan (Japan)	Side Pocket	1999	Sports / Pool/Simulation/Sports	Data East	1-2
Slither Link (Japan)	Slither Link	2000	Puzzle	Tomcat System	1
Soccer Yarou! - Challenge the World (Japan)	Soccer Yarou! ~challenge The World~	1999	Sports / Football (Soccer)/Sports	Coconuts Japan	1
Sotsugyou for WonderSwan (Japan) (Rev 1)	Sotsugyou For Wonderswan	1999	Simulation	Image Works	1
Space Invaders (Japan)	Space Invaders	1999	Shoot'em Up / Vertical/Shooter / Space Invaders Like/Shooter/Shoot'em Up	Taito	1-2
Super Robot Taisen Compact (Japan)	Super Robot Taisen Compact	1999	Strategy/Role Playing Game	TOSE	1-2
