#name	crc	size	key
Anchorz Field (Japan)	425eb893	1048576	Anchorz Field (Japan)
Armored Unit (Japan)	04366d92	1048576	Armored Unit (Japan)
Bakusou Dekotora Densetsu for WonderSwan (Japan)	392dd813	2097152	Bakusou Dekotora Densetsu for WonderSwan (Japan)
Buffers Evolution (Japan)	b25a0635	4194304	Buffers Evolution (Japan)
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	7f3a14c0	2097152	Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)
Chaos Gear - Michibikareshi Mono (Japan)	27b3cc18	2097152	Chaos Gear - Michibikareshi Mono (Japan)
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 1)	a607a350	2097152	Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 2)	ccaa4853	2097152	Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	aa53971d	2097152	Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	7fff2520	1048576	Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	56e2c069	2097152	Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)
Clock Tower for WonderSwan (Japan) (Rev 1)	4e8909d1	4194304	Clock Tower for WonderSwan (Japan) (Rev 1)
Crazy Climber (Japan)	0cb57376	1048576	Crazy Climber (Japan)
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	b1caec06	1048576	D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)
Densha de Go! (Japan) (Rev 1)	b62e5dd0	4194304	Densha de Go! (Japan) (Rev 1)
Densha de Go! 2 (Japan)	af9d8f42	4194304	Densha de Go! 2 (Japan)
Digimon - Ver. WonderSwan (Hong Kong) (En)	94ea6ffc	2097152	Digimon - Ver. WonderSwan (Hong Kong) (En)
Digimon Adventure - Anode Tamer (Japan)	fc6946f0	2097152	Digimon Adventure - Anode Tamer (Japan)
Digimon Adventure - Anode Tamer (Japan) (Rev 1)	6e9dd148	2097152	Digimon Adventure - Anode Tamer (Japan)
