#key	style	ss_system_id
Anchorz Field (Japan)	box-2D	45
Armored Unit (Japan)	box-2D	45
Bakusou Dekotora Densetsu for WonderSwan (Japan)	box-2D	45
Buffers Evolution (Japan)	box-2D	45
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	box-2D	45
Chaos Gear - Michibikareshi Mono (Japan)	box-2D	45
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	box-2D	45
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	box-2D	45
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	box-2D	45
Clock Tower for WonderSwan (Japan) (Rev 1)	box-2D	45
Crazy Climber (Japan)	box-2D	45
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	box-2D	45
Densha de Go! (Japan) (Rev 1)	box-2D	45
Densha de Go! 2 (Japan)	box-2D	45
Digimon - Ver. WonderSwan (Hong Kong) (En)	box-2D	45
Digimon Adventure - Anode Tamer (Japan)	box-2D	45
Digimon Adventure - Cathode Tamer (Japan)	box-2D	45
Digimon Adventure 02 - Tag Tamers (Japan)	box-2D	45
Digital Partner (Japan)	box-2D	45
Dokodemo Hamster (Japan)	box-2D	45
Engacho! for WonderSwan (Japan)	box-2D	45
Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan (Japan)	box-2D	45
Final Lap 2000 (Japan)	box-2D	45
Fire Pro Wrestling for WonderSwan (Japan) (Rev 5)	box-2D	45
Fishing Freaks - Bass Rise for WonderSwan (Japan)	box-2D	45
From TV Animation One Piece - Mezase Kaizoku Ou! (Japan)	box-2D	45
Ganso Jajamaru-kun (Japan)	box-2D	45
Glocal Hexcite (Japan)	box-2D	45
Gomoku Narabe & Reversi - Touryuumon (Japan)	box-2D	45
Goraku Ou Tango! (Japan) (Rev 2)	box-2D	45
GunPey (Japan)	box-2D	45
Hanafuda Shiyouyo (Japan)	box-2D	45
Harobots (Japan)	box-2D	45
Hunter X Hunter - Ishi o Tsugu Mono (Japan) (Rev 2)	box-2D	45
Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen (Japan)	box-2D	45
Kaze no Klonoa - Moonlight Museum (Japan)	box-2D	45
Keiba Yosou Shien Soft - Yosou Shinkaron (Japan)	box-2D	45
Kiss Yori... - Seaside Serenade (Japan) (Rev 2)	box-2D	45
Kosodate Quiz - Dokodemo My Angel (Japan)	box-2D	45
Kyousouba Ikusei Simulation - Keiba (Japan) (Rev 1)	box-2D	45
Langrisser Millennium WS - The Last Century (Japan) (Rev 1)	box-2D	45
Last Stand (Japan)	box-2D	45
Lode Runner for WonderSwan (Japan)	box-2D	45
Macross - True Love Song (Japan)	box-2D	45
Magical Drop for WonderSwan (Japan)	box-2D	45
Mahjong Touryuumon (Japan) (Rev 3)	box-2D	45
Makaimura for WonderSwan (Japan)	box-2D	45
Medarot Perfect Edition - Kabuto Version (Japan)	box-2D	45
Medarot Perfect Edition - Kuwagata Version (Japan)	box-2D	45
