#key	synopsis
Anchorz Field (Japan)	Anchorz Field ist ein von Sammy Studios entwickeltes und veröffentlichtes Strategiespiel, das 1999 in Japan veröffentlicht wurde.
Armored Unit (Japan)	Armored Unit ist ein unterhaltsames Strategiespiel (sobald Sie die japanischen Menüs erobert haben), das aus Folgendem besteht: Töte Feinde, die zu einfach oder viel zu schwer sind.
Bakusou Dekotora Densetsu for WonderSwan (Japan)	Sie sind ein junger Mann, der in Japan lebt und gerne LKW fährt. Es gibt einen Wettbewerb von LKW-Fahrern, die im ganzen Land Waren ausliefern. Um deine Freundin Yukie zu beeindrucken, beschließt du, an den Rennen teilzunehmen und den Titel des besten Truckers Japans zu gewinnen. Dekotora ist die Abkürzung für „decorated Truck“. In diesem Rennspiel geht es nicht nur darum, mit dem Truck über die Autobahn zu fahren und zu versuchen, schneller als die Konkurrenten zu sein, sondern auch verschiedene Dinge für den Truck zu kaufen und ihn zu dekorieren. Abhängig von Ihren Ergebnissen bei den Rennen können Sie LKW-Teile kaufen und ihn nach Ihren Wünschen anpassen.
beatmania for WonderSwan (Japan)	Es ist eine tragbare Version von Beatmania und enthält als solche alles, was man sich von einem solchen Spiel wünschen kann: eine Reihe von Musiktiteln (mit reproduzierten Stimmen!), Viele Tasten? Presse und viel Vinyl? kratzen. Wenn Sie mit Ihren Liedern fertig sind, erhalten Sie schwierigere und interessantere(?) Melodien. Das Spiel wird vertikal gespielt.
Buffers Evolution (Japan)	In einer postapokalyptischen Zukunft sucht eine Spielergewerkschaft? Mit den Trümmern der Erde schnell Geld verdienen. Durch die Kombination der besten tierischen und mechanischen Eigenschaften erschaffen sie drei bestialische Androiden? von einem Vogel, einem Löwen und einem Nashorn. Wetten werden abgeschlossen, dann werden die Roboter in lebensfeindliche Labyrinthe aus Schrott auf alter Erde entlassen. Vielleicht kommen sie sogar lebend zurück ...
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	Card Captor Sakura: Sakura to Fushigi na Clow Card ist ein von Sims entwickeltes und von Bandai veröffentlichtes Rollenspiel, das 1999 in Japan veröffentlicht wurde.
Chaos Gear - Michibikareshi Mono (Japan)	Chaos Gear: Michibikareshi Mono ist ein Strategiespiel, das von Lay-Up entwickelt und von Bandai veröffentlicht wurde und 1999 in Japan veröffentlicht wurde.
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	Dies ist das erste Spiel der Dungeon-Reihe von Chocobo. Du spielst als Chocobo und gehst? Abenteuer in einem zufällig erstellten Dungeon. Die Geschichte geht auf den Eröffnungsfilm zurück, in dem ein Chocobo durch einen Kristall, den er in einem Garten findet, böse wird. Als der böse Chocobo dich in ein Verlies schickt, beginnt das Abenteuer. Reisen? Sammeln Sie in einem sich ständig verändernden Dungeon Gegenstände und Waffen, um mächtiger zu werden und immer schwierigere Feinde zu besiegen.
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	Cho Aniki erscheint zum ersten Mal auf einer Handheld-Konsole mit Cho Aniki: Otoko no Tamafuda, nur handelt es sich bei dem Spiel dieses Mal nicht um einen von Masaya entwickelten 2D-Shooter, sondern um ein Kartenkampf-Rollenspiel. Sie wählen Ihren Charakter aus einer Liste von Cho Aniki-Charakteren aus und machen sich auf den Weg, das abgefahrene Bodybuilding-Universum zu erkunden und die vielen NPCs für ein paar Runden Kartenkampf herauszufordern. Gewinnen Sie und Sie können Ihre Sammlung vergrößern. Spezialkarten können durch das Besiegen eines anderen Spielers im vs.-Modus freigeschaltet werden.
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	Bestsellerautor Hideyuki Kikuchi erschafft in Kartenschlachten die Welt seines Bestseller-Fantasy-Universums. Das Spiel stellt Kikuchis einzigartige Weltanschauung und Geschichte innerhalb der Spielumgebung wieder her und ermöglicht den Spielern außerdem, ein spannendes Kartenkampfspiel zu genießen. Abhängig von den Karten, die Sie auf der Hand haben, kann die Geschichte selbst in verschiedene Richtungen führen.
Clock Tower for WonderSwan (Japan) (Rev 1)	Jennifer und ihre Freunde werden eines Tages von einer netten Dame namens Mary adoptiert. Sie erwarten, in der Barrows Mansion in ein wundervolles neues Zuhause zu ziehen. Dort werden sie bei Mary und Mr. Barrows leben. Leider geht etwas furchtbar schief und Jennifers Freunde werden einer nach dem anderen tot aufgefunden. Während dies geschieht, wird Mary vermisst und Jennifer wird schließlich von einem verrückten Psychopathen verfolgt, der nur als ... Scissorman bekannt ist. Jetzt muss sie in diesem Point-and-Click-Horror-Abenteuer überleben und aus der Villa entkommen ... Als junges Mädchen hast du überhaupt keine besonderen Fähigkeiten, nur deinen Verstand und deinen Überlebenswillen, es gibt ein paar Feinde kann dich sofort töten, aber Scissorman ist der wahre Horror, der dir Ärger bereiten wird.
Crazy Climber (Japan)	Klettern Sie als Crazy Climber auf die Spitze einer Reihe von Gebäuden, wo ein Hubschrauber darauf wartet, Sie abzuholen und zum nächsten Gebäude zu bringen. Wenn der Kletterer ein Gebäude erklimmt, kann er nach oben und seitwärts klettern, aber nicht nach unten. Beim Klettern auf ein Gebäude öffnen und schließen sich die Fenster gleichzeitig. Wenn sich irgendein Fenster an einer seiner Hände schließt, verliert er den Halt. Wenn sich jedoch an beiden Händen ein Fenster schließt, stürzt er in den Tod, was den Verlust eines Menschenlebens zur Folge hat. Sie haben insgesamt drei Kletterer, erhalten aber alle 30.000 Punkte einen zusätzlichen Kletterer. Der Kletterer muss versuchen, jede dieser Gefahren zu vermeiden oder zu überwinden, auf die er stößt, wenn er beim Versuch, das Dach zu erreichen, weiter klettert.
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	Die Krähe hat einen Freund gefunden. Aber das Bedauern gilt dieser Krähe, denn dieser Vogelbegleiter ist auf der Wanderung und wird einige Zeit lang nicht zurückkehren. Voller Trauer und Bedauern ergreift die Krähe die Flucht. Als er in seine einsame Welt fliegt, beginnen seine Tränen zu fließen ... und die Blumen sterben im Wasser. Endlich weiß er, was er tun muss, während er auf die Rückkehr seines Freundes wartet. Er wird in den Blumen neue Freunde finden. Es wird ihnen helfen, zu wachsen und ihre Samen zu verbreiten.
Densha de Go! (Japan) (Rev 1)	Basierend auf dem Arcade-Spiel Densha de Go! aus dem Jahr 1996. war eines der ersten kommerziellen Zugfahrsimulationsspiele und brachte zahlreiche Nachfolger hervor. Der Spieler kann aus einer Vielzahl von Gleisen und Zügen wählen und muss dann den Zug zu den vorgesehenen Bahnhöfen fahren, dabei den engen Fahrplan einhalten, genau an den markierten Positionen anhalten, alle Schilder und Signale befolgen und die Sicherheit und den Komfort der Fahrgäste gewährleisten.
Densha de Go! 2 (Japan)	Die 1998 erschienene Fortsetzung des beliebten japanischen Zugfahrspiels von Taito wurde erneut auf verschiedene Heimsysteme portiert. Zum ersten Mal ist es möglich durch den Schnee zu fahren und im Cockpit eines Shinkansen-Hochgeschwindigkeitszuges Platz zu nehmen. Das Gameplay ist mehr Arcade als Simulation. Der Schwerpunkt liegt darauf, im richtigen Moment und an der richtigen Stelle an den Bahnhöfen zu halten, den Fahrplan einzuhalten, Signale und Geschwindigkeitsbegrenzungen zu beachten und für die Sicherheit und den Komfort der Fahrgäste zu sorgen. Fehler führen dazu, dass Punkte von einem Zähler abgezogen werden. Erreicht der Zähler den Wert 0, ist das Spiel zu Ende.
Digimon - Ver. WonderSwan (Hong Kong) (En)	Digimon Ver. WonderSwan ist eine japanische Handheld-Version des ursprünglichen Tamagotchi-ähnlichen Digimon-Haustiers für WonderSwan. Es enthält alle Original-Digimon der fünf verschiedenen Haustiergeräte. In diesem Spiel kann der Spieler bis zu fünf verschiedene Digim haben.
Digimon Adventure - Anode Tamer (Japan)	Das Spiel basiert auf der beliebten Manga-Serie Digimon, die den Abenteuern von Kindern folgt, die sich Zugang in die digitale Welt verschaffen und dort gegen digitale Monster kämpfen können. In diesem Spiel hat der böse Milenniamon mehrere Kinder entführt und plant, die Kontrolle über die Digiworld zu übernehmen. Eines der guten Monster, Agumon, entkam und transportierte den Helden Ryou in die Digiworld. Jetzt muss Ryou gegen Monster kämpfen, sie fangen und eine Armee zusammenstellen, um Milenniamon zu stürzen und seine Freunde zu retten. Das Gameplay besteht hauptsächlich darin, Monster in Dungeons zu jagen und sie dann in den Kampf gegen andere Monster zu schicken. In der Stadt kannst du Vorräte kaufen und dich um deine Monster kümmern. Die Kämpfe finden rundenbasiert statt und Sie können sich frei über das Schlachtfeld bewegen. Sobald ein Kontakt mit einem Feind eingeleitet wird, folgt eine automatische Kampfsequenz.
Digimon Adventure - Cathode Tamer (Japan)	Dies ist das zweite Spiel der Digimon Adventure-Reihe, eine Art Add-on zu Anode Tamer. Das Spiel basiert auf dem beliebten Manga Digimon. Der Held, ein Junge namens Ryou, muss in die digitale Welt reisen, um seine Freunde aus den Fängen des bösen digitalen Monsters Milenniamon zu befreien. Die Geschichte dieses Spiels ist identisch mit der von „Anode Tamer“, und die Spielmechanik ist genau die gleiche: Man steigt in Dungeons hinab, um rundenbasiert gegen Monster zu kämpfen, fängt die Monster nach den Kämpfen ein und schickt sie dann in den Kampf gegen neue . Der Unterschied zwischen den beiden Spielen sind die Monster selbst: „Cathode Tamers“ bietet eine brandneue Gruppe von Monstern und seit Beginn des Spiels trifft man auf unterschiedliche Feinde. Die vollständige Monstersammlung kann nur erreicht werden, wenn Sie beide Spiele abschließen.
Digimon Adventure 02 - Tag Tamers (Japan)	Das Spiel basiert auf der Manga-Serie Digimon, in der Kinder in eine digitale Welt reisen und den freundlichen digitalen Monstern helfen können, die Bösewichte zu besiegen. In diesem Spiel werden die beiden Helden Ryou und Ken in die Digiworld gerufen, um gegen den Erzfeind Millenniumon und seinen Kumpel Diablomon zu kämpfen. Nachdem sie die beiden bösen Monster erneut besiegt haben, erkennen die Helden, dass Millenniumon eine andere Form angenommen hat und wiedergeboren wird, um die Digiworld erneut zu erobern. Jetzt müssen Sie digitale Monster rekrutieren und sie in den ultimativen Kampf führen.
