#key	synopsis
Anchorz Field (Japan)	Anchorz Field is a Strategy game, developed and published by Sammy Studios, which was released in Japan in 1999.
Armored Unit (Japan)	Armored Unit is a WonderSwan exclusive sci-fi turn-based strategy game. Main gameplay modes are story mode, trial mode, and duel mode. In the story mode the player starts by selecting an armored unit out of several available which vary in type (i.e. knight, ranger, seeker), weapons, and basic stats such as health and energy, after which one progresses through a series of stages backed up by a short dialogue cut-scenes between the stages. The basic movement occurs on a square map field where you can move your armored unit horizontally or vertically. You fight an opponent which is a hidden armored unit, visible only when you are adjacent to it or if you have a radar that can uncover it within a certain radius. Armed with weapons and special attacks based on the type of unit you have selected your goal is to defeat the enemy unit and progress to the next stage. You can fight at random map fields or use weapons of mass destruction to try and hit enemy unit without knowing where exactly it is located. After each stage, you are able to upgrade and edit your current weapon arsenal, or add new weapons and gadgets.
Bakusou Dekotora Densetsu for WonderSwan (Japan)	You are a young man who lives in Japan and likes driving trucks. There is a competition of truck drivers who deliver goods all across the country. Willing to impress your girlfriend Yukie, you decide to participate in the races and to win the title of the best trucker in Japan. Dekotora is short for &quot;decorated truck&quot;, and this racing game consists not only of driving your truck through the highway, trying to be faster than your rivals, but also of buying various stuff for your truck and decorating it. Depending on your results in the races, you can buy truck parts and customize it the way you wish.
beatmania for WonderSwan (Japan)	This is a portable version of beatmania and as such it contains everything one could hope for in such a game, a series of music track (with reproduced vocals!), a lot of buttons to press, and a lot of vinyl to scratch. After you select the music you want to play you'll have a vertical scroll which will indicate when you should hit one of the left directional buttons along with the music. The game also indicates when you should 'scratch' which should be be familiar to anyone who has played a beatmania arcade game. This refers to the scratching of a record, one might think that the WonderSwan is ill-equiped for such a for of input, well think again! beatmania for WonderSwan included in its packaging a miniature record that could be fitted over the right directional keys to make scratching more realistic. As you finish songs you'll on lock more difficult and interesting(?) tunes. The game plays vertically.
Buffers Evolution (Japan)	In a post-apocalyptic future a gambling syndicate seeks to make a quick buck in the gritty remains of earth. By fusing the best of animal and mechanical traits they create three bestial androids from a bird, a lion, and a rhinoceros. Bets are taken and then the robots are loosed into hostile mazes of scrap metal on old earth. Maybe they'll even make it back alive... The goal of BUFFERS EVOLUTION is to run through a course while collecting ten parts in the best time possible. The courses are large and vary between jungle scenes, deserts, old factories, and general mechanical wastes. These areas are cased in by electricity to stop the contests from escaping and thereby ruining the entertainment of the masses. This will keep you in the bounds of the course. With the press of a button your character will momentarily turn into a 'buffer', a sharp pisiform metallic object, while being a buffer you can destroy enemies by slamming into them, this will often bounce you in a given direction, which is useful for reaching high ledges. Although you do not need to get all the parts to clear an area special items can be accrued by collection parts, while on the course proper these parts will heal any damage you may have taken. Perhaps if you collect all the part in all nine areas you'll have the means to escape you captors? Gameplay is reminiscent of Sonic the Hedghog although in those games you race against a countdown while here you are merely trying to get good times.
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	Card Captor Sakura: Sakura to Fushigi na Clow Card is a Role-Playing game, developed by Sims and published by Bandai, which was released in Japan in 1999.
Chaos Gear - Michibikareshi Mono (Japan)	Chaos Gear: Michibikareshi Mono is a Strategy game, developed by Lay-Up and published by Bandai, which was released in Japan in 1999.
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	This is the first game in the Chocobo's Dungeon series. You take on the character of Chocobo and adventure through a randomly created dungeon. The story evolves from the opening movie when a fellow chocobo is &quot;turned&quot; evil by a crystal he finds in a garden. When the evil chocobo kicks you into a dungeon, the adventure begins. Travel through an ever changing dungeon, collecting items and weapons to become more powerful, so you can defeat the increasingly difficult enemies.
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	Cho Aniki makes it's first appearance in a handheld console with Cho Aniki: Otoko no Tamafuda, only this time the game isn't a 2D shooter developed by Masaya, but instead a card-fighting RPG. You select your character from a roster of Cho Aniki characters and set out to explore it's funky body-building universe and challenge the many npcs for a few rounds of card combat. Win and you get to increase your collection. Special cards can be unlocked by defeating another player in the vs. mode.
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	Chou-Denki Card Battle: Youfu Makai - Kikuchi Shuugyou is a card based simulation game, published by Koubunsha, which was released in Japan in 1999.
Clock Tower for WonderSwan (Japan) (Rev 1)	Jennifer and her friends are adopted by a nice lady named Mary one day. They expect to be going to a wonderful new home, at the Barrows Mansion. There they will live with Mary and Mr. Barrows. Unfortunately, something goes terribly wrong and Jennifer's friends are showing up dead one by one. While this is happening, Mary is missing and Jennifer ends up being chased by a crazed psychopath known only as...Scissorman. Now she must survive and get out of the mansion in this point-and-click horror adventure... Being a teenage girl, you have no special abilities at all, just your wits and your will to survive, there are a few enemies that can kill you instantly, but Scissorman is the true horror that will give you trouble.
Crazy Climber (Japan)	Guide Crazy Climber to a helicopter waiting at the top of a series of buildings. You can move up and sideways, but can't retreat back down. Watch out for open windows! If one closes on your hand, you'll lose your grip, and if one closes on both your hands you fall and lose one of your three lives (you can earn additional lives every 30,000 points).
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	The raven has made a friend. But sorrow be to this raven, for this fellow avian migrates, and will not return for seasons. Filled with sadness and regret the raven takes wing. As he soars through his lonely world his tears begin to fall... and water dying flowers. At last he knows what he must do until his friend returns, he will make new friends in the flowers. He will help them grow and spread their seeds. Each level in Tane wo Maku Tori contains four pillars bridged by a series of horizontal or vertical rows. These rows are different for each of the three spaces formed by the pillar. The rows may be moved up and down, one set at a time. At the foot of a column, up to three in harder areas, will be a nascent flower. Water drops will fall along the path of the pillars, which will have a different theme for each level, and eventually either fall onto the ground or a flower. Water drops will always move along a bridge if it intersects their path, drops can't go up diagonals. Drops an combine to create larger faster moving drops. Any more than three drops and it will simply fall off the pillar, or bridge, and be of no use. When a flower gets enough rain drops, or tear drops, it will bloom, when all the flowers on the stage bloom it will be cleared. Enemies also roam the stage, gobbling up hydrogen based solution and plants. They follow the same laws as the drops and will move along beams when encountered, however they can go up vertical beams. Should one reach a flower it will nibble at it until dead. This ends the game; however, enemies can be destroyed by three drops combined. A time mode is available where the player picks a difficulty level and then plays on the level until a flower is eaten or they run out of time, each completed flower will add to the time. A two player mode is available through the Communication Cable This game is played vertically.
Densha de Go! (Japan) (Rev 1)	Based on the 1996 arcade game, Densha de Go! was one of the first commercial train-driving simulation games, and went on to spawn numerous successors. The player can choose from a variety of tracks and trains and will then have to drive the train to the designated stations while sticking to the tight schedule, stopping exactly at the marked positions, obeying all signs and signals, and ensuring passenger safety and comfort. Whenever the player makes a mistake, points are deducted from a counter which at the start of each round is initialized to a value depending on the selected difficulty. If it reaches zero, the game is over. The following lines are featured: 1. Sagano Main Line (Sanin Line) from Kameoka to Kyoto 2. Keihin-Tohoku Line from Shinagawa to Yokohama 3. Tokaido Main Line (JR Kyoto Line) from Kyoto to Osaka 4. Yamanote Line (Inner Circle) from Shibuya to Tokyo Station 5. Tokaido Main Line EX from Takatsuki to Osaka, part of the rapid Tokaido Main Line from the original version, but this time with stops at every station (Windows only) 6. Sagano Line EX from Kameoka to Kyoto, without the shortcut from Saga-Arashiyama to Tambaguchi from the original version (Windows only)
Densha de Go! 2 (Japan)	The 1998 sequel of the popular Japanese train driving game by Taito has once again been ported to various home systems. For the first time on the PlayStation, it is possible to drive through the snow, and take a seat in the cockpit of a Shinkansen bullet train. The gameplay is more arcade than simulation. The focus is on stopping at the stations at the perfect moment and position, keeping up with the schedule, obeying signals and speed limits, and ensuring the safety and comfort of the passengers. Mistakes result in points being deducted from a counter. If it reaches 0, the game is over. The following routes are available: 1. Hokuhoku Line from Naoetsu to Uragawara 2. Tohoku Shinkansen from Morioka to Shin-Hanamaki 3. Akita Shinkansen from Akita to Omagari 4. Keihin-Tohoku Line from Shinagawa to Ueno 5. Osaka Loop Line from Osaka to Tennoji (not in the Arcade original) 6. Kagoshima Main Line from Hakata to Kokura (only in PlayStation and Windows versions)
Digimon - Ver. WonderSwan (Hong Kong) (En)	Digimon Ver. WonderSwan is a Japanese handheld version of the original Tamagotchi-like Digimon pet for the WonderSwan. It includes all of the original Digimon from the five different pet devices. In this game the player can have up to five different Digim
Digimon Adventure - Anode Tamer (Japan)	The game is based on the popular manga series Digimon, which follows the adventures of children who can gain access into the digital world and fight digital monsters there. In this game, the evil Milenniamon has kidnapped several children and is planning to take control over the Digiworld. One of the good monsters, Agumon, escaped, and transported the hero Ryou to the Digiworld. Now Ryou has to fight monsters, capture them, and assemble an army to overthrow Milenniamon and to rescue his friends. The gameplay involves mainly hunting monsters in dungeons and then sending them to fight other monsters. In the town you can buy supplies and take care of your monsters. The battles are turn-based, and you can move freely over the battle field. Once a contact with an enemy is initiated, an automatic battle sequence follows.
Digimon Adventure - Cathode Tamer (Japan)	This is the second game in Digimon Adventure series, a kind of an add-on to Anode Tamer. The game is based on the popular manga Digimon. The hero, a boy named Ryou, has to travel to digital world in order to free his friends from the clutches of the evil digital monster Milenniamon. The story of this game is identical to that of &quot;Anode Tamer&quot;, and gameplay mechanics are exactly the same: you descend into dungeons to fight monsters in turn-based style, capture the monsters after the battles and then send them to fight new ones. The difference between the two games are the monsters themselves: &quot;Cathode Tamers&quot; features a brand new set of monsters, and since the beginning of the game you encounter different foes. The full collection of monsters can be achieved only if you complete both games.
Digimon Adventure 02 - Tag Tamers (Japan)	The game is based on the manga series Digimon, in which children can travel to a digital world and help good digital monsters to defeat evil ones. In this game, the two heroes, Ryou and Ken, are summoned to the Digiworld to fight against the archenemy Millenniumon and his side-kick Diablomon. Upon defeating the two evil monsters once again, the heroes realize that Millenniumon has taken a different shape and is reborn to conquer the Digiworld anew. Now you must recruit digital monsters and lead them into the ultimate battle. The gameplay follows traditional Digimon outlines: you descend into dungeons and have your monster friends fight other monsters in turn-based combat. Upon returning to the town, you can make those monsters participate in future battles. Unlike the two previous Digimon Adventure games, Anode and Cathode Tamers, you cannot move over the battle field.
Digital Partner (Japan)	Digital Partner is a Strategy game, developed by Tom Create and published by Bandai, which was released in Japan in 2000.
Dokodemo Hamster (Japan)	In this game, you are the owner of a hamster. Your hamster is inside a cage, and is living its life in real time, regardless of your actions, walking around, sleeping, etc. However, you can do many things to help your hamster feel better. There is a list of topics you can &quot;discuss&quot; with the hamster: for example, you can order it to run inside a wheel, or ask it whether it is hungry or not. You can feed it some typical hamster food, clean the cage from time to time, and even write e-mails to your hamster. Depending on your actions the disposition of the hamster will change.
Engacho! for WonderSwan (Japan)	Engacho is based on a popular Japanese children game. You play a little boy named Sunzuki, who wants to prove to his angry father that he is not a coward and can stand up against the terrible monsters of the Oops Five group. Those five guys are extremely ugly and can contaminate you with an awful disease the moment they touch you. So you should outsmart them and run away before they can catch you. The gameplay is turn-based.
Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan (Japan)	Fever is a pachinko simulator. Pachinko is a Japanese cross between a pinball case and a slot machine. This game supplies the player with a number of different pachinko machines, with rotating slot numbers. These can be either in a classic form of rotating wheels or an interactive digital screen. As the balls pop around the pachinko machine they'll land in different areas and effect your earnings. The player can always choose the speed at which balls are being launched onto the field which will change how they land. This simulator also has a collection hall where the player can use his pachinko earnings to buy gambling machines and related memorabilia. These can be viewed along with information about their history.
Final Lap 2000 (Japan)	Final Lap 2000 is the first hand-held incarnation of Namco's Final Lap racing games. This version presents a number of modes, a track building feature, and only one vehicle; an open-wheel car. The modes are as follows: 1. World Tour: in the mode the player will compete against five other racers and progress through many tracks located around the world. Although the graphics are not very descriptive of location, the course's shape and curves will always change. 2. Arcade: in this classic mode you'll race against a single opponent through one of the many global tracks of your choosing. 3. Time Trial: here the player will attempt to make the best time on a course of his choosing. The player is the only car on the track for this mode. The track editing feature can only be used to make simple tracks at the start of the game; however, playing the World Tour will unlock new track parts based on your performance. Using the communication cable players can transfer tracks between different copies of Final Lap 2000.
Fire Pro Wrestling for WonderSwan (Japan) (Rev 5)	The first North American release of the Fire Pro Wrestling series comes to the Game Boy Advance. Fire Pro Wrestling has a stacked roster, comprised of many not-quite-copyright-infringing wrestlers like &quot;The Bionic Man&quot; Steve Majors (&quot;Stone Cold&quot; Steve Austin) and Axe Duggan (Hulk Hogan), making WCW vs. WWF vs. ECW matches possible. The controls are much more than the typical &quot;mash buttons until something happens&quot; that were so popular in earlier wrestling games, instead relying on timing to properly execute a move or hold.
Fishing Freaks - Bass Rise for WonderSwan (Japan)	Following in the footsteps of the fishing simulation/rpg Bass Rise this portable remake. Although one can no longer select the gender of the character there still remains a great variety of lures and poles to select. As well as five locations. Once a location has been selected a prompt to fill the tacklebox with the lures that and rod that might be most appropriate for the environment. The player then selects where to want to stand on the shore and then the ideal location for a cast. The view then switches to a closer overhead of the body of water and the player's avatar. A power meter sways over head and should the play manage to stop the meter at just the right point he will be rewarded with his cast going closer to where he intended. Once in the water the player's lure will always be in the center of the screen. Catching fish is no easy matter as the PlayStation version frequently points out; it is all about finesse. The player will have to entice the fish with wiggles and jolts from the lure... this is of course assuming that the player has selected the right lure. Once a fish is caught a small screen will pop up within the screen, showing a close up of the fish's shadow on the surface of the water. The player will get a chance to see if he hooked something good should the fish jump, as they reel it in. Records can be shared by means of the Communication Cable.
From TV Animation One Piece - Mezase Kaizoku Ou! (Japan)	From TV Animation One Piece: Mezase Kaizoku Ou! is an Adventure game, developed and published by Bandai, which was released in Japan in 2000.
Ganso Jajamaru-kun (Japan)	Ganso JaJaMaru-kun is a remake of the NES platformer Ninja JaJaMaru-kun. It includes new levels and bosses that stretch the gameplay in novel ways. Lord Namazu Dayuu has kidnapped JaJaMaru-kun's beloved Princess Sakura. This piratical lord is no laughing matter, despite his sadistically gleeful disposition, he possess an army of creatures drawn from Japanese folklore to prevent you from reuniting with your princess ever again.
Glocal Hexcite (Japan)	Hexcite: The Shapes of Victory is a puzzle game played on a honeycomb-like playing field. In the center is a hexagon; six more hexagons make up the entire playing field. Because of the turn-based gameplay, two people can play using only one system. Two-player link mode is also supported. Players begin by placing a geometric shape (triangle, hexagon, parallelogram, etc.) in the center hexagon. The CPU or human opponent then places another shape adjacent (and touching completely on one side) to a previously played piece. Players score bonus points for completing any full hexagon. Much of the strategy in this game is in tricking your opponent into letting you take a bonus. Bonuses are also scored for placing a piece so that two sides will contribute a score. The game is over when all pieces have been played, or if the remaining pieces cannot be played. In that case points are subtracted for any remaining pieces, based on the complexity of the shape (twice as many points are subtracted for a hexagon compared to a triangle).
