#key	synopsis
Armored Unit (Japan)	Armored Unit es un entretenido juego de estrategia (una vez conquistados los menús japoneses) que sufre por tener enemigos demasiado fáciles o demasiado difíciles.
Bakusou Dekotora Densetsu for WonderSwan (Japan)	Eres un joven que vive en Japón y le gusta conducir camiones. Existe una competencia de camioneros que entregan mercancías en todo el país. Dispuesto a impresionar a tu novia Yukie, decides participar en las carreras y ganar el título de mejor camionero de Japón. Dekotora es la abreviatura de &quot;camión decorado&quot;, y este juego de carreras consiste no solo en conducir tu camión por la carretera, tratando de ser más rápido que tus rivales, sino también en comprar varias cosas para tu camión y decorarlo. Dependiendo de sus resultados en las carreras, puede comprar repuestos para camiones y personalizarlos como desee.
beatmania for WonderSwan (Japan)	Esta es una versión portátil de beatmania y, como tal, contiene todo lo que uno podría esperar en un juego de este tipo, una serie de pistas musicales (¡con voces reproducidas!), Muchos botones para presionar y mucho vinilo para scratch. Después de seleccionar la música que desea reproducir, tendrá un desplazamiento vertical que le indicará cuándo debe presionar uno de los botones de dirección izquierdos junto con la música. El juego también indica cuándo debes &quot;hacer scratch&quot;, lo que debería ser familiar para cualquiera que haya jugado un juego de arcade de beatmania. Esto se refiere al rayado de un disco, uno podría pensar que el WonderSwan está mal equipado para tal tipo de entrada, ¡piénselo de nuevo! beatmania para WonderSwan incluyó en su empaque un disco en miniatura que podría colocarse sobre las teclas direccionales correctas para hacer el scratching más realista.
Buffers Evolution (Japan)	En un futuro postapocalíptico, ¿se busca un sindicato de jugadores? ganar dinero rápidamente en los escombros de la tierra. Al combinar lo mejor de las características animales y mecánicas, ¿crean tres androides bestiales? de un pájaro, un león y un rinoceronte. Se hacen apuestas, luego los robots se desatan en laberintos de basura hostiles en tierra vieja. Quizás incluso vuelvan con vida ...
Chaos Gear - Michibikareshi Mono (Japan)	Chaos Gear es un juego de estrategia que reproduce fielmente el mundo real del juego de cartas coleccionables del mismo nombre. En esta versión de Wonderswan de Chaos Gear, aparece un personaje original exclusivo de Wonderswan, y se incluyen cartas especiales (5 tipos) de ese personaje.
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	Este es el primer juego de la serie Chocobo's Dungeon. Controlarás un personaje chocobo y comenzarás la aventura a través de una mazmorra creada al azar. La historia evoluciona desde la película de apertura cuando un compañero chocobo es &quot;convertido&quot; en malvado por un cristal que encuentra en un jardín. Cuando el malvado chocobo te encierra en una mazmorra, comienza la aventura. Viaja a través de una mazmorra en constante cambio, recolecta objetos y armas para ser más poderoso, para que puedas derrotar a unos enemigos que serán cada vez más difíciles.
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	Cho Aniki hace su primera aparición en una consola portátil con Cho Aniki: Otoko no Tamafuda, solo que esta vez el juego no es un juego de disparos en 2D desarrollado por Masaya, sino un juego de rol de lucha de cartas. Seleccionas tu personaje de una lista de personajes de Cho Aniki y te propones explorar su universo de musculación funky y desafiar a los muchos PNJ en algunas rondas de combate de cartas. Gana y podrás aumentar tu colección. Las cartas especiales se pueden desbloquear al derrotar a otro jugador en el modo vs.
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	El más vendido del autor, Hideyuki Kikuchi, recrea el mundo de su mundo de fantasía más vendido en batallas de cartas. El juego recrea la visión del mundo y la historia únicas de Kikuchi en el escenario del juego, y además permite a los jugadores disfrutar de un tenso juego de batalla de cartas. Dependiendo de las cartas que tenga en su mano, la historia en sí puede llevarlo en una variedad de direcciones.
Clock Tower for WonderSwan (Japan) (Rev 1)	Jennifer y sus amigas son adoptadas por una bella dama llamada Mary. Esperan ir a un nuevo hogar maravilloso, en la Mansión Barrows. Allí vivirán con Mary y el Sr. Barrows. Desafortunadamente, algo va terriblemente mal y los amigos de Jennifer aparecen muertos uno por uno. Mientras esto sucede, Mary y Jennifer terminan siendo perseguidas por un psicópata loco conocido como ... Scissorman. Ahora deben sobrevivir y salir de la mansión en esta aventura de terror &quot;point and clik&quot; ... Al ser una adolescente, no tienes habilidades especiales, solo tu ingenio y tu voluntad para sobrevivir, hay algunos enemigos que puede matarte instantáneamente, pero Scissorman es el verdadero horror que te dará problemas.
Crazy Climber (Japan)	Como Crazy Climber, asciende hasta la cima de una serie de edificios, donde un helicóptero te espera para recogerte y llevarte al siguiente edificio. A medida que Climber escala un edificio, puede trepar hacia arriba y hacia los lados, pero no puede bajar. Al subir a un edificio, las ventanas se abrirán y cerrarán simultáneamente. Si alguna ventana se cierra en cualquiera de sus manos, perderá el control. Sin embargo, si una ventana se cierra en ambas manos, caerá y morirá, lo que resultará en la pérdida de una vida. Tiene tres escaladores en total, pero se le otorga un escalador adicional cada 30.000 puntos. Además de las ventanas, Climber se enfrenta a otros peligros, que incluyen: 1. Chicos calvos que te arrojan varios objetos 2. Cóndores molestos que pasan volando, dejando caer huevos y excrementos de una sustancia desagradable 3. Caídas de vigas de acero y mancuernas de hierro 4. Letreros eléctricos de &quot;Nichibutsu&quot; con un cable vivo colgando 5. Caída de carteles de &quot;Crazy Climber&quot; 6. King Kong salta de un lado a otro del edificio y golpea las ventanas con las manos.
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan)	El cuervo ha hecho un amigo. Pero lamento sea para este cuervo, porque este compañero ave migra y no regresará por temporadas. Lleno de tristeza y arrepentimiento, el cuervo toma vuelo. A medida que se eleva a través de su mundo solitario, sus lágrimas comienzan a caer ... y las flores mueren por el agua. Por fin sabe lo que debe hacer hasta que regrese su amigo, hará nuevos amigos en las flores. Los ayudará a crecer y esparcir sus semillas.
Densha de Go! (Japan) (Rev 1)	Basado en el juego de arcade de 1996, Densha de Go! fue uno de los primeros juegos comerciales de simulación de conducción de trenes y generó numerosos sucesores. El jugador puede elegir entre una variedad de vías y trenes y luego tendrá que conducir el tren a las estaciones designadas mientras se apega al horario apretado, deteniéndose exactamente en las posiciones marcadas, obedeciendo todas las señales y señales y garantizando la seguridad y comodidad de los pasajeros.
Digimon - Ver. WonderSwan (Hong Kong) (En)	Digimon Ver. WonderSwan es una versión japonesa de mano de la mascota Digimon parecida a Tamagotchi original para WonderSwan. Incluye todos los Digimon originales de los cinco dispositivos para mascotas diferentes. En este juego, el jugador puede tener hasta cinco Digim diferentes.
Digimon Adventure - Anode Tamer (Japan)	El juego está basado en la popular serie de manga Digimon, que sigue las aventuras de niños que pueden acceder al mundo digital y luchar contra monstruos digitales allí. En este juego, el malvado Milenniamon ha secuestrado a varios niños y planea tomar el control de Digiworld. Uno de los buenos monstruos, Agumon, escapó y transportó al héroe Ryou al Digiworld. Ahora Ryou tiene que luchar contra monstruos, capturarlos y formar un ejército para derrocar a Milenniamon y rescatar a sus amigos. El juego consiste principalmente en cazar monstruos en mazmorras y luego enviarlos a luchar contra otros monstruos. En la ciudad puedes comprar suministros y cuidar a tus monstruos. Las batallas se basan en turnos y puedes moverte libremente por el campo de batalla. Una vez que se inicia un contacto con un enemigo, sigue una secuencia de batalla automática.
Digimon Adventure - Cathode Tamer (Japan)	Este es el segundo juego de la serie Digimon Adventure, una especie de complemento de Anode Tamer. El juego está basado en el popular manga Digimon. El héroe, un niño llamado Ryou, tiene que viajar al mundo digital para liberar a sus amigos de las garras del malvado monstruo digital Milenniamon. La historia de este juego es idéntica a la de &quot;Anode Tamer&quot;, y la mecánica de juego es exactamente la misma: desciendes a las mazmorras para luchar contra monstruos por turnos, captura a los monstruos después de las batallas y luego los envías a luchar contra otros nuevos. . La diferencia entre los dos juegos son los monstruos en sí mismos: &quot;Cathode Tamers&quot; presenta un nuevo conjunto de monstruos, y desde el comienzo del juego te encuentras con diferentes enemigos. La colección completa de monstruos solo se puede lograr si completas ambos juegos.
Digimon Adventure 02 - Tag Tamers (Japan)	El juego se basa en la serie de manga Digimon, en la que los niños pueden viajar a un mundo digital y ayudar a los buenos monstruos digitales a derrotar a los malvados. En este juego, los dos héroes, Ryou y Ken, son convocados al Digiworld para luchar contra el archienemigo Millenniumon y su patada lateral Diablomon. Al derrotar a los dos monstruos malvados una vez más, los héroes se dan cuenta de que Millenniumon ha tomado una forma diferente y renace para conquistar el Digiworld de nuevo. Ahora debes reclutar monstruos digitales y conducirlos a la batalla definitiva. La jugabilidad sigue los esquemas tradicionales de Digimon: desciendes a las mazmorras y haces que tus amigos monstruos luchen contra otros monstruos en un combate por turnos. Al regresar a la ciudad, puedes hacer que esos monstruos participen en futuras batallas. A diferencia de los dos juegos anteriores de Digimon Adventure, Anode y Cathode Tamers, no puedes moverte por el campo de batalla.
Digital Partner (Japan)	Digital Partner es un juego que te permite hablar con Digimon, enseñarles palabras y conocerlos cada vez mejor. Los Digimon usan las palabras que han aprendido en las batallas, por lo que cuanto más les enseñas, más fuertes se vuelven. Los jugadores pueden hablar con dos Digimon al mismo tiempo, y los Digimon pueden hablar entre sí para ampliar el alcance de la conversación. Además, con el adaptador exclusivo de Digital Monster (incluido en la versión de Digital Monster WonderSwan), los datos de monstruos de &quot;Digital Monster&quot;, &quot;Digimon Pendulum&quot; y &quot;Digivice&quot; se pueden almacenar en &quot;Digital Partner&quot; para la batalla en &quot;Dee One Grand Prix&quot;. &quot; modo. Hay más de 70 monstruos contra los que puedes jugar, la mayoría de ellos de Digimon Adventure y un par de Digimon Adventure 02. Si compraste Pocket Digimon World y Wonder Wave para PlayStation, podrías enviar los datos de Digimon que subiste a PlayStation a través de Pocket Station y usa esos personajes en ese juego.
