#key	synopsis
Anchorz Field (Japan)	Anchorz Field è un gioco di strategia, sviluppato e pubblicato da Sammy Studios, che è stato rilasciato in Giappone nel 1999.
Armored Unit (Japan)	Armored Unit è un esclusivo gioco di strategia a turni di fantascienza WonderSwan. Le principali modalità di gioco sono la modalità storia, la modalità prova e la modalità duello. Nella modalità storia il giocatore inizia selezionando un'unità corazzata tra diverse disponibili che variano in tipo (cioè cavaliere, ranger, cercatore), armi e statistiche di base come salute ed energia, dopo di che si progredisce attraverso una serie di livelli supportati da brevi cut-scene di dialogo tra i livelli. Il movimento di base avviene su un campo mappa quadrato in cui è possibile spostare l'unità corazzata orizzontalmente o verticalmente.
Bakusou Dekotora Densetsu for WonderSwan (Japan)	Sei un giovane che vive in Giappone e ama guidare camion. C'è una concorrenza di camionisti che consegnano merci in tutto il paese. Volendo impressionare la tua ragazza Yukie, decidi di partecipare alle gare e di vincere il titolo di miglior camionista del Giappone. Dekotora è l'abbreviazione di &quot;camion decorato&quot;, e questo gioco di corse consiste non solo nel guidare il tuo camion attraverso l'autostrada, cercando di essere più veloce dei tuoi rivali, ma anche di acquistare varie cose per il tuo camion e decorarlo. A seconda dei risultati nelle gare, puoi acquistare parti di camion e personalizzarle come desideri.
beatmania for WonderSwan (Japan)	Questa è una versione portatile di beatmania e come tale contiene tutto ciò che si potrebbe sperare in un gioco del genere, una serie di tracce musicali (con voci riprodotte!), un sacco di pulsanti da premere e un sacco di vinile da graffiare. Dopo aver selezionato la musica che desideri riprodurre, avrai uno scorrimento verticale che indicherà quando dovresti premere uno dei pulsanti direzionali a sinistra insieme alla musica. Il gioco indica anche quando dovresti &quot;grattare&quot; che dovrebbe essere familiare a chiunque abbia giocato a un gioco arcade beatmania. Questo si riferisce al graffio di un disco, si potrebbe pensare che il WonderSwan sia mal equipaggiato per un tale input, beh ripensaci! beatmania for WonderSwan ha incluso nella sua confezione un disco in miniatura che poteva essere montato sopra i tasti direzionali giusti per rendere più realistico lo scratching. Man mano che finisci le canzoni, troverai brani più difficili e interessanti (?). Il gioco si svolge verticalmente.
Buffers Evolution (Japan)	In un futuro post-apocalittico, si cerca un sindacato dei giocatori? Guadagna rapidamente tra le macerie della terra. Combinando il meglio delle caratteristiche animali e meccaniche, creano tre androidi bestiali? di un uccello, un leone e un rinoceronte. Le scommesse sono fatte, poi i robot vengono scatenati in labirinti di immondizia ostili su vecchi terreni. Forse tornano anche vivi...
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan)	Card Captor Sakura: Sakura to Fushigi na Clow Card è un gioco di ruolo, sviluppato da Sims e pubblicato da Bandai, che è stato rilasciato in Giappone nel 1999.
Chaos Gear - Michibikareshi Mono (Japan)	Chaos Gear: Michibikareshi Mono è un gioco di strategia, sviluppato da Lay-Up e pubblicato da Bandai, che è stato rilasciato in Giappone nel 1999.
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3)	Questo è il primo gioco della serie Chocobo's Dungeon. Assumi il personaggio di Chocobo e ti avventuri attraverso un dungeon creato casualmente. La storia si evolve dal film di apertura quando un compagno chocobo viene &quot;trasformato&quot; in malvagio da un cristallo che trova in un giardino. Quando il malvagio chocobo ti prende a calci in una prigione, inizia l'avventura. Viaggia attraverso un dungeon in continua evoluzione, raccogliendo oggetti e armi per diventare più potente, in modo da poter sconfiggere i nemici sempre più difficili.
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4)	Cho Aniki fa la sua prima apparizione in una console portatile con Cho Aniki: Otoko no Tamafuda, solo che questa volta il gioco non è uno sparatutto 2D sviluppato da Masaya, ma invece un gioco di ruolo di combattimento di carte. Seleziona il tuo personaggio da un roster di personaggi Cho Aniki e parti per esplorare il suo universo funky di body-building e sfida i numerosi NPC per alcuni round di combattimento con le carte. Vinci e puoi aumentare la tua collezione. Le carte speciali possono essere sbloccate sconfiggendo un altro giocatore nella modalità vs.
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3)	L'autore di bestseller Hideyuki Kikuchi ricrea il mondo del suo universo fantasy bestseller nelle battaglie di carte. Il gioco ricrea la visione del mondo e la storia uniche di Kikuchi come parte del gioco, e consente anche ai giocatori di godere di un gioco di battaglia di carte teso. A seconda delle carte che hai in mano, la storia stessa può portarti in direzioni diverse.
