#key	synopsis
Armored Unit (Japan)	Armored Unit é um divertido jogo de estratégia (depois de conquistar os menus japoneses) que consiste em: Matar inimigos que são muito fáceis ou muito difíceis.
Magical Drop for WonderSwan (Japan)	Algures no mundo, existe um objeto precioso chamado gota mágica. Quem a encontrar será feliz ou poderá vingar-se do seu inimigo. Por isso, não é de admirar que muitas pessoas estejam a tentar obter este objeto. Mas obtê-lo não é fácil... Este é um jogo de puzzle em que caem diferentes balões e em que tens de fazer corresponder três balões do mesmo tipo para os fazer desaparecer e evitar que te esmaguem. A personagem do jogador corre lateralmente ao longo da parte inferior do ecrã descendente e dispara sobre os balões para os fazer mudar de forma e combiná-los entre si. Existem diferentes personagens de jogador, todas elas cartas de tarot: Demónio, Justiça, Sacerdotisa, etc. Cada personagem retira um tipo diferente de balão especial, que pode ser combinado com qualquer combinação dos outros dois.
Makaimura for WonderSwan (Japan)	Arthur, o valente cavaleiro, deve resgatar sua amada princesa Prin-Prin do Castelo do Demônio Astaroth e do seu vasto exército. Entre os componentes do exército do Demônio, monstros, zumbis, fantasmas, morcegos e ogros. Outros desafios na difícil jornada incluem plataformas móveis, escadas e obstáculos de água e fogo. Este jogo do wonderswan combina inimigos dos três jogos anteriores da franquia Ghosts'n Globins e foi lançado no Japão no ano de 1999.
Medarot Perfect Edition - Kabuto Version (Japan)	Medarot: Perfect Edition é um RPG desenvolvido pela Natsume e publicado pela Imagineer em 1999 para o WonderSwan, e é uma edição de &quot;versão do diretor&quot; do jogo original lançado no Nintendo Game Boy em 1997. Segue-se Hikaru Agata em sua busca para competir em torneios Robottle e derrotar o malvado Roborobo Gang. Foi lançado em duas versões: Kabuto (Besouro Rinoceronte), onde o Medarot inicial do jogador é Metal Beetle, e Kuwagata (Besouro Veado), onde o jogador começa com Tesouras de Cabeça.
Mobile Suit Gundam MSVS (Japan)	squeça o que você sabe sobre jogos de luta de Gundam. Aqui, a estratégia é a palavra-chave. Você controla seu Mobile Suit favorito e se lança em uma arena bidimensional, voando e atirando como se não houvesse amanhã. O jogo se concentra em manobras rápidas, uso inteligente de suas armas e em desviar dos ataques inimigos. O jogo traz uma lista de Mobile Suits clássicos e alguns &quot;menos conhecidos&quot;, do jeito que os fãs de verdade gostam. Então, se você está pronto para uma dose de nostalgia e um novo desafio tático, Mobile Suit Gundam MSVS é a sua chance de provar que você não é apenas um piloto de Gundam qualquer, mas sim um verdadeiro ás dos céus.
Nobunaga no Yabou for WonderSwan (Japan)	No século XVI, o período Sengoku do Japão dividiu a nação em muitos estados feudais, cada um governado por um daimyo. Muitos sonhavam conquistar o país, tornar-se Shogun e governar todo o país. Um destes daimyos era o ambicioso Nobunaga Oda, um governante impiedoso e estratega de renome. Os jogadores assumem o papel de Nobunaga Oda ou de um dos muitos outros daimyos enquanto tentam conquistar o Japão. Nobunaga's Ambition é um jogo de estratégia baseado em turnos que pode ser jogado em vários modos diferentes. Os jogadores começam por seleccionar um cenário de 17 regiões ou um cenário maior de 50 regiões. Em seguida, o jogador deve escolher um daimyo, cujos atributos são classificados em várias categorias: idade, saúde, ambição, sorte, encanto e QI. À medida que o jogo avança, estes valores mudam de acordo com os acontecimentos do jogo.
Pocket Fighter (Japan)	Pocket Fighter é um jogo de luta crossover que utiliza personagens das séries de luta clássicas Street Fighter, Darkstalkers e Red Earth, e os apresenta em uma forma fofa de chibi encolhida, com movimentos e trajes performáticos. As lutas do jogo acontecem em vários locais da série da Capcom. O jogo usa os mesmos designs de personagens modificados usados anteriormente em Super Puzzle Fighter II Turbo, incluindo também personagens presentes em Street Fighter Alpha 2, Night Warriors: Darkstalkers' Revenge, Ibuki de Street Fighter III e Tessa de Red Earth. O jogo também apresenta muitas participações especiais de personagens de vários jogos diversos da empresa japonesa Capcom espalhados pelo cenário das lutas.
Puyo Puyo Tsuu (Japan)	Esta sequela do Puyo Puyo é, tal como o seu antecessor, um jogo de blocos em queda, em que o objetivo é combinar quatro ou mais blocos (Puyos) da mesma cor, que depois desaparecem. Os restantes Puyos caem e podem produzir combinações que provocam o aparecimento de blocos nocivos especiais no terreno do inimigo.
Rockman & Forte - Mirai Kara no Chousensha (Japan)	Junte-se à luta do Mega Man and Bass pela humanidade enquanto enfrenta a mais nova ameaça da cidade - Robot King. King capturou todos os planos de dados para as criações do Dr. Wily. Eles equiparão King com todo o conhecimento que ele precisa para construir seu próprio exército indestrutível de robôs. Como Mega Man ou Bass, você irá definir aventuras separadas usando uma variedade de movimentos de batalha e armas para derrotar mestres de robôs. Parafusos e CDs ocultos oferecem itens extras para ajudar nas batalhas.
Sangokushi for WonderSwan (Japan)	Com base nos acontecimentos da era dos Três Reinos na China (século III), e no famoso romance de Luo Guanzhong, Sanguo Yanyi, assume-se o comando de um dos muitos senhores da guerra que lutam pelo controlo após a Rebelião Turbínica Amarela. Este jogo de estratégia / RPG apresenta centenas de personagens históricas reais da era dos Três Reinos. O objectivo do jogo é ser o governante supremo dos remanescentes da Dinastia Han caída. Para tal, deve construir um poderoso império conquistando províncias e recrutando generais dignos para comandar o seu exército. Lutar em batalhas massivas, triunfar sobre catástrofes naturais e capturar a fortaleza inimiga será o seu destino diário neste jogo. No final, será que conseguirá unir a China?
