#key	name	year	genre	developer	players
Alchemist Marie & Elie - Futari no Atelier (Japan)	Alchemist Marie & Elie : Futari no Atelier	2001	Role Playing Game	Gust	1-2
Another Heaven - Memory of those Days (Japan)	Another Heaven : Memory of Those Days	2000	Adventure	Omega Micott	1
Arc the Lad - Kishin Fukkatsu (Japan)	Arc the Lad : Kijin Fukkatsu	2002	Role Playing Game	TOSE	1
Battle Spirit - Digimon Frontier (Japan)	Battle Spirit : Digimon Frontier	2002	Fighting	Dimps	1-2
Blue Wing Blitz (Japan)	Blue Wing Blitz	2001	Role Playing Game	Squaresoft	1
Dark Eyes - Battle Gate (Japan)	Dark Eyes - Battle Gate	2001	Role Playing Game/Adventure	NexTech	1
Dicing Knight. (Japan)	Dicing Knight.	2004	Role Playing Game	Platine Dispositif	1
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En)	Digimon - Anode Tamer & Cathode Tamer - Veedramon Version				
Digimon Adventure 02 - D1 Tamers (Japan)	Digimon Adventure 02 - D1 Tamers	2000	Role Playing Game	Sims	1-2
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	Digimon Tamers - Battle Spirit	2001	Fighting	Dimps	1-2
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)	Digimon Tamers - Battle Spirit Ver.1.5	2002	Fighting	Dimps	1-2
Digimon Tamers - Brave Tamer (Japan) (Rev 1)	Digimon Tamers - Brave Tamer	2001	Role Playing Game	Sims	1-2
Digimon Tamers - Digimon Medley (Japan)	Digimon Tamers - Digimon Medley	2001	Role Playing Game	Shade	1-2
Digital Monster - D-Project (Japan)	Digital Monster - D-Project	2002	Role Playing Game	Sting Entertainment	1
Digital Monster Card Game - Ver. WonderSwan Color (Japan)	Digital Monster Card Game - Ver. WonderSwan Color	2002	Strategy	Tom Create	1-2
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)	Dokodemo Hamster 3 - Odekake Saffron	2000	Simulation	BEC	1
Dragon Ball (Japan)	Dragon Ball	2003	Role Playing Game	TOSE	1
Final Fantasy (Japan)	Final Fantasy	2000	Japanese RPG/Role Playing Game	Squaresoft	1
Final Fantasy II (Japan)	Final Fantasy II	2001	Role Playing Game	Squaresoft	1
Final Fantasy IV (Japan)	Final Fantasy IV	2002	Role Playing Game	Sting Entertainment	1
Final Lap Special - GT & Formula Machine (Japan)	Final Lap Special - GT & Formula Machine	2001	Racing, Driving	Soft Machine	1-2
Flash Koibito-kun (Japan)	Flash Koibito-kun	2000	Puzzle/Role Playing Game	Koto Laboratory	1
From TV Animation One Piece - Chopper no Daibouken (Japan)	From TV Animation One Piece - Chopper no Daibouken	2003	Fighting	TOSE	1-2
