#name	crc	size	key
Alchemist Marie & Elie - Futari no Atelier (Japan)	b18cdc0d	4194304	Alchemist Marie & Elie - Futari no Atelier (Japan)
Alchemist Marie & Elie - Futari no Atelier (Japan) (Demo) (WonderWitch)	30ef908e	524288	Alchemist Marie & Elie - Futari no Atelier (Japan)
Another Heaven - Memory of those Days (Japan)	d7a0ab74	4194304	Another Heaven - Memory of those Days (Japan)
Arc the Lad - Kishin Fukkatsu (Japan)	e2317345	8388608	Arc the Lad - Kishin Fukkatsu (Japan)
Battle Spirit - Digimon Frontier (Japan)	a28d3dc5	4194304	Battle Spirit - Digimon Frontier (Japan)
Battle Spirit - Digimon Frontier (Japan) (Rev 1)	8ba49dab	4194304	Battle Spirit - Digimon Frontier (Japan)
Blue Wing Blitz (Japan)	99027238	2097152	Blue Wing Blitz (Japan)
Dark Eyes - Battle Gate (Japan)	12ae932c	4194304	Dark Eyes - Battle Gate (Japan)
Dicing Knight (Japan) (En)	d451ad81	524288	Dicing Knight. (Japan)
Dicing Knight. (Japan)	1887389c	2097152	Dicing Knight. (Japan)
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Hong Kong) (En)	77689273	4194304	Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En)
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En)	7b2a02e3	4194304	Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En)
Digimon Adventure 02 - D1 Tamers (Japan)	4d28637e	4194304	Digimon Adventure 02 - D1 Tamers (Japan)
Digimon Adventure 02 - D1 Tamers (Japan) (Rev 1)	62f4e4b4	4194304	Digimon Adventure 02 - D1 Tamers (Japan)
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	c927bfcb	4194304	Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)	6caad4a2	8388608	Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)
Digimon Tamers - Brave Tamer (Japan) (Rev 1)	f1f4d41f	4194304	Digimon Tamers - Brave Tamer (Japan) (Rev 1)
Digimon Tamers - Digimon Medley (Japan)	fa92418d	4194304	Digimon Tamers - Digimon Medley (Japan)
Digimon Tamers - Digimon Medley (Japan) (Rev 1)	84a46949	4194304	Digimon Tamers - Digimon Medley (Japan)
Digital Monster - D-Project (Japan)	faaefbcb	4194304	Digital Monster - D-Project (Japan)
Digital Monster - D-Project (Japan) (Rev 1)	bd83b82d	4194304	Digital Monster - D-Project (Japan)
Digital Monster - D-Project (Japan) (Rev 2)	0e40829c	4194304	Digital Monster - D-Project (Japan)
Digital Monster Card Game - Ver. WonderSwan Color (Japan)	603cb5e6	4194304	Digital Monster Card Game - Ver. WonderSwan Color (Japan)
Digital Monster Card Game - Ver. WonderSwan Color (Japan) (Rev 2)	1e760c41	4194304	Digital Monster Card Game - Ver. WonderSwan Color (Japan)
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)	93e19f13	2097152	Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)
Dragon Ball (Japan)	067238d1	2097152	Dragon Ball (Japan)
Final Fantasy (Japan)	b7243e88	4194304	Final Fantasy (Japan)
Final Fantasy II (Japan)	f09e752f	4194304	Final Fantasy II (Japan)
Final Fantasy IV (Japan)	f699d6d1	4194304	Final Fantasy IV (Japan)
Final Lap Special - GT & Formula Machine (Japan)	b07e6a56	4194304	Final Lap Special - GT & Formula Machine (Japan)
Flash Koibito-kun (Japan)	69d8d433	2097152	Flash Koibito-kun (Japan)
From TV Animation One Piece - Chopper no Daibouken (Japan)	8e120b5a	4194304	From TV Animation One Piece - Chopper no Daibouken (Japan)
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan)	f8a1dd2b	8388608	From TV Animation One Piece - Grand Battle Swan Colosseum (Japan)
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan) (Sample)	23853305	8388608	From TV Animation One Piece - Grand Battle Swan Colosseum (Japan)
From TV Animation One Piece - Niji no Shima Densetsu (Japan)	427056c4	4194304	From TV Animation One Piece - Niji no Shima Densetsu (Japan)
From TV Animation One Piece - Treasure Wars (Japan)	205503c3	4194304	From TV Animation One Piece - Treasure Wars (Japan)
From TV Animation One Piece - Treasure Wars (Japan) (Rev 1)	3df3e34c	4194304	From TV Animation One Piece - Treasure Wars (Japan)
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan)	0d1048f0	8388608	From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan)
Front Mission (Japan)	2f9e2560	8388608	Front Mission (Japan)
Gekitou! Crash Gear Turbo - Gear Champion League (Japan)	8a8b827c	4194304	Gekitou! Crash Gear Turbo - Gear Champion League (Japan)
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2)	446e2581	2097152	Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2)
Golden Axe (Japan)	bc944a98	4194304	Golden Axe (Japan)
Gransta Chronicle (Japan)	af24f95c	8388608	Gransta Chronicle (Japan)
Guilty Gear Petit (Japan)	9750bc2a	2097152	Guilty Gear Petit (Japan)
Guilty Gear Petit 2 (Japan)	d7a12bd5	4194304	Guilty Gear Petit 2 (Japan)
GunPey EX (Japan)	0c9cb12c	1048576	GunPey EX (Japan)
