#key	style	ss_system_id
Alchemist Marie & Elie - Futari no Atelier (Japan)	mixrbv2	46
Another Heaven - Memory of those Days (Japan)	mixrbv2	46
Arc the Lad - Kishin Fukkatsu (Japan)	mixrbv2	46
Battle Spirit - Digimon Frontier (Japan)	mixrbv2	46
Blue Wing Blitz (Japan)	mixrbv2	46
Dark Eyes - Battle Gate (Japan)	mixrbv2	46
Dicing Knight. (Japan)	mixrbv2	46
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En)	mixrbv2	46
Digimon Adventure 02 - D1 Tamers (Japan)	mixrbv2	46
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	mixrbv2	46
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)	mixrbv2	46
Digimon Tamers - Brave Tamer (Japan) (Rev 1)	mixrbv2	46
Digimon Tamers - Digimon Medley (Japan)	mixrbv2	46
Digital Monster - D-Project (Japan)	mixrbv2	46
Digital Monster Card Game - Ver. WonderSwan Color (Japan)	mixrbv2	46
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)	mixrbv2	46
Dragon Ball (Japan)	mixrbv2	46
Final Fantasy (Japan)	mixrbv2	46
Final Fantasy II (Japan)	mixrbv2	46
Final Fantasy IV (Japan)	mixrbv2	46
Final Lap Special - GT & Formula Machine (Japan)	mixrbv2	46
Flash Koibito-kun (Japan)	mixrbv2	46
From TV Animation One Piece - Chopper no Daibouken (Japan)	mixrbv2	46
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan)	mixrbv2	46
From TV Animation One Piece - Niji no Shima Densetsu (Japan)	mixrbv2	46
From TV Animation One Piece - Treasure Wars (Japan)	mixrbv2	46
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan)	mixrbv2	46
Front Mission (Japan)	mixrbv2	46
Gekitou! Crash Gear Turbo - Gear Champion League (Japan)	mixrbv2	46
Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de (Japan) (Rev 2)	mixrbv2	46
Golden Axe (Japan)	mixrbv2	46
Gransta Chronicle (Japan)	mixrbv2	46
Guilty Gear Petit (Japan)	mixrbv2	46
Guilty Gear Petit 2 (Japan)	mixrbv2	46
GunPey EX (Japan)	mixrbv2	46
Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan) (Rev 1)	mixrbv2	46
Hataraku Chocobo (Japan)	mixrbv2	46
Hunter X Hunter - Greed Island (Japan)	mixrbv2	46
Hunter X Hunter - Michibikareshi Mono (Japan)	mixrbv2	46
Hunter X Hunter - Sorezore no Ketsui (Japan)	mixrbv2	46
Inuyasha - Fuuun Emaki (Japan)	mixrbv2	46
Inuyasha - Kagome no Sengoku Nikki (Japan)	mixrbv2	46
Inuyasha - Kagome no Yume Nikki (Japan)	mixrbv2	46
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21)	mixrbv2	46
Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha (Japan)	mixrbv2	46
Kidou Senshi Gundam SEED (Japan)	mixrbv2	46
Kidou Senshi Gundam Vol. 1 - Side 7 (Japan)	mixrbv2	46
Kidou Senshi Gundam Vol. 2 - Jaburo (Japan)	mixrbv2	46
Kidou Senshi Gundam Vol. 3 - A Baoa Qu (Japan)	mixrbv2	46
Kinnikuman II-Sei - Choujin Seisenshi (Japan)	mixrbv2	46
Kinnikuman II-Sei - Dream Tag Match (Japan)	mixrbv2	46
Kurupara! (Japan) (Rev 1)	mixrbv2	46
Last Alive (Japan)	mixrbv2	46
Makai Toushi Sa-Ga (Japan)	mixrbv2	46
Meitantei Conan - Yuugure no Oujo (Japan)	mixrbv2	46
Memories Off - Festa (Japan)	mixrbv2	46
Mikeneko Holmes - Ghost Panic (Japan)	mixrbv2	46
Mr. Driller (Japan)	mixrbv2	46
Namco Super Wars (Japan)	mixrbv2	46
Naruto - Konoha Ninpouchou (Japan)	mixrbv2	46
Pocket no Naka no Doraemon (Japan)	mixrbv2	46
RUN=DIM - Return to Earth (Japan)	mixrbv2	46
Raku Jongg (Japan)	mixrbv2	46
Rhyme Rider Kerorican (Japan)	mixrbv2	46
Riviera - Yakusoku no Chi Riviera (Japan)	mixrbv2	46
Rockman EXE - N1 Battle (Japan) (Rev 1)	mixrbv2	46
Rockman EXE WS (Japan)	mixrbv2	46
Romancing Sa-Ga (Japan)	mixrbv2	46
SD Gundam - Operation U.C. (Japan)	mixrbv2	46
SD Gundam Eiyuu Den - Kishi Densetsu (Japan)	mixrbv2	46
SD Gundam Eiyuu Den - Musha Densetsu (Japan)	mixrbv2	46
SD Gundam G Generation - Gather Beat 2 (Japan)	mixrbv2	46
SD Gundam G Generation - Mono-Eye Gundams (Japan)	mixrbv2	46
Saint Seiya - Ougon Densetsu Hen - Perfect Edition (Japan)	mixrbv2	46
Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori (Japan)	mixrbv2	46
Shaman King - Asu e no Ishi (Japan)	mixrbv2	46
Sorobang (Japan) (Rev 1)	mixrbv2	46
Star Hearts - Hoshi to Daichi no Shisha (Japan)	mixrbv2	46
Super Robot Taisen Compact 3 (Japan) (Rev 6)	mixrbv2	46
Super Robot Taisen Compact for WonderSwan Color (Japan)	mixrbv2	46
Terrors 2 (Japan)	mixrbv2	46
Tetris (Japan)	mixrbv2	46
Tonpuusou (Japan)	mixrbv2	46
Uchuu Senkan Yamato (Japan)	mixrbv2	46
Ultraman - Hikari no Kuni no Shisha (Japan)	mixrbv2	46
Wild Card (Japan)	mixrbv2	46
With You - Mitsumete Itai (Japan)	mixrbv2	46
Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan)	mixrbv2	46
Wonder Classic (Japan)	mixrbv2	46
X - Card of Fate (Japan)	mixrbv2	46
XI Little (Japan)	mixrbv2	46
