#key	synopsis
Alchemist Marie & Elie - Futari no Atelier (Japan)	In der Stadt Salburg gibt es seit jeher eine lange Tradition der Alchemie – einer magischen Wissenschaft, die sich mit der Verbindung verschiedener Materialien und der Verwandlung von Metallen in Gold beschäftigte. Sie spielen die Rolle zweier junger Mädchen, Marlone und Elvira, die an der Akademie für Alchemie studieren, mächtige Gegenstände herstellen und ihren Meistern beweisen müssen, dass sie würdig sind, echte Alchemistinnen zu sein. Das Spiel ist eine Kombination aus Rollenspiel und Simulation. Man muss Bücher lesen und mit Menschen sprechen, um mehr über Gegenstände zu erfahren und diese Gegenstände dann zu kaufen oder sie irgendwo zu finden. Sie müssen leistungsstarke Gegenstände kombinieren, um Ihre Lehrer zu beeindrucken. Sie entwickeln Ihre Charaktere auch im Standard-RPG-Stil. Sie können sie mit Waffen und Rüstungen ausrüsten und in der Wildnis gegen zufällige Feinde kämpfen. Du steigst im Level auf und wirst stärker, je mehr Feinde du bekämpfst. Die Kämpfe finden automatisch statt und Sie können Ihren Charakteren nur eine allgemeine Strategie zuweisen.
Another Heaven - Memory of those Days (Japan)	Another Heaven: Memory of Those Days ist ein von Omega Micott entwickeltes und veröffentlichtes Abenteuerspiel, das im Jahr 2000 in Japan veröffentlicht wurde.
Arc the Lad - Kishin Fukkatsu (Japan)	Vor zwei Generationen gab es einen großen Kampf zwischen Menschen und Maschinen. Angeführt von ihrem bösen Gott gelang es den Maschinen schließlich, die Schlacht zu gewinnen und die Kontrolle über die Welt zu übernehmen. Sie spielen die Rolle von Elc, dem Helden von Arc the Lad 2. Wie immer ist Elc ein freiberuflicher Söldner, der Aufträge von seiner Gilde erhält. Er trifft auf Finia, ein Mädchen, das einer Widerstandsgruppe angehörte und dessen Mutter von den Maschinen getötet wurde. Mit der Hilfe anderer Freunde müssen die Helden die Menschheit retten und die Welt wieder normalisieren.
Battle Spirit - Digimon Frontier (Japan)	Die Handlung von Digimon Battle Spirit 2 erinnert an die der Quellserie Digimon Frontier; Mehrere Kinder erhalten Nachrichten auf ihren Mobiltelefonen, in denen sie gefragt werden, ob sie wollen, dass sich ihr Leben ändert. Einige antworten mit Ja, andere mit Nein, und fünf, die mit Ja antworten, werden in die digitale Welt gerufen, wo sie die Fähigkeit erhalten, Digimon zu werden und dafür zu kämpfen, Kerpymons Schreckensherrschaft zu beenden.
Blue Wing Blitz (Japan)	Blue Wing Blitz ist ein taktisches RPG-Videospiel, das von Square entwickelt und veröffentlicht wurde und 2001 auf WonderSwan Color veröffentlicht wurde. Das Spiel bietet Flugzeugkämpfe auf einem isometrischen Gitter.
Dark Eyes - Battle Gate (Japan)	Dark Eyes ~ Battle Gate erzählt die Geschichte eines Kampfes zwischen zwei Rassen auf einem Pionierplaneten. Dieses Strategie-Rollenspiel unterstützt auch WonderGate, sodass zusätzliche Funktionen mit einem Mobiltelefon heruntergeladen werden können.
Dicing Knight. (Japan)	Würfelnder Ritter. folgt der Reise eines namenlosen Ritters, der sich durch eine Reihe zufällig generierter Dungeons kämpft. Das Spiel beginnt auf dem Boden eines Verlieses. Ihr Ziel ist es, den Etagenschlüssel zu finden, um in die nächste Etage zu gelangen. Sie werden schließlich einen Dungeon-Boss erreichen. Nachdem Sie ihn besiegt haben, erhalten Sie Zugang zu einem neuen, schwierigeren Dungeon. Dungeons werden durch eine „Nahrungsanzeige“ zeitlich begrenzt, die Sie dazu auffordert, den Dungeon zu verlassen, wenn sie aufgebraucht ist.
Digimon Adventure 02 - D1 Tamers (Japan)	Dies ist eine Fortsetzung von Digimon Adventure 02: Tag Tamers, das in der Welt der digitalen Monster spielt und auf der beliebten Manga-Serie basiert. Nachdem er das böse Millenniumon besiegt hatte, dachte unser Held Ryou, dass dies seine letzte Reise in die Digiworld sein würde. Die vier heiligen Digimons rufen ihn jedoch erneut zu sich, um am D1-Monsterkampfturnier teilzunehmen. Aber das ist noch nicht alles: Es scheint, dass Millenniumon noch am Leben ist und auf Rache aus ist! Jetzt muss Ryou das Turnier gewinnen und seinen Erzfeind erneut besiegen. Das Gameplay ist nahezu identisch mit dem des Vorgängerspiels. Sie reisen durch Top-Down- und isometrische Orte, kämpfen mit Ihrem eigenen Monsterteam gegen Monster, rekrutieren dann neue Monster und stellen eine Sammlung zusammen. Die Kämpfe sind rundenbasiert und werden aus einer isometrischen Perspektive betrachtet. Den Monstern stehen verschiedene Angriffsarten zur Verfügung. Jeder Angriff wird als kurze animierte Sequenz gezeigt.
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	Digimon Battle Spirit ist ein Kampfspiel, das ursprünglich von Bandai veröffentlicht und von Dimps für das nur in Japan erhältliche Handheld-System WonderSwan Color unter dem Namen Digimon Tamers: Battle Spirit entwickelt wurde. Zwei Jahre später wurde es für die internationale Veröffentlichung in Nordamerika und Europa auf den Game Boy Advance von Nintendo portiert. Das Spiel enthält Charaktere und Digimon, die in den ersten drei Staffeln der gleichnamigen Zeichentrickserie enthalten waren, in einem etwas vereinfachten Kampfszenario und enthält außerdem leicht arrangierte Beispiele des Soundtracks der Serie.
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)	Ein Upgrade auf Digimon: Battle Spirit, einschließlich neuer Charaktere und eines neuen versteckten Bosses namens XeedMillenniummon.
Digimon Tamers - Brave Tamer (Japan) (Rev 1)	Basierend auf dem berühmten Digimon-Manga ist dieses Spiel die Fortsetzung von Digimon Adventure 02: D1 Tamers. Das Spiel beginnt direkt dort, wo das vorherige aufgehört hat. Nach einem weiteren letzten Kampf gegen den bösen Millenniumon, bei dem er dem Helden Ryou ein schreckliches Geheimnis enthüllte, kam es zu einer großen Explosion. Ryou kommt an einem unbekannten Ort zur Besinnung. Das einzige anwesende digitale Monster erklärt ihm, dass die Explosion Millenniumon in die Zukunft geschickt hat, während Ryou sich in der Vergangenheit befand. Und jetzt versucht Millenniumon, die Kontrolle über den Hauptcomputer der Digiworld zu übernehmen, und es ist Ryous Aufgabe, ihn ein für alle Mal aufzuhalten und endlich die Wahrheit über seine Identität und die seines Erzfeindes herauszufinden.
Digimon Tamers - Digimon Medley (Japan)	„Digimon Medley“ basiert auf der beliebten Manga- und Anime-Serie Digimon, in der gewöhnliche japanische Kinder einen Weg in eine digitale Welt finden, wo sie guten digitalen Monstern helfen, Bösewichte zu bekämpfen. Das Spiel steht in keinem direkten Zusammenhang mit der Handlung der Spiele Digimon Adventure oder Digimon Tamers: Brave Tamer. Vielmehr folgt es den eigentlichen Episoden der Serie genauer. Sie spielen verschiedene Charaktere, wie den Haupthelden Taichi und seinen Freund Yamato aus den ersten Episoden, sowie Helden aus der Digimon Tamers-Unterserie: Takato, Ruki und Lee. Das Spiel ist in kurze Episoden unterteilt, in denen jeweils eine der Schlachten aus der Serie nacherlebt wird. Sie beginnen mit den Digimon Tamers, die sich in die DigiWorld wagen, wo sie auf den rätselhaften Digimon Impmon treffen, der sein Unwesen treibt.
Digital Monster - D-Project (Japan)	In diesem neuen Digimon-RPG-Spiel für Wonderswan Color/Crystal schlüpfen Sie erneut in die Rolle eines Kindes, das in die digitale Welt geschickt wird, um es zu retten (was sonst?), bewaffnet mit nichts anderem als Ihrem Digimon-Partner, Ihrem Know-how in Bezug auf Zähmung und eine Maschine, die ein gewisses...
