#key	synopsis
Alchemist Marie & Elie - Futari no Atelier (Japan)	En la ciudad de Salburg, siempre ha existido una larga tradición de alquimia, una ciencia mágica que se ocupa de combinar diversos materiales y transformar metales en oro. Juegas como dos jóvenes, Marlone y Elvira, quienes deben estudiar en la Academia de Alquimia, crear objetos poderosos y demostrar a sus maestros que son dignas de convertirse en verdaderas alquimistas. El juego combina elementos de rol y simulación. Debes leer libros y hablar con personas para aprender más sobre los objetos, y luego comprarlos o encontrarlos en algún lugar. Es necesario combinar objetos poderosos para impresionar a tus maestros. También desarrollas a tus personajes de manera típica de los juegos de rol. Puedes equiparles armas y armaduras, y luchar contra enemigos aleatorios en áreas silvestres. Ganas niveles y te haces más fuerte a medida que enfrentas más enemigos. Las batallas son automáticas, y solo puedes asignar una estrategia general a tus personajes.
Another Heaven - Memory of those Days (Japan)	A principios del verano, se producen dos incidentes violentos en Tokio. Uno es un caso de asesinato llamado &quot;Mad Cook&quot;, y el otro es un caso de homicidio continuado llamado &quot;Pyromania&quot;. El detective de la comisaría de Suginami, Koichiro Hasegawa (el protagonista), está a cargo de las investigaciones de los casos &quot;Mad Cook&quot; y &quot;Pyromania&quot;, junto con la detective Niko Nishitani, enviada desde la oficina principal. Basada en el escenario creado para el programa &quot;D's Garage 21&quot;, esta historia cuenta con la supervisión del autor original Joji Iida. El guion, que abarca 900 páginas manuscritas, da lugar a más de 20 finales diferentes.
Arc the Lad - Kishin Fukkatsu (Japan)	Hace dos generaciones, hubo una gran batalla entre los humanos y las máquinas. Lideradas por su dios malvado, las máquinas lograron ganar la batalla y tomar el control del mundo. Juegas como Elc, el héroe de Arc the Lad 2. Como siempre, Elc es un mercenario independiente que recibe asignaciones de su gremio. En su camino, se encuentra con Finia, una chica que formaba parte de un grupo de resistencia y cuya madre fue asesinada por las máquinas. Con la ayuda de otros amigos, los héroes deben salvar a la humanidad y restaurar el mundo a la normalidad. Esta es una historia paralela de la serie Arc the Lad, ambientada en un entorno futurista. Al igual que en los clásicos de la saga, la navegación por las mazmorras se percibe como una serie de combates continuos. Mueves a tus héroes en un modo por turnos, mientras los enemigos realizan sus movimientos durante los suyos. Puedes atacar cuando un enemigo se encuentra en un cuadro cercano a ti y también usar una variedad de técnicas especiales.
Battle Spirit - Digimon Frontier (Japan)	La trama de Digimon Battle Spirit 2 se hace eco de la de su serie original, Digimon Frontier: varios niños reciben mensajes en sus teléfonos móviles preguntándoles si quieren que sus vidas cambien. Algunos responden que sí, otros que no, y los cinco que responden que sí son convocados al Mundo Digital, donde reciben la capacidad de convertirse en Digimon y luchar para acabar con el reinado de terror de Kerpymon.
Blue Wing Blitz (Japan)	Hay seis naciones que viven en el mundo de las islas flotantes. La más poderosa es el Imperio Ordia, que posee los mejores aviones del mundo. Pero sus líderes ansiaban aún más poder y planeaban invadir y ocupar las otras cinco naciones. Las demás naciones intentaron mantener relaciones diplomáticas con el Imperio durante el mayor tiempo posible. Pero uno de esos países, la República Esk, decidió enviar un equipo especial de pilotos expertos para intentar iniciar una rebelión secreta contra el Imperio. Un joven piloto llamado Keid, guiado por su compañera mayor, la chica Payer, fue el elegido para esta misión.
Dark Eyes - Battle Gate (Japan)	Dark Eyes - Battle Gate narra la historia de una batalla entre dos razas en un planeta pionero. Este juego de rol estratégico también será compatible con WonderGate, lo que permitirá descargar funciones adicionales con un teléfono móvil.
Dicing Knight. (Japan)	En Dicing Knight sigues el viaje de un caballero sin nombre mientras lucha a través de una serie de mazmorras generadas aleatoriamente. El juego comienza en el suelo de una mazmorra, y tu objetivo es encontrar la llave del piso para avanzar al siguiente piso. Eventualmente llegarás al jefe de una mazmorra. Después de vencerlo, tendrás acceso a una nueva mazmorra más difícil. Las mazmorras se cronometran mediante un &quot;medidor de comida&quot; que, cuando se agota, requiere que salgas de la mazmorra.
Digimon Adventure 02 - D1 Tamers (Japan)	Esta es la secuela de Digimon Adventure 02: Tag Tamers, ambientada en el mundo de los monstruos digitales basado en la popular serie de manga. Tras derrotar al malvado Millenniumon, nuestro héroe Ryou pensó que ese sería su último viaje al Digimundo. Sin embargo, los cuatro Digimon sagrados lo convocan una vez más para participar en el torneo de lucha de monstruos D1. Pero eso no es todo: ¡parece que Millenniumon sigue vivo y busca venganza! Ahora Ryou tiene que ganar el torneo y derrotar a su archienemigo una vez más.
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	Digimon Battle Spirit es un juego de lucha publicado originalmente por Bandai y desarrollado por Dimps para el sistema portátil WonderSwan Color, disponible solo en Japón, bajo el nombre de Digimon Tamers: Battle Spirit. Fue posteriormente portado a la consola Game Boy Advance de Nintendo para su lanzamiento internacional en América del Norte y Europa dos años después. El juego presenta personajes y Digimon incluidos en las primeras tres temporadas de la serie de animación del mismo nombre en un escenario de lucha algo simplista, y también cuenta con muestras ligeramente arregladas de la banda sonora del programa.
Digital Monster Card Game - Ver. WonderSwan Color (Japan)	Monstruo digital Ver. WonderSwan es un juego de simulación virtual de crianza de mascotas. El jugador puede criar y hacer luchar hasta ocho criaturas Digimon diferentes al mismo tiempo. El jugador también puede conectar el juego con otros productos Bandai Digimon e incluso para Sony PlayStation.
