#key	synopsis
Alchemist Marie & Elie - Futari no Atelier (Japan)	Nella città di Salburg, c'è sempre stata una lunga tradizione di alchimia - una scienza magica che si occupava di combinare vari materiali e trasformare i metalli in oro. Giocherai nei panni di due giovani ragazze, Marlone ed Elvira, che devono studiare all'Accademia di alchimia, creare oggetti potenti e dimostrare ai loro maestri che sono degni di essere veri alchimisti. Il gioco è una combinazione di gioco di ruolo e simulazione. Devi leggere libri e parlare con le persone per saperne di più sugli oggetti, e poi comprare questi oggetti o trovarli da qualche parte. Devi combinare oggetti potenti per impressionare i tuoi insegnanti. Svilupperai anche i tuoi personaggi in un modo RPG standard. Puoi equipaggiare armi e armature su di loro e combattere nemici casuali nelle aree selvagge. Guadagni livelli e diventi più forte più nemici combatti. Le battaglie sono automatiche e puoi assegnare solo una strategia generale ai tuoi personaggi.
Another Heaven - Memory of those Days (Japan)	All'inizio dell'estate, due incidenti violenti si verificano a Tokyo. Uno è un caso di omicidio chiamato &quot;Mad Cook&quot;, e l'altro è un caso di omicidio doloso continuo chiamato &quot;Pyromania&quot;. Il detective della stazione di Suginami, Koichiro Hasegawa (il protagonista) è sul caso per le indagini sui casi &quot;Mad Cook&quot; e &quot;Pyromania&quot; con il detective Niko Nishitani, che è stato inviato dall'ufficio principale. Basato sullo scenario creato nel programma &quot;D's Garage 21&quot;, questa storia è affidata alla supervisione dell'autore originale Joji Iida. Lo scenario che si estende su 900 fogli di carta manoscritta si traduce in oltre 20 finali diversi prodotti.
Arc the Lad - Kishin Fukkatsu (Japan)	Due generazioni fa, una grande battaglia ebbe luogo tra esseri umani e macchine. Guidate dal loro dio malvagio, le macchine alla fine vinsero la battaglia e conquistarono il mondo. Vesti i panni di Elc, l'eroe di Arc the Lad 2. Come sempre, Elc è un mercenario indipendente che riceve missioni dalla sua gilda. Incontra Finia, una ragazza che apparteneva a un gruppo di resistenza e la cui madre è stata uccisa dalle macchine. Con l'aiuto di altri amici, gli eroi devono salvare l'umanità e riportare il mondo alla normalità.
Battle Spirit - Digimon Frontier (Japan)	La trama di Digimon Battle Spirit 2 riecheggia quella della sua serie originale, Digimon Frontier; Diversi bambini ricevono messaggi sui loro telefoni cellulari chiedendo loro se vogliono che le loro vite cambino. Alcuni rispondono sì, altri no, e cinque che rispondono sì vengono convocati a Digiworld dove ricevono l'abilità di diventare Digimon e combattere per porre fine al regno del terrore di Kerpymon.
Blue Wing Blitz (Japan)	&quot;Blue Wing Blitz&quot; è un RPG strategico a turni con una svolta: invece di combattenti o unità di soldati, comandi aerei. Navighi i tuoi aerei su un campo di battaglia, che consiste di spazi aerei, in modo rotondo. Una volta atterrato su uno spazio occupato da un aereo nemico, segue una battaglia. Durante queste battaglie hai il controllo sul tuo aereo, eseguendo vari attacchi o difendendoti. Dopo diversi turni, la battaglia si ferma, ma riprenderà se gli aerei nemici sono ancora in piedi sullo stesso spazio.
Dark Eyes - Battle Gate (Japan)	Benedetta da un ricco ambiente naturale, Ogre ha sviluppato tecnologie che utilizzano il potere della natura, come la coltivazione di piante e l'allevamento di mostri. Infans ha sviluppato tecnologie come l'elaborazione degli articoli e l'estrazione delle risorse per superare il duro ambiente naturale. Ma finalmente è giunto il momento per queste due razze di incontrarsi! E il contatto delle due diverse civiltà si è sviluppato in una grande guerra che taglia in due l'intero pianeta... In primo luogo, il giocatore sceglie se giocare nella tribù Orgul o Infan e inizia il gioco. Il gioco è diviso in tre parti, la prima parte è una campagna all'interno della razza, la seconda parte è una guerra su vasta scala di Orgul Infan, e la terza parte è un giorno dopo la guerra.
Dicing Knight. (Japan)	Dicing Knight. Segue il viaggio di un cavaliere senza nome che combatte attraverso una serie di dungeon generati casualmente. Il gioco inizierà sul pavimento di un dungeon, il tuo obiettivo è trovare i piani chiave per passare al piano successivo. Alla fine raggiungerai un boss del dungeon, dopo averlo battuto ti sarà permesso l'accesso a un nuovo dungeon più difficile. I dungeon sono cronometrati da una &quot;Barra del cibo&quot; che, una volta esaurito, ti costringerà a uscire dal dungeon.
Digimon Adventure 02 - D1 Tamers (Japan)	Questo è un sequel di Digimon Adventure 02: Tag Tamers, ambientato nel mondo dei mostri digitali basato sulla popolare serie manga. Dopo aver sconfitto il malvagio Millenniumon il nostro eroe Ryou pensò che sarebbe stato il suo ultimo viaggio nel Digiworld. Tuttavia, i quattro Digimon sacri lo convocano ancora una volta, per partecipare al torneo di combattimento dei mostri D1. Ma non è tutto: sembra che Millenniumon sia ancora vivo, e sia in cerca di vendetta! Ora Ryou deve vincere il torneo e sconfiggere ancora una volta il suo acerrimo nemico.
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	Digimon Battle Spirit è un gioco di combattimento originariamente pubblicato da Bandai e sviluppato da Dimps per il sistema portatile WonderSwan Color sotto il nome di Digimon Tamers: Battle Spirit. È stato successivamente convertito per Game Boy Advance di Nintendo per le versioni internazionali in Nord America e in Europa due anni dopo. Il gioco presenta personaggi e Digimon che sono stati inclusi nelle prime tre stagioni della serie animata con lo stesso nome in uno scenario di combattimento un po 'semplicistico, e ha anche campioni leggermente arrangiati della colonna sonora dello show.
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan)	Digimon Tamers: Battle Spirit Ver. 1.5 è un picchiaduro sviluppato e pubblicato da Bandai e rilasciato esclusivamente in Giappone per la console portatile WonderSwan Color. È un'espansione di Digimon Tamers: Battle Spirit (pubblicato negli Stati Uniti e in Europa come Digimon Battle Spirit) e contiene molte nuove funzionalità e personaggi. A differenza del suo predecessore o sequel, Digimon Battle Spirit 2, questo gioco non ha ricevuto un porting per Game Boy Advance.
Digimon Tamers - Brave Tamer (Japan) (Rev 1)	Basato sul popolare manga Digimon, questo è un sequel di Digimon Adventure 02: D1 Tamers. Il gioco riprende direttamente da dove si è concluso il precedente. Dopo l'ennesima battaglia finale contro il malvagio Millenniumon, durante la quale rivelò all'eroe Ryou un terrificante segreto, ci fu una grande esplosione. Ryou torna in sé in un luogo sconosciuto. L'unico mostro digitale lì gli spiega che l'esplosione ha mandato Millenniumon nel futuro, mentre Ryou è finito nel passato. E ora Millenniumon sta cercando di prendere il controllo del computer principale nel Digiworld, ed è compito di Ryou fermarlo una volta per tutte, e trovare finalmente la verità sulla sua identità e quella del suo acerrimo nemico.
Digimon Tamers - Digimon Medley (Japan)	&quot;Digimon Medley&quot; è basato sul popolare manga e sulla serie animé Digimon, in cui i normali bambini giapponesi trovano un modo per entrare in un mondo digitale, dove aiutano i mostri digitali buoni a combattere contro quelli malvagi. Il gioco non è direttamente correlato alla trama dei giochi Digimon Adventure o Digimon Tamers: Brave Tamer. Invece, segue più da vicino gli episodi reali della serie. Giocherai nei panni di vari personaggi, come l'eroe principale Taichi e il suo amico Yamato dei primi episodi, così come gli eroi della sottoserie Digimon Tamers: Takato, Ruki e Lee. Il gioco è diviso in brevi episodi, ognuno dei quali fa rivivere una delle battaglie della serie. Inizi con i Digimon Tamers, mentre si avventurano nel Digiworld, solo per incontrare l'enigmatico Digimon di nome Impmon, che sta facendo qualche guaio.
Digital Monster - D-Project (Japan)	Improvvisamente, una parte del mondo digitale è sparita! Al fine di ripristinare il mondo digitale perduto, l'eroe viene chiamato da Ofanimon e si dirige verso il mondo digitale. Tuttavia, i malvagi Digimon stanno aspettando l'eroe lì. Riuscirai a sconfiggere il Digimon boss e riportare Digiworld al suo antico splendore? Questa volta, i Digimon ritornano alle sue radici e si concentrano sull'allevamento di Digimon. Il gioco inizia creando uova di Digimon. Inserendo sette cifre nel generatore di sfere digitale, puoi creare le tue uova di Digimon. I Digimon nati da Digitama possono essere allevati in una varietà di campi e nutriti in modi speciali per evolversi in vari tipi (oltre 150 diverse varianti).
Digital Monster Card Game - Ver. WonderSwan Color (Japan)	WonderSwan Color è il popolare gioco di carte basato sulla serie anime WonderSwan Color. All'inizio del gioco, parlerai con Takato. Dopo il tutorial del gioco di carte (o se lo salti), sarai in un menu con un elenco
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)	Questo è il terzo della serie &quot;simulazione criceto&quot; di Bandai. In questo gioco, sei il &quot;maestro&quot; di un criceto. Il gioco scorre in tempo reale, ma puoi interferire ed eseguire varie azioni. Il criceto ha la sua stanza in una casa, con un tavolo e una ruota. Ci sono molte cose che puoi fare con il criceto. Puoi fare una passeggiata nella foresta, fare shopping con esso, farlo giocare con una palla e così via. Puoi anche eseguire azioni non correlate al criceto, come ri-decorare la casa o scrivere e dipingere su un pezzo di carta. Il gioco presenta un'interfaccia punta e clicca: si sposta il cursore su un oggetto (come criceto o calendario), che fa apparire un menu di azione.
Dragon Ball (Japan)	Il gioco è basato sulla famosa serie manga Dragon Ball, con protagonista Son Goku, e copre un lungo periodo di tempo della vita dell'eroe. Inizia con Son Goku che è un semplice bambino e incontra la misteriosa Bulma che gli chiede di aggiungerla alla sua ricerca per trovare sette Sfere del Drago, che possono esaudire qualsiasi desiderio. Il gioco segue Son Goku diventare più forte, sconfiggere molti nemici e persino sposarsi. Controlli Son Goku e i suoi amici Crilin e Yamcha in questo gioco. Il gameplay si basa principalmente sull'addestramento dei tuoi personaggi e poi portarli a combattere i nemici, avanzando nella trama. Tutte le attività del gioco (incluso camminare sulla mappa del mondo) vengono eseguite scegliendo una delle carte disponibili. A seconda del valore della carta, puoi spostare una certa quantità di caselle sulla mappa, avere un vantaggio in una battaglia, ecc.
Final Fantasy (Japan)	Final Fantasy di Hironobu Sakaguchi ... il primo di una delle più lunghe serie RPG conosciute dall'umanità. Final Fantasy è il gioco per la console NES che ha dato inizio a tutto. Il mondo è velato dalle tenebre. I venti non soffiano, i mari sono tempestosi e la terra marcisce. Tutto ciò che le persone possono sperare è che la vecchia profezia si adempia finalmente. &quot;Quando il mondo sarà velato dalle tenebre, arriveranno quattro guerrieri...&quot; E, infatti, arrivano - i quattro personaggi che hai scelto prima. La tua prima missione è liberare una principessa dalla ghirlanda malvagia, e poi inizia il vero viaggio...
Final Fantasy II (Japan)	FINAL FANTASY II è l'attesissimo seguito dell'originale FINAL FANTASY, pubblicato in Giappone nel 1988. Il gioco presenta la storia amara e bella di quattro eroi orfani di guerra che vengono coinvolti in un conflitto tra l'ostile impero di Palamecia e la resistenza ribelle. Evitando il livellamento convenzionale per un sistema di competenza che consente ai giocatori di personalizzare la crescita dei loro personaggi e incorporando un sistema di memoria a termine chiave che rende i dialoghi parte integrante del gameplay, questo gioco ha scatenato lo spirito di innovazione per cui la serie è diventata famosa. Questa versione contiene anche i dungeon bonus aggiunti alle edizioni successive del gioco: l'Anima della Rinascita e il Labirinto Arcano.
Final Fantasy IV (Japan)	Questo è il quarto capitolo della serie Final Fantasy. Era conosciuto come Final Fantasy II a livello internazionale, perché il secondo e il terzo gioco non sono mai stati rilasciati al di fuori del Giappone. Il paese militare di Baron è uno dei più forti del paese, con un esercito orgoglioso e una maestosa forza aerea conosciuta come Red Wings. Ma, mentre i loro eserciti sono gentili e leali, le recenti azioni del re sono tutt'altro. Al giovane capitano delle Ali Rosse, Cecil, viene ordinato di rubare un cristallo da un villaggio di maghi innocenti, e quando mette in discussione le azioni del suo re, Cecil viene immediatamente cacciato dal paese e mandato a uccidere strani mostri. Non si rende conto del prezzo che le azioni del Re pagheranno, e quale sia il vero segreto dei cristalli e dei loro poteri...
