#key	synopsis
Arc the Lad - Kishin Fukkatsu (Japan)	Duas gerações atrás, houve uma grande batalha entre os humanos e as máquinas. Liderados por seu deus maligno, eventualmente as máquinas foram capazes de vencer a batalha e assumir o controle do mundo. Você desempenha o papel de Elc, o herói de Arc the Lad 2. Como sempre, Elc é um mercenário que recebe atribuições de sua guilda. Ele encontra Finia, uma garota que pertencia a um grupo de resistência e cuja mãe foi morta pelas máquinas. Com a ajuda de outros amigos, os heróis devem salvar a humanidade e restaurar o mundo ao normal. Esta é uma história paralela da série Arc the Lad, ambientada num ambiente futurista. Como nos jogos clássicos de Arc The Lad, toda a navegação de calabouço é percebida como uma série de batalhas contínuas. Você move seus heróis no modo baseado em turnos, e os inimigos usam seu turno para executar seus movimentos. Você pode atacar uma vez que um inimigo que está em um quadrado perto de você e também usar uma variedade de técnicas especiais.
Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)	O Digimon Battle Spirit é um jogo de luta originalmente publicado pela Bandai e desenvolvido pela Dimps para o sistema handheld WonderSwan Color exclusivamente japonês, sob o nome Digimon Tamers: Battle Spirit. Mais tarde, foi portado para Game Boy Advance da Nintendo para lançamentos internacionais na América do Norte e Europa, dois anos depois. O jogo apresenta personagens e Digimon que foram incluídos nas três primeiras temporadas da série animada de mesmo nome em um cenário de luta um tanto simplista, e também tem amostras ligeiramente arranjadas da trilha sonora do show.
Dokodemo Hamster 3 - Odekake Saffron (Japan) (Rev 2)	nnEste é o terceiro na série de simulação de hamster da Bandai. Neste jogo, você é o &quot;mestre&quot; de um hamster. O jogo flui em tempo real, mas você pode interferir e realizar várias ações. O hamster tem seu próprio quarto em uma casa, com uma mesa e uma roda. Há muitas coisas que você pode fazer com o hamster. Você pode dar um passeio na floresta, ir às compras, brincar com uma bola e assim por diante. Você também pode executar ações não relacionadas ao hamster, como a redecoração da casa ou a escrita e a pintura em um pedaço de papel. O jogo possui uma interface de apontar e clicar: você move o cursor sobre um objeto (como hamster ou calendário), o que abre um menu de ação.
Dragon Ball (Japan)	O jogo é baseado na famosa série de mangá Dragon Ball, estrelando Son Goku, e abrange um longo período de tempo da vida do herói. Começa com Son Goku sendo uma mera criança e conhecendo a misteriosa Bulma que lhe pede para adicioná-la em sua busca para encontrar sete Dr.
Final Fantasy (Japan)	Final Fantasy de Hironobu Sakaguchi ... o primeiro de uma das mais longas séries de RPG conhecidas pela humanidade. Final Fantasy é o jogo para o console NES que começou tudo. O mundo está velado na escuridão. Os ventos não sopram, os mares são tempestuosos e a terra apodrece. Tudo o que as pessoas podem esperar é que a antiga profecia seja finalmente cumprida. &quot;Quando o mundo estiver velado na escuridão, quatro guerreiros virão ...&quot; E, de fato, eles vêm - os quatro personagens que você escolheu anteriormente. Sua primeira missão é libertar uma princesa do mal Garland, e então a verdadeira jornada começa ...
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan)	One Piece: Treasure Wars 2 Welcome to Buggyland é um jogo de tabuleiro para o portátil Wonderswan baseado no mangá e anime One Piece. Foi desenvolvido, lançado e publicado em dezembro de 2002 pela Bandai. A história é vagamente baseada na saga do East Blue. Os Piratas do Chapéu de Palha desafiam Buggy e sua equipe a uma corrida para encontrar o tesouro. O jogo é semelhante ao One Piece: Treasure Wars, o jogador é capaz de escolher um personagem da equipe de chapéu de palha, incluindo Nico Robin, para jogar em um estilo de jogo de tabuleiro e corrida para encontrar o tesouro escondido.
Gekitou! Crash Gear Turbo - Gear Champion League (Japan)	O jogador é o personagem principal do anime, Koya Marino, que pretende se tornar o melhor lutador de equipamentos do mundo. A customização de equipamento, as entradas de arremesso e de comando para movimentos especiais que são acionados durante a batalha são fundamentais para a vitória. Como cada parte tem sua própria técnica especial, o equipamento das partes é o ponto mais importante. Existem mais de 10.000 combinações de engrenagens e peças. Ganhe pontos ganhando torneios e você pode comprar peças mais fortes ou ajustar-se. Apontar para se tornar um campeão mundial enquanto luta contra poderosos adversários e rivais que aparecem um após o outro em torneios de batalha! Talvez você possa jogar contra um misterioso lutador quando joga contra um amigo?
Golden Axe (Japan)	No passado, houve uma guerra terrível entre os Deuses, os criadores do mundo, e os Titãs. Os Titãs foram derrotados graças a uma arma super-poderosa forjada pelos Deuses, chamada &quot;Golden Axe&quot;. Graças a esta arma, os Titãs foram banidos e os Deuses legaram a Terra aos humanos. No entanto, um Titã sobreviveu: Víbora da Morte. Ele apoderou-se do &quot;Golden Axe&quot; e usou-o para destruir o mundo. Raptou o rei de Yuria e a sua filha e ameaçou executá-los se os habitantes não se submetessem incondicionalmente. Três heróis, determinados a vingar-se de Death Adder, partem para o encontrar. Cada personagem tem uma habilidade mágica especial que pode ser carregada chutando pequenas criaturas que deixam cair uma poção.
GunPey EX (Japan)	Sequela direta do Gunpey original no WonderSwan, o Gunpey EX adiciona vários novos elementos ao clássico; mais notavelmente, cor. Além de ganhar pontos por completar uma linha em todo o campo, você ganhará pontos se essas linhas forem de uma cor correspondente. Anteriormente, apenas linhas cinzentas eram possíveis, e agora aparecem linhas vermelhas, azuis e verdes. Gunpey EX tem os mesmos modos do jogo anterior, exceto um modo de história. Modo Time Attack, onde é preciso eliminar o maior número possível de peças em dois de cinco minutos. Modo infinito dá ao jogador tempo ilimitado para produzir qualquer pontuação que deseje. O modo de palco apresenta um número definido de peças a serem removidas em um determinado momento. O modo de quebra-cabeça coloca o jogador na situação de ter que remover um certo grupo de peças, o jogador pode mudar a cor das linhas aqui quando elas trocarem suas posições de peças.
Makai Toushi Sa-Ga (Japan)	The Final Fantasy Legend (Makai Toushi Sa·Ga, literalmente The Warrior in Spirit World Tour ~ Sa·Ga) é um videogame RPG lançado em 1989 no Japão e em 1990 nos Estados Unidos para Game Boy. Foi desenvolvido e publicado pela Square. É o primeiro videogame RPG projetado para esta plataforma e a primeira parcela da série de videogames SaGa. Ele foi portado para o WonderSwan Color em 2002 e, em seguida, para vários telefones celulares a partir de 2007.
